,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
wake_county__north_carolina__margin_of_error,,±442,"±1,748","±1,586",±0.2,±0.6,,±442,"±2,486","±1,758",±827,±908,"±1,383","±1,936","±1,563",±987,±96,,±442,"±1,768","±1,444","±2,318","±2,988","±1,803","±1,609","±1,449",±833,±688,±754,,±442,±785,"±1,018","±1,943","±1,930","±2,444","±2,109","±1,915","±1,837","±2,052",±0.1,,±442,±803,"±1,976","±2,038","±2,898","±2,208","±1,603",,"±1,748","±2,561","±2,749",±0.02,±0.03,,"±1,748","±1,810","±3,388","±2,041","±2,582","±1,633","±1,183",,"±1,748","±1,128","±2,552","±2,780","±2,295",,"±1,748","±2,729",±970,"±3,200",±204,±31,±247,±123,±130,±280,,"±1,748",±223,±334,±668,,"±1,748","±1,855",±613,±431,,"±2,561","±1,221",±566,±972,"±1,331","±2,228","±2,248","±1,353",±506,"±3,547",,"±2,561","±2,680","±1,993",,"±2,680","±1,192","±1,111","±2,348","±2,016","±1,439","±1,132",±957,±21,"±1,993",±642,"±1,019","±1,219","±1,134",±526,±541,±9,,"±2,673","±2,689","±1,339","±1,193",±847,"±1,269",±152,"±1,996","±1,538",±956,±518,±422,±369,±283,±419,±124,,"±2,747",±506,"±1,562","±2,253","±1,372",±706,±296,±290,±10,±601,,"±2,757","±1,348","±1,436","±1,459","±1,356","±1,127","±1,974",±646
wake_county__north_carolina__percent,,"441,720",92.9%,7.1%,(X),(X),,"441,720",59.0%,11.1%,1.3%,2.5%,5.4%,8.4%,9.6%,2.7%,0.0%,,"441,720",9.1%,7.0%,24.9%,22.5%,15.4%,9.2%,5.5%,3.1%,1.2%,2.2%,,"441,720",1.2%,3.1%,9.1%,14.4%,15.8%,14.1%,11.9%,10.7%,19.8%,(X),,"441,720",1.3%,10.2%,21.0%,38.2%,22.1%,7.3%,,"410,552",63.9%,36.1%,(X),(X),,"410,552",6.6%,34.5%,21.1%,21.9%,9.8%,6.2%,,"410,552",3.7%,30.9%,43.3%,22.0%,,"410,552",42.7%,2.8%,53.6%,0.2%,0.0%,0.2%,0.0%,0.1%,0.3%,,"410,552",0.2%,0.4%,1.0%,,"410,552",98.1%,1.4%,0.5%,,"262,278",2.8%,2.0%,6.8%,12.5%,25.6%,35.2%,13.5%,1.6%,(X),,"262,278",75.4%,24.6%,,"197,802",1.1%,10.2%,27.9%,25.6%,16.2%,10.0%,9.0%,(X),"64,476",6.6%,19.4%,34.9%,23.8%,7.9%,7.3%,(X),,"197,317",57.5%,15.0%,9.1%,4.9%,13.5%,(X),"64,092",60.2%,17.0%,7.9%,4.0%,2.8%,2.2%,6.0%,(X),,"144,759",2.8%,24.7%,49.0%,17.5%,4.0%,1.0%,1.1%,(X),(X),,"143,110",14.3%,15.2%,14.7%,12.4%,9.0%,34.5%,(X)
wake_county__north_carolina__percent_margin_of_error,,(X),±0.4,±0.4,(X),(X),,(X),±0.6,±0.4,±0.2,±0.2,±0.3,±0.4,±0.4,±0.2,±0.1,,(X),±0.4,±0.3,±0.5,±0.7,±0.4,±0.4,±0.3,±0.2,±0.2,±0.2,,(X),±0.2,±0.2,±0.4,±0.4,±0.6,±0.5,±0.4,±0.4,±0.5,(X),,(X),±0.2,±0.4,±0.5,±0.7,±0.5,±0.4,,(X),±0.6,±0.6,(X),(X),,(X),±0.4,±0.8,±0.5,±0.6,±0.4,±0.3,,(X),±0.3,±0.6,±0.7,±0.5,,(X),±0.7,±0.2,±0.7,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.2,,(X),±0.2,±0.1,±0.1,,(X),±0.5,±0.2,±0.4,±0.5,±0.8,±0.8,±0.5,±0.2,(X),,(X),±0.7,±0.7,,(X),±0.6,±0.6,±1.0,±1.0,±0.7,±0.6,±0.5,(X),(X),±0.9,±1.4,±1.6,±1.5,±0.8,±0.8,(X),,(X),±0.9,±0.7,±0.6,±0.4,±0.6,(X),(X),±1.6,±1.4,±0.7,±0.7,±0.6,±0.4,±0.7,(X),,(X),±0.3,±1.0,±1.2,±0.9,±0.5,±0.2,±0.2,(X),(X),,(X),±0.9,±0.9,±1.0,±0.9,±0.8,±1.3,(X)
davidson_county__tennessee__estimate,,"319,739","289,191","30,548",1.2,7.2,,"319,739","166,123","25,705","12,812","11,295","20,840","29,228","48,811","4,828",97,,"319,739","27,320","9,719","45,252","39,310","48,158","44,807","37,958","33,661","13,407","20,147",,"319,739","8,054","13,053","38,060","60,396","57,440","52,201","33,654","23,899","32,982",5.2,,"319,739","8,759","50,429","93,949","117,018","40,378","9,206",,"289,191","157,390","131,801",2.43,2.17,,"289,191","20,950","107,039","57,648","54,171","25,903","23,480",,"289,191","18,141","110,810","108,660","51,580",,"289,191","93,144","3,598","190,221",327,98,431,82,246,"1,044",,"289,191",755,"2,184","4,657",,"289,191","281,875","4,679","2,637",,"157,390","3,409","5,138","14,913","23,568","45,321","40,652","19,192","5,197","267,400",,"157,390","110,185","47,205",,"110,185",580,"17,211","39,084","24,950","12,883","6,875","8,602","1,478","47,205","2,752","10,947","16,169","9,016","3,905","4,416",507,,"109,574","52,035","17,926","11,020","6,950","21,643",611,"46,684","23,635","8,946","4,974","2,536","1,624","1,199","3,770",521,,"127,360","9,891","32,814","53,027","21,702","6,427","1,798","1,701","1,172","4,441",,"124,898","14,539","16,073","16,178","16,423","12,669","49,016","6,903"
davidson_county__tennessee__margin_of_error,,±445,"±1,394","±1,422",±0.3,±0.7,,±445,"±2,082","±1,277",±945,±957,"±1,314","±1,451","±1,644",±489,±61,,±445,"±1,337",±844,"±1,628","±1,744","±1,503","±1,524","±1,253","±1,281",±928,"±1,061",,±445,±824,"±1,048","±1,581","±1,929","±1,962","±1,610","±1,450","±1,257","±1,147",±0.1,,±445,±838,"±1,720","±2,171","±2,205","±1,703",±701,,"±1,394","±2,587","±2,334",±0.02,±0.03,,"±1,394","±1,647","±2,530","±1,654","±1,793","±1,316","±1,067",,"±1,394","±1,109","±2,458","±2,526","±1,860",,"±1,394","±1,896",±430,"±2,276",±150,±91,±134,±71,±126,±271,,"±1,394",±225,±361,±529,,"±1,394","±1,523",±498,±531,,"±2,587",±456,±509,±864,"±1,269","±1,933","±1,518",±869,±439,"±3,234",,"±2,587","±2,405","±1,609",,"±2,405",±130,"±1,036","±1,712","±1,440",±939,±754,±632,±18,"±1,609",±489,±745,±961,±775,±484,±395,±11,,"±2,369","±1,903","±1,301",±842,±696,"±1,170",±374,"±1,579","±1,144",±740,±556,±304,±298,±248,±496,±220,,"±2,242",±780,"±1,354","±1,844","±1,227",±782,±442,±485,±12,±865,,"±2,321","±1,166","±1,200",±952,"±1,164","±1,035","±1,814",±984
davidson_county__tennessee__percent,,"319,739",90.4%,9.6%,(X),(X),,"319,739",52.0%,8.0%,4.0%,3.5%,6.5%,9.1%,15.3%,1.5%,0.0%,,"319,739",8.5%,3.0%,14.2%,12.3%,15.1%,14.0%,11.9%,10.5%,4.2%,6.3%,,"319,739",2.5%,4.1%,11.9%,18.9%,18.0%,16.3%,10.5%,7.5%,10.3%,(X),,"319,739",2.7%,15.8%,29.4%,36.6%,12.6%,2.9%,,"289,191",54.4%,45.6%,(X),(X),,"289,191",7.2%,37.0%,19.9%,18.7%,9.0%,8.1%,,"289,191",6.3%,38.3%,37.6%,17.8%,,"289,191",32.2%,1.2%,65.8%,0.1%,0.0%,0.1%,0.0%,0.1%,0.4%,,"289,191",0.3%,0.8%,1.6%,,"289,191",97.5%,1.6%,0.9%,,"157,390",2.2%,3.3%,9.5%,15.0%,28.8%,25.8%,12.2%,3.3%,(X),,"157,390",70.0%,30.0%,,"110,185",0.5%,15.6%,35.5%,22.6%,11.7%,6.2%,7.8%,(X),"47,205",5.8%,23.2%,34.3%,19.1%,8.3%,9.4%,(X),,"109,574",47.5%,16.4%,10.1%,6.3%,19.8%,(X),"46,684",50.6%,19.2%,10.7%,5.4%,3.5%,2.6%,8.1%,(X),,"127,360",7.8%,25.8%,41.6%,17.0%,5.0%,1.4%,1.3%,(X),(X),,"124,898",11.6%,12.9%,13.0%,13.1%,10.1%,39.2%,(X)
davidson_county__tennessee__percent_margin_of_error,,(X),±0.4,±0.4,(X),(X),,(X),±0.6,±0.4,±0.3,±0.3,±0.4,±0.5,±0.5,±0.2,±0.1,,(X),±0.4,±0.3,±0.5,±0.5,±0.5,±0.5,±0.4,±0.4,±0.3,±0.3,,(X),±0.3,±0.3,±0.5,±0.6,±0.6,±0.5,±0.5,±0.4,±0.4,(X),,(X),±0.3,±0.5,±0.7,±0.7,±0.5,±0.2,,(X),±0.8,±0.8,(X),(X),,(X),±0.6,±0.8,±0.6,±0.6,±0.5,±0.4,,(X),±0.4,±0.9,±0.8,±0.6,,(X),±0.7,±0.1,±0.7,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.2,,(X),±0.2,±0.2,±0.2,,(X),±0.3,±0.3,±0.5,±0.7,±1.1,±0.8,±0.6,±0.3,(X),,(X),±0.9,±0.9,,(X),±0.1,±0.9,±1.2,±1.2,±0.8,±0.7,±0.6,(X),(X),±1.0,±1.4,±1.6,±1.5,±1.0,±0.8,(X),,(X),±1.4,±1.1,±0.7,±0.6,±1.0,(X),(X),±1.8,±1.4,±1.1,±0.6,±0.6,±0.5,±1.0,(X),,(X),±0.6,±1.0,±1.2,±0.9,±0.6,±0.3,±0.4,(X),(X),,(X),±0.9,±0.9,±0.8,±0.9,±0.8,±1.2,(X)
dallas_county__texas__estimate,,"1,027,813","945,996","81,817",1.2,7.8,,"1,027,813","549,045","37,365","13,963","42,537","76,523","102,185","190,331","15,486",378,,"1,027,813","51,773","32,874","124,031","125,632","184,054","183,500","133,030","118,003","38,492","36,424",,"1,027,813","30,335","60,574","151,421","180,022","182,247","168,902","103,959","67,563","82,790",5.0,,"1,027,813","32,387","209,045","252,232","350,979","153,065","30,105",,"945,996","476,375","469,621",2.96,2.52,,"945,996","66,952","328,897","191,212","186,052","90,182","82,701",,"945,996","62,661","344,565","349,108","189,662",,"945,996","346,538","7,340","585,133",462,18,475,834,671,"4,525",,"945,996","2,786","6,829","19,183",,"945,996","885,132","41,907","18,957",,"476,375","21,204","58,835","79,235","87,658","96,717","75,167","39,055","18,504","193,900",,"476,375","285,425","190,950",,"285,425","1,377","31,229","86,279","68,296","36,727","20,074","41,443","1,654","190,950","12,149","30,121","50,987","39,074","22,204","36,415",610,,"284,255","125,146","43,212","29,736","20,704","65,457","1,170","188,359","77,082","39,867","23,031","12,899","8,240","5,615","21,625","2,591",,"458,924","14,917","144,207","191,234","74,552","21,230","7,084","5,700","1,159","10,697",,"447,825","55,640","65,040","64,492","53,429","41,985","167,239","21,796"
dallas_county__texas__margin_of_error,,±656,"±2,684","±2,418",±0.1,±0.3,,±656,"±3,485","±1,813","±1,103","±1,605","±2,499","±2,819","±3,220",±901,±123,,±656,"±2,099","±1,450","±2,867","±3,383","±3,000","±3,219","±2,886","±2,480","±1,483","±1,421",,±656,"±1,459","±2,280","±3,219","±3,298","±3,294","±2,795","±2,768","±1,894","±2,261",±0.1,,±656,"±1,549","±3,517","±3,437","±4,463","±3,551","±1,248",,"±2,684","±4,250","±3,730",±0.02,±0.02,,"±2,684","±2,721","±3,939","±2,925","±2,776","±2,197","±2,199",,"±2,684","±2,047","±4,294","±4,708","±3,201",,"±2,684","±3,936",±674,"±3,804",±193,±28,±179,±312,±205,±563,,"±2,684",±413,±714,"±1,070",,"±2,684","±3,132","±1,688","±1,026",,"±4,250","±1,041","±1,898","±2,145","±2,952","±2,445","±1,977","±1,459",±886,"±1,816",,"±4,250","±3,435","±3,179",,"±3,435",±273,"±1,417","±2,205","±2,011","±1,611","±1,105","±1,287",±12,"±3,179",±891,"±1,457","±1,639","±1,553","±1,181","±1,529",±7,,"±3,445","±2,797","±1,867","±1,451","±1,365","±2,253",±315,"±3,184","±2,171","±1,681","±1,213",±983,±701,±555,±967,±499,,"±3,709","±1,215","±2,905","±2,819","±2,480","±1,350",±821,±516,±6,"±1,000",,"±4,016","±1,788","±2,114","±2,168","±2,219","±1,820","±3,245","±1,504"
dallas_county__texas__percent,,"1,027,813",92.0%,8.0%,(X),(X),,"1,027,813",53.4%,3.6%,1.4%,4.1%,7.4%,9.9%,18.5%,1.5%,0.0%,,"1,027,813",5.0%,3.2%,12.1%,12.2%,17.9%,17.9%,12.9%,11.5%,3.7%,3.5%,,"1,027,813",3.0%,5.9%,14.7%,17.5%,17.7%,16.4%,10.1%,6.6%,8.1%,(X),,"1,027,813",3.2%,20.3%,24.5%,34.1%,14.9%,2.9%,,"945,996",50.4%,49.6%,(X),(X),,"945,996",7.1%,34.8%,20.2%,19.7%,9.5%,8.7%,,"945,996",6.6%,36.4%,36.9%,20.0%,,"945,996",36.6%,0.8%,61.9%,0.0%,0.0%,0.1%,0.1%,0.1%,0.5%,,"945,996",0.3%,0.7%,2.0%,,"945,996",93.6%,4.4%,2.0%,,"476,375",4.5%,12.4%,16.6%,18.4%,20.3%,15.8%,8.2%,3.9%,(X),,"476,375",59.9%,40.1%,,"285,425",0.5%,10.9%,30.2%,23.9%,12.9%,7.0%,14.5%,(X),"190,950",6.4%,15.8%,26.7%,20.5%,11.6%,19.1%,(X),,"284,255",44.0%,15.2%,10.5%,7.3%,23.0%,(X),"188,359",40.9%,21.2%,12.2%,6.8%,4.4%,3.0%,11.5%,(X),,"458,924",3.3%,31.4%,41.7%,16.2%,4.6%,1.5%,1.2%,(X),(X),,"447,825",12.4%,14.5%,14.4%,11.9%,9.4%,37.3%,(X)
dallas_county__texas__percent_margin_of_error,,(X),±0.2,±0.2,(X),(X),,(X),±0.3,±0.2,±0.1,±0.2,±0.2,±0.3,±0.3,±0.1,±0.1,,(X),±0.2,±0.1,±0.3,±0.3,±0.3,±0.3,±0.3,±0.2,±0.1,±0.1,,(X),±0.1,±0.2,±0.3,±0.3,±0.3,±0.3,±0.3,±0.2,±0.2,(X),,(X),±0.2,±0.3,±0.3,±0.4,±0.3,±0.1,,(X),±0.4,±0.4,(X),(X),,(X),±0.3,±0.4,±0.3,±0.3,±0.2,±0.2,,(X),±0.2,±0.4,±0.5,±0.3,,(X),±0.4,±0.1,±0.4,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,,(X),±0.2,±0.2,±0.1,,(X),±0.2,±0.4,±0.4,±0.6,±0.5,±0.4,±0.3,±0.2,(X),,(X),±0.5,±0.5,,(X),±0.1,±0.5,±0.7,±0.6,±0.5,±0.4,±0.4,(X),(X),±0.5,±0.7,±0.8,±0.7,±0.6,±0.7,(X),,(X),±0.8,±0.6,±0.5,±0.5,±0.7,(X),(X),±0.9,±0.8,±0.6,±0.5,±0.4,±0.3,±0.5,(X),,(X),±0.3,±0.6,±0.6,±0.5,±0.3,±0.2,±0.1,(X),(X),,(X),±0.4,±0.4,±0.5,±0.5,±0.4,±0.6,(X)
fairfax_county__virginia__estimate,,"415,149","398,653","16,496",0.6,3.9,,"415,149","193,365","97,667","1,677","5,275","20,401","40,149","54,470","2,001",144,,"415,149","10,132","8,998","44,901","65,636","95,997","85,707","56,354","35,281","8,447","3,696",,"415,149","6,675","12,104","34,683","51,811","46,457","51,647","43,936","47,465","120,371",6.6,,"415,149","7,427","43,379","80,534","117,759","109,886","56,164",,"398,653","273,428","125,225",2.90,2.78,,"398,653","20,039","115,878","74,895","92,674","51,795","43,372",,"398,653","17,479","119,618","170,243","91,313",,"398,653","220,710","5,636","162,727","6,784",62,579,131,515,"1,509",,"398,653",814,"1,927","3,701",,"398,653","386,812","7,900","3,941",,"273,428","2,629","1,278","1,537","4,969","16,841","79,638","140,981","25,555","576,700",,"273,428","205,899","67,529",,"205,899",369,"3,198","12,207","27,915","39,042","38,794","84,374","2,761","67,529","1,521","2,278","6,802","15,935","16,570","24,423",885,,"205,068","94,964","35,180","22,566","15,546","36,812",831,"66,894","37,189","11,362","5,784","3,399","2,153","1,440","5,567",635,,"122,109","3,188","3,817","16,114","47,603","28,096","12,843","10,448","1,898","3,116",,"120,954","14,080","17,655","18,432","15,515","11,031","44,241","4,271"
fairfax_county__virginia__margin_of_error,,±238,"±1,053",±998,±0.1,±0.4,,±238,"±1,853","±1,729",±308,±684,"±1,246","±1,448","±1,376",±258,±88,,±238,±625,±799,"±1,387","±1,782","±2,125","±1,856","±1,569","±1,128",±655,±443,,±238,±637,±900,"±1,398","±1,768","±1,438","±1,538","±1,373","±1,442","±1,891",±0.1,,±238,±658,"±1,487","±2,114","±1,995","±1,939","±1,325",,"±1,053","±1,998","±1,934",±0.02,±0.03,,"±1,053","±1,159","±2,089","±1,580","±2,039","±1,461","±1,249",,"±1,053","±1,111","±2,031","±2,516","±1,978",,"±1,053","±2,499",±442,"±2,410",±520,±47,±190,±64,±159,±296,,"±1,053",±191,±304,±416,,"±1,053","±1,310",±625,±514,,"±1,998",±313,±233,±297,±609,±781,"±1,916","±1,982",±930,"±3,666",,"±1,998","±2,227","±1,812",,"±2,227",±126,±367,±802,"±1,066","±1,482","±1,510","±1,977",±18,"±1,812",±251,±382,±768,±900,±770,"±1,022",±9,,"±2,264","±1,992","±1,184",±948,±837,"±1,394",±318,"±1,825","±1,407",±735,±521,±453,±326,±262,±661,±176,,"±1,903",±479,±538,±957,"±1,562","±1,310",±949,±750,±13,±446,,"±1,861",±973,"±1,031","±1,033",±894,±822,"±1,510",±506
fairfax_county__virginia__percent,,"415,149",96.0%,4.0%,(X),(X),,"415,149",46.6%,23.5%,0.4%,1.3%,4.9%,9.7%,13.1%,0.5%,0.0%,,"415,149",2.4%,2.2%,10.8%,15.8%,23.1%,20.6%,13.6%,8.5%,2.0%,0.9%,,"415,149",1.6%,2.9%,8.4%,12.5%,11.2%,12.4%,10.6%,11.4%,29.0%,(X),,"415,149",1.8%,10.4%,19.4%,28.4%,26.5%,13.5%,,"398,653",68.6%,31.4%,(X),(X),,"398,653",5.0%,29.1%,18.8%,23.2%,13.0%,10.9%,,"398,653",4.4%,30.0%,42.7%,22.9%,,"398,653",55.4%,1.4%,40.8%,1.7%,0.0%,0.1%,0.0%,0.1%,0.4%,,"398,653",0.2%,0.5%,0.9%,,"398,653",97.0%,2.0%,1.0%,,"273,428",1.0%,0.5%,0.6%,1.8%,6.2%,29.1%,51.6%,9.3%,(X),,"273,428",75.3%,24.7%,,"205,899",0.2%,1.6%,5.9%,13.6%,19.0%,18.8%,41.0%,(X),"67,529",2.3%,3.4%,10.1%,23.6%,24.5%,36.2%,(X),,"205,068",46.3%,17.2%,11.0%,7.6%,18.0%,(X),"66,894",55.6%,17.0%,8.6%,5.1%,3.2%,2.2%,8.3%,(X),,"122,109",2.6%,3.1%,13.2%,39.0%,23.0%,10.5%,8.6%,(X),(X),,"120,954",11.6%,14.6%,15.2%,12.8%,9.1%,36.6%,(X)
fairfax_county__virginia__percent_margin_of_error,,(X),±0.2,±0.2,(X),(X),,(X),±0.4,±0.4,±0.1,±0.2,±0.3,±0.3,±0.3,±0.1,±0.1,,(X),±0.2,±0.2,±0.3,±0.4,±0.5,±0.4,±0.4,±0.3,±0.2,±0.1,,(X),±0.2,±0.2,±0.3,±0.4,±0.3,±0.4,±0.3,±0.3,±0.5,(X),,(X),±0.2,±0.4,±0.5,±0.5,±0.5,±0.3,,(X),±0.5,±0.5,(X),(X),,(X),±0.3,±0.5,±0.4,±0.5,±0.4,±0.3,,(X),±0.3,±0.5,±0.6,±0.5,,(X),±0.6,±0.1,±0.6,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,,(X),±0.2,±0.2,±0.1,,(X),±0.1,±0.1,±0.1,±0.2,±0.3,±0.7,±0.7,±0.3,(X),,(X),±0.6,±0.6,,(X),±0.1,±0.2,±0.4,±0.5,±0.7,±0.7,±0.8,(X),(X),±0.4,±0.5,±1.1,±1.2,±1.0,±1.2,(X),,(X),±0.7,±0.6,±0.5,±0.4,±0.6,(X),(X),±1.5,±1.0,±0.8,±0.7,±0.5,±0.4,±0.9,(X),,(X),±0.4,±0.4,±0.8,±1.1,±1.0,±0.8,±0.6,(X),(X),,(X),±0.8,±0.8,±0.9,±0.7,±0.7,±1.0,(X)
loudoun_county__virginia__estimate,,"136,398","132,565","3,833",0.6,3.6,,"136,398","71,849","40,456",794,"1,308","4,217","8,648","8,321",706,99,,"136,398","12,927","12,115","41,717","32,897","14,974","8,515","6,019","2,446",938,"3,850",,"136,398","1,159","2,203","5,543","11,634","14,252","20,129","15,308","15,851","50,319",7.4,,"136,398","1,334","6,641","19,704","42,716","44,341","21,662",,"132,565","103,019","29,546",3.15,2.67,,"132,565","6,306","40,971","33,141","36,097","10,943","5,107",,"132,565","3,584","28,290","63,217","37,474",,"132,565","77,812","8,446","41,546","2,942",40,940,10,384,445,,"132,565",460,777,"1,107",,"132,565","130,413","1,609",543,,"103,019",915,605,782,"1,784","6,458","35,572","53,042","3,861","534,600",,"103,019","86,735","16,284",,"86,735",147,"1,523","5,399","9,241","15,056","16,974","38,395","2,854","16,284",708,970,"2,792","3,981","3,907","3,926",789,,"86,485","41,987","16,981","9,241","6,260","12,016",250,"16,043","9,809","2,495","1,293",755,441,351,899,241,,"28,511",385,"1,542","4,367","9,630","6,647","3,289","2,651","1,913","1,035",,"28,036","3,769","4,649","4,259","2,956","2,141","10,262","1,510"
loudoun_county__virginia__margin_of_error,,±133,±526,±511,±0.2,±1.1,,±133,"±1,247","±1,307",±258,±290,±541,±710,±460,±265,±98,,±133,±715,±737,"±1,169","±1,270",±903,±662,±555,±361,±222,±429,,±133,±238,±356,±517,±743,±787,"±1,148",±897,"±1,002","±1,420",±0.2,,±133,±258,±600,±848,"±1,417","±1,338","±1,078",,±526,"±1,152","±1,191",±0.02,±0.08,,±526,±796,"±1,304","±1,101","±1,053",±669,±494,,±526,±495,"±1,301","±1,299","±1,195",,±526,"±1,282",±629,"±1,322",±431,±32,±215,±14,±152,±200,,±526,±192,±175,±251,,±526,±592,±309,±170,,"±1,152",±277,±149,±194,±344,±589,"±1,034","±1,276",±407,"±6,152",,"±1,152","±1,115",±853,,"±1,115",±81,±275,±515,±772,"±1,056","±1,028","±1,142",±29,±853,±189,±303,±404,±385,±369,±365,±21,,"±1,118","±1,178",±909,±736,±604,±847,±113,±831,±619,±322,±263,±210,±164,±130,±186,±130,,"±1,185",±136,±368,±566,±754,±607,±431,±542,±30,±317,,"±1,150",±546,±549,±504,±533,±338,±773,±364
loudoun_county__virginia__percent,,"136,398",97.2%,2.8%,(X),(X),,"136,398",52.7%,29.7%,0.6%,1.0%,3.1%,6.3%,6.1%,0.5%,0.1%,,"136,398",9.5%,8.9%,30.6%,24.1%,11.0%,6.2%,4.4%,1.8%,0.7%,2.8%,,"136,398",0.8%,1.6%,4.1%,8.5%,10.4%,14.8%,11.2%,11.6%,36.9%,(X),,"136,398",1.0%,4.9%,14.4%,31.3%,32.5%,15.9%,,"132,565",77.7%,22.3%,(X),(X),,"132,565",4.8%,30.9%,25.0%,27.2%,8.3%,3.9%,,"132,565",2.7%,21.3%,47.7%,28.3%,,"132,565",58.7%,6.4%,31.3%,2.2%,0.0%,0.7%,0.0%,0.3%,0.3%,,"132,565",0.3%,0.6%,0.8%,,"132,565",98.4%,1.2%,0.4%,,"103,019",0.9%,0.6%,0.8%,1.7%,6.3%,34.5%,51.5%,3.7%,(X),,"103,019",84.2%,15.8%,,"86,735",0.2%,1.8%,6.2%,10.7%,17.4%,19.6%,44.3%,(X),"16,284",4.3%,6.0%,17.1%,24.4%,24.0%,24.1%,(X),,"86,485",48.5%,19.6%,10.7%,7.2%,13.9%,(X),"16,043",61.1%,15.6%,8.1%,4.7%,2.7%,2.2%,5.6%,(X),,"28,511",1.4%,5.4%,15.3%,33.8%,23.3%,11.5%,9.3%,(X),(X),,"28,036",13.4%,16.6%,15.2%,10.5%,7.6%,36.6%,(X)
loudoun_county__virginia__percent_margin_of_error,,(X),±0.4,±0.4,(X),(X),,(X),±0.9,±1.0,±0.2,±0.2,±0.4,±0.5,±0.3,±0.2,±0.1,,(X),±0.5,±0.5,±0.9,±0.9,±0.7,±0.5,±0.4,±0.3,±0.2,±0.3,,(X),±0.2,±0.3,±0.4,±0.5,±0.6,±0.8,±0.7,±0.7,±1.0,(X),,(X),±0.2,±0.4,±0.6,±1.0,±1.0,±0.8,,(X),±0.9,±0.9,(X),(X),,(X),±0.6,±1.0,±0.8,±0.8,±0.5,±0.4,,(X),±0.4,±1.0,±1.0,±0.9,,(X),±1.0,±0.5,±1.0,±0.3,±0.1,±0.2,±0.1,±0.1,±0.2,,(X),±0.1,±0.1,±0.2,,(X),±0.3,±0.2,±0.1,,(X),±0.3,±0.1,±0.2,±0.3,±0.6,±1.0,±1.1,±0.4,(X),,(X),±0.8,±0.8,,(X),±0.1,±0.3,±0.6,±0.9,±1.2,±1.1,±1.1,(X),(X),±1.2,±1.7,±2.1,±2.1,±2.1,±2.1,(X),,(X),±1.4,±1.0,±0.8,±0.7,±0.9,(X),(X),±2.2,±1.8,±1.5,±1.3,±1.0,±0.8,±1.2,(X),,(X),±0.5,±1.2,±2.0,±2.3,±1.9,±1.4,±1.8,(X),(X),,(X),±1.8,±1.9,±1.7,±1.8,±1.2,±2.5,(X)
