label__grouping_,santa_clara_county__california__estimate,santa_clara_county__california__margin_of_error,montgomery_county__maryland__estimate,montgomery_county__maryland__margin_of_error,wake_county__north_carolina__estimate,wake_county__north_carolina__margin_of_error,davidson_county__tennessee__estimate,davidson_county__tennessee__margin_of_error,dallas_county__texas__estimate,dallas_county__texas__margin_of_error,fairfax_county__virginia__estimate,fairfax_county__virginia__margin_of_error,loudoun_county__virginia__estimate,loudoun_county__virginia__margin_of_error
Total:,"668,896",±529,"390,475",±422,"441,720",±442,"319,739",±445,"1,027,813",±656,"415,149",±238,"136,398",±133
    Occupied,"635,314","±1,803","372,825","±1,093","410,552","±1,748","289,191","±1,394","945,996","±2,684","398,653","±1,053","132,565",±526
    Vacant,"33,582","±1,600","17,650","±1,101","31,168","±1,586","30,548","±1,422","81,817","±2,418","16,496",±998,"3,833",±511
