"Label (Grouping)","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Montgomery County, Maryland!!Estimate","Montgomery County, Maryland!!Margin of Error","Wake County, North Carolina!!Estimate","Wake County, North Carolina!!Margin of Error","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error"
"Total:","668,896","±529","390,475","±422","441,720","±442","319,739","±445","1,027,813","±656","415,149","±238","136,398","±133"
"    Occupied","635,314","±1,803","372,825","±1,093","410,552","±1,748","289,191","±1,394","945,996","±2,684","398,653","±1,053","132,565","±526"
"    Vacant","33,582","±1,600","17,650","±1,101","31,168","±1,586","30,548","±1,422","81,817","±2,418","16,496","±998","3,833","±511"
