label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error
Total:,660622,868,389030,486,411470,999,298808,1124,985429,987,412082,829,126508,374
    Occupied,633786,3221,371458,2800,382638,3461,274187,3026,905250,4540,392822,2616,120559,1405
    Vacant,26836,3200,17572,2747,28832,3292,24621,2822,80179,4618,19260,2481,5949,1345
