label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
HOUSING OCCUPANCY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,660622,868,660622,N/A,389030,486,389030,N/A,411470,999,411470,N/A,298808,1124,298808,N/A,985429,987,985429,N/A,412082,829,412082,N/A,126508,374,126508,N/A
        Occupied housing units,633786,3221,95.9,0.5,371458,2800,95.5,0.7,382638,3461,93.0,0.8,274187,3026,91.8,0.9,905250,4540,91.9,0.5,392822,2616,95.3,0.6,120559,1405,95.3,1.1
        Vacant housing units,26836,3200,4.1,0.5,17572,2747,4.5,0.7,28832,3292,7.0,0.8,24621,2822,8.2,0.9,80179,4618,8.1,0.5,19260,2481,4.7,0.6,5949,1345,4.7,1.1
    Homeowner vacancy rate,0.3,0.2,N/A,N/A,0.8,0.4,N/A,N/A,1.4,0.5,N/A,N/A,1.5,0.6,N/A,N/A,1.5,0.3,N/A,N/A,1.3,0.4,N/A,N/A,1.3,0.7,N/A,N/A
    Rental vacancy rate,2.8,0.6,N/A,N/A,3.3,0.8,N/A,N/A,4.9,1.2,N/A,N/A,5.1,1.1,N/A,N/A,6.7,0.7,N/A,N/A,3.7,1.1,N/A,N/A,6.1,2.7,N/A,N/A
UNITS IN STRUCTURE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,660622,868,660622,N/A,389030,486,389030,N/A,411470,999,411470,N/A,298808,1124,298808,N/A,985429,987,985429,N/A,412082,829,412082,N/A,126508,374,126508,N/A
        1-unit detached,344320,6237,52.1,0.9,183624,3882,47.2,1.0,247182,5030,60.1,1.2,157105,4037,52.6,1.4,535130,6522,54.3,0.7,192677,3356,46.8,0.8,67642,2439,53.5,1.9
        1-unit attached,68877,4080,10.4,0.6,70920,3543,18.2,0.9,40001,3250,9.7,0.8,18516,1877,6.2,0.6,37160,2450,3.8,0.2,92516,3349,22.5,0.8,35497,2366,28.1,1.9
        2 units,12342,1964,1.9,0.3,1702,614,0.4,0.2,5877,1276,1.4,0.3,17409,2390,5.8,0.8,14752,1755,1.5,0.2,2415,753,0.6,0.2,582,354,0.5,0.3
        3 or 4 units,36548,2761,5.5,0.4,6325,1222,1.6,0.3,12382,1623,3.0,0.4,11484,1749,3.8,0.6,38803,3297,3.9,0.3,7116,1337,1.7,0.3,1659,877,1.3,0.7
        5 to 9 units,36676,3041,5.6,0.5,20646,1963,5.3,0.5,23044,2361,5.6,0.6,20189,2425,6.8,0.8,89248,4488,9.1,0.5,20117,2122,4.9,0.5,4415,1030,3.5,0.8
        10 to 19 units,34212,2953,5.2,0.4,39053,3139,10.0,0.8,34120,3373,8.3,0.8,32195,2988,10.8,1.0,101339,4471,10.3,0.5,45875,3547,11.1,0.9,10534,1677,8.3,1.3
        20 or more units,107946,4535,16.3,0.7,66255,2819,17.0,0.7,34126,2876,8.3,0.7,37386,2582,12.5,0.9,152966,4897,15.5,0.5,48982,2825,11.9,0.7,5021,920,4.0,0.7
        Mobile home,19233,2190,2.9,0.3,505,387,0.1,0.1,14315,2265,3.5,0.5,4278,968,1.4,0.3,15389,2215,1.6,0.2,2300,853,0.6,0.2,843,648,0.7,0.5
        Boat RV van etc.,468,315,0.1,0.1,0,195,0.0,0.1,423,359,0.1,0.1,246,273,0.1,0.1,642,476,0.1,0.1,84,142,0.0,0.1,315,427,0.2,0.3
YEAR STRUCTURE BUILT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,660622,868,660622,N/A,389030,486,389030,N/A,411470,999,411470,N/A,298808,1124,298808,N/A,985429,987,985429,N/A,412082,829,412082,N/A,126508,374,126508,N/A
        Built 2014 or later,4593,926,0.7,0.1,2052,669,0.5,0.2,5663,1202,1.4,0.3,2285,869,0.8,0.3,8321,1656,0.8,0.2,1325,481,0.3,0.1,2350,687,1.9,0.5
        Built 2010 to 2013,16903,1584,2.6,0.2,11036,1821,2.8,0.5,25623,2333,6.2,0.6,8790,1365,2.9,0.5,31065,2610,3.2,0.3,8765,1371,2.1,0.3,12283,1456,9.7,1.2
        Built 2000 to 2009,59887,3313,9.1,0.5,42804,2724,11.0,0.7,118048,4780,28.7,1.2,45828,3183,15.3,1.1,132536,5255,13.4,0.5,44774,2780,10.9,0.7,41149,2407,32.5,1.9
        Built 1990 to 1999,72811,3948,11.0,0.6,44856,2378,11.5,0.6,99411,4316,24.2,1.0,35319,2560,11.8,0.9,126302,5527,12.8,0.6,65018,3349,15.8,0.8,34186,2026,27.0,1.6
