area_fips,own_code,Industry_Code,agglvl_code,year,qtr,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,avg_annual_pay
48113,3,1021,73,2022,A,42,9543,731606646.00,76668.00
48113,3,1023,73,2022,A,3,0,-,-
48113,3,1024,73,2022,A,23,406,25588059.00,63038.00
48113,3,1025,73,2022,A,30,82497,5045446830.00,61159.00
48113,3,54,74,2022,A,5,15,1564106.00,106041.00
48113,3,541,75,2022,A,5,15,1564106.00,106041.00
48113,3,62,74,2022,A,9,0,-,-
48113,5,10,71,2022,A,85523,1628748,138000000000.00,84464.00
48113,5,101,72,2022,A,8855,222828,20341235612.00,91287.00
48113,5,102,72,2022,A,76668,1405921,117000000000.00,83383.00
48113,5,1021,73,2022,A,16936,384671,27546853152.00,71611.00
48113,5,1023,73,2022,A,10982,166211,21158223690.00,127297.00
48113,5,1024,73,2022,A,20717,402984,40665687411.00,100912.00
48113,5,1025,73,2022,A,10644,203432,13775900717.00,67718.00
48113,5,54,74,2022,A,14622,188520,23644981727.00,125424.00
48113,5,541,75,2022,A,14622,188520,23644981727.00,125424.00
48113,5,62,74,2022,A,9598,175364,12056267118.00,68750.00
48113,0,10,70,2023,A,85485,1837548,159000000000.00,86340.00
48113,1,10,71,2023,A,160,24858,2495384640.00,100387.00
48113,1,101,72,2023,A,1,8,829902.00,105945.00
48113,1,102,72,2023,A,159,24850,2494554738.00,100385.00
48113,1,1021,73,2023,A,69,8221,604341883.00,73510.00
48113,1,1023,73,2023,A,3,482,87568801.00,181709.00
48113,1,1024,73,2023,A,3,130,17302675.00,133525.00
48113,1,1025,73,2023,A,1,5096,573018522.00,112436.00
48113,1,54,74,2023,A,3,130,17302675.00,133525.00
48113,1,541,75,2023,A,3,130,17302675.00,133525.00
48113,1,62,74,2023,A,1,5096,573018522.00,112436.00
48113,2,10,71,2023,A,45,29145,2872124486.00,98546.00
48113,2,101,72,2023,A,1,0,-,-
48113,2,102,72,2023,A,44,0,-,-
48113,2,1025,73,2023,A,15,25440,2626891226.00,103257.00
48113,2,62,74,2023,A,2,0,-,-
48113,3,10,71,2023,A,317,127297,8741330361.00,68669.00
48113,3,101,72,2023,A,25,2778,212451625.00,76479.00
48113,3,102,72,2023,A,292,124520,8528878736.00,68494.00
48113,3,1021,73,2023,A,41,10059,798968724.00,79431.00
48113,3,1023,73,2023,A,3,0,-,-
48113,3,1024,73,2023,A,22,436,28866815.00,66183.00
48113,3,1025,73,2023,A,31,84475,5376531395.00,63646.00
48113,3,54,74,2023,A,5,0,-,-
48113,3,541,75,2023,A,5,0,-,-
48113,3,62,74,2023,A,9,0,-,-
48113,5,10,71,2023,A,84963,1656248,145000000000.00,87273.00
48113,5,101,72,2023,A,8890,227607,21242534378.00,93330.00
