unnamed_0,geographic_area_name_name,2017_naics_code_naics2017,meaning_of_legal_form_of_organization_code_lfo_label,meaning_of_employment_size_of_establishments_code_empszes_label,year_year,number_of_establishments_estab,annual_payroll_1000_payann,firstquarter_payroll_1000_payqtr1,number_of_employees_emp
1348,Fairfax County Virginia,55,All establishments,All establishments,2020,355,2761085,858638,21034
1357,Fairfax County Virginia,56,All establishments,All establishments,2020,1808,3467040,863169,63936
1367,Fairfax County Virginia,61,All establishments,All establishments,2020,702,753148,185061,13133
1375,Fairfax County Virginia,62,All establishments,All establishments,2020,3500,3918863,976477,65883
1386,Fairfax County Virginia,71,All establishments,All establishments,2020,409,233231,85586,11188
1393,Fairfax County Virginia,72,All establishments,All establishments,2020,2418,854596,263125,46807
1401,Fairfax County Virginia,81,All establishments,All establishments,2020,2759,1076061,296116,23941
1408,Fairfax County Virginia,99,All establishments,All establishments,2020,71,2042,441,58
1410,Fairfax County Virginia,0,All establishments,All establishments,2021,31808,62668153,15468556,647247
1424,Fairfax County Virginia,11,All establishments,All establishments,2021,6,28270,5594,210
1426,Fairfax County Virginia,21,All establishments,All establishments,2021,5,6034,1373,68
1428,Fairfax County Virginia,22,All establishments,All establishments,2021,18,178527,53018,1707
1431,Fairfax County Virginia,23,All establishments,All establishments,2021,2444,2531175,604486,30644
1440,Fairfax County Virginia,31-33,All establishments,All establishments,2021,349,395255,93863,5871
1447,Fairfax County Virginia,42,All establishments,All establishments,2021,808,2401734,534255,16208
1456,Fairfax County Virginia,44-45,All establishments,All establishments,2021,2507,1854594,410402,47722
1465,Fairfax County Virginia,48-49,All establishments,All establishments,2021,446,492618,111688,9843
1473,Fairfax County Virginia,51,All establishments,All establishments,2021,873,6822004,1819538,38204
1484,Fairfax County Virginia,52,All establishments,All establishments,2021,1626,4984931,1541812,32104
1495,Fairfax County Virginia,53,All establishments,All establishments,2021,1808,996688,243553,10720
1503,Fairfax County Virginia,54,All establishments,All establishments,2021,8767,28296684,6831378,233048
1515,Fairfax County Virginia,55,All establishments,All establishments,2021,321,2737115,730814,22232
1525,Fairfax County Virginia,56,All establishments,All establishments,2021,1859,3406425,778097,56067
1535,Fairfax County Virginia,61,All establishments,All establishments,2021,692,804275,166942,12034
1543,Fairfax County Virginia,62,All establishments,All establishments,2021,3606,4418937,1035508,66019
1554,Fairfax County Virginia,71,All establishments,All establishments,2021,429,184643,37970,6067
1561,Fairfax County Virginia,72,All establishments,All establishments,2021,2440,1001865,206608,37850
1568,Fairfax County Virginia,81,All establishments,All establishments,2021,2764,1124546,261225,20580
1576,Fairfax County Virginia,99,All establishments,All establishments,2021,40,1833,432,49
1578,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),Annual payroll ($1000) (PAYANN),First-quarter payroll ($1000) (PAYQTR1),Number of employees (EMP)
1579,Loudoun County Virginia,0,All establishments,All establishments,2019,11028,10312852,2552811,168351
1589,Loudoun County Virginia,11,All establishments,All establishments,2019,25,2036,501,69
1592,Loudoun County Virginia,21,All establishments,All establishments,2019,6,25393,12416,593
1594,Loudoun County Virginia,22,All establishments,All establishments,2019,5,8361,2267,95
1595,Loudoun County Virginia,23,All establishments,All establishments,2019,883,966621,226715,14225
1603,Loudoun County Virginia,31-33,All establishments,All establishments,2019,194,496644,121784,5729
1610,Loudoun County Virginia,42,All establishments,All establishments,2019,286,257407,67053,3372
1617,Loudoun County Virginia,44-45,All establishments,All establishments,2019,1053,592876,144128,19356
1625,Loudoun County Virginia,48-49,All establishments,All establishments,2019,340,662149,170984,13563
1634,Loudoun County Virginia,51,All establishments,All establishments,2019,312,1222338,404154,10026
1642,Loudoun County Virginia,52,All establishments,All establishments,2019,398,340235,82061,3506
1648,Loudoun County Virginia,53,All establishments,All establishments,2019,485,103400,23998,1731
1654,Loudoun County Virginia,54,All establishments,All establishments,2019,3216,2793340,658042,31048
1662,Loudoun County Virginia,55,All establishments,All establishments,2019,58,320347,81494,3655
1669,Loudoun County Virginia,56,All establishments,All establishments,2019,605,653641,151137,14794
1677,Loudoun County Virginia,61,All establishments,All establishments,2019,247,85474,21183,2953
1683,Loudoun County Virginia,62,All establishments,All establishments,2019,1049,738162,171938,14567
1690,Loudoun County Virginia,71,All establishments,All establishments,2019,179,297391,34265,3981
1697,Loudoun County Virginia,72,All establishments,All establishments,2019,780,409627,95782,17444
1704,Loudoun County Virginia,81,All establishments,All establishments,2019,890,336865,82795,7626
1711,Loudoun County Virginia,99,All establishments,All establishments,2019,17,545,114,18
1713,Loudoun County Virginia,0,All establishments,All establishments,2020,11348,10346522,2666820,169437
1725,Loudoun County Virginia,11,All establishments,All establishments,2020,25,2173,461,56
1728,Loudoun County Virginia,21,All establishments,All establishments,2020,7,23739,5916,233
1730,Loudoun County Virginia,22,All establishments,All establishments,2020,7,11732,3070,127
1732,Loudoun County Virginia,23,All establishments,All establishments,2020,890,968326,239505,14153
1740,Loudoun County Virginia,31-33,All establishments,All establishments,2020,194,507966,122985,5952
1747,Loudoun County Virginia,42,All establishments,All establishments,2020,302,272645,77425,3994
1754,Loudoun County Virginia,44-45,All establishments,All establishments,2020,1032,608112,149205,19936
1762,Loudoun County Virginia,48-49,All establishments,All establishments,2020,348,600533,187384,14920
1771,Loudoun County Virginia,51,All establishments,All establishments,2020,334,1197133,401367,9492
1779,Loudoun County Virginia,52,All establishments,All establishments,2020,405,376329,83074,3458
1786,Loudoun County Virginia,53,All establishments,All establishments,2020,522,103549,24876,1756
1792,Loudoun County Virginia,54,All establishments,All establishments,2020,3370,2931362,703251,29783
1801,Loudoun County Virginia,55,All establishments,All establishments,2020,55,278367,73144,3308
1807,Loudoun County Virginia,56,All establishments,All establishments,2020,615,625835,150465,14168
1815,Loudoun County Virginia,61,All establishments,All establishments,2020,253,82692,22268,3017
1821,Loudoun County Virginia,62,All establishments,All establishments,2020,1064,767491,191082,15130
1828,Loudoun County Virginia,71,All establishments,All establishments,2020,184,335080,42492,4524
1835,Loudoun County Virginia,72,All establishments,All establishments,2020,798,316252,100811,17826
1842,Loudoun County Virginia,81,All establishments,All establishments,2020,920,335900,87853,7578
1849,Loudoun County Virginia,99,All establishments,All establishments,2020,23,1306,186,26
1851,Loudoun County Virginia,0,All establishments,All establishments,2021,11720,11376219,2689652,164564
1862,Loudoun County Virginia,11,All establishments,All establishments,2021,27,2218,518,61
1865,Loudoun County Virginia,21,All establishments,All establishments,2021,7,23897,5347,199
1867,Loudoun County Virginia,22,All establishments,All establishments,2021,8,11602,3292,127
1869,Loudoun County Virginia,23,All establishments,All establishments,2021,911,1076546,247947,14266
1877,Loudoun County Virginia,31-33,All establishments,All establishments,2021,203,498233,118889,6223
1884,Loudoun County Virginia,42,All establishments,All establishments,2021,298,267624,67381,3308
1891,Loudoun County Virginia,44-45,All establishments,All establishments,2021,1021,685927,148100,18656
1899,Loudoun County Virginia,48-49,All establishments,All establishments,2021,372,644773,145958,13302
1908,Loudoun County Virginia,51,All establishments,All establishments,2021,326,1256890,410171,9296
1916,Loudoun County Virginia,52,All establishments,All establishments,2021,406,394186,89074,3552
1923,Loudoun County Virginia,53,All establishments,All establishments,2021,554,121741,26902,1621
1928,Loudoun County Virginia,54,All establishments,All establishments,2021,3584,3360660,777291,35121
1937,Loudoun County Virginia,55,All establishments,All establishments,2021,50,370025,93240,4351
1944,Loudoun County Virginia,56,All establishments,All establishments,2021,607,673219,129451,11819
1952,Loudoun County Virginia,61,All establishments,All establishments,2021,262,90364,20293,2750
1958,Loudoun County Virginia,62,All establishments,All establishments,2021,1126,853083,196661,15456
1966,Loudoun County Virginia,71,All establishments,All establishments,2021,188,298276,49439,2945
1973,Loudoun County Virginia,72,All establishments,All establishments,2021,802,381090,79138,14685
1980,Loudoun County Virginia,81,All establishments,All establishments,2021,949,365226,80500,6802
1987,Loudoun County Virginia,99,All establishments,All establishments,2021,19,639,60,24
1989,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),Annual payroll ($1000) (PAYANN),First-quarter payroll ($1000) (PAYQTR1),Number of employees (EMP)
1990,Montgomery County Maryland,0,All establishments,All establishments,2019,27376,30287280,7884727,444313
2000,Montgomery County Maryland,11,All establishments,All establishments,2019,24,3453,852,74
2002,Montgomery County Maryland,22,All establishments,All establishments,2019,20,57093,18798,498
2007,Montgomery County Maryland,23,All establishments,All establishments,2019,2299,1872095,437407,27112
2015,Montgomery County Maryland,31-33,All establishments,All establishments,2019,343,547368,139031,6043
2022,Montgomery County Maryland,42,All establishments,All establishments,2019,740,1157277,308093,10546
2031,Montgomery County Maryland,44-45,All establishments,All establishments,2019,2506,1563168,378955,45739
2039,Montgomery County Maryland,48-49,All establishments,All establishments,2019,312,133998,29391,2998
2046,Montgomery County Maryland,51,All establishments,All establishments,2019,623,1660109,476720,15597
2055,Montgomery County Maryland,52,All establishments,All establishments,2019,1529,2656745,892826,20269
2063,Montgomery County Maryland,53,All establishments,All establishments,2019,1516,887156,247233,10224
2070,Montgomery County Maryland,54,All establishments,All establishments,2019,5790,7721954,1972690,81652
2080,Montgomery County Maryland,55,All establishments,All establishments,2019,534,2113404,556150,14222
2089,Montgomery County Maryland,56,All establishments,All establishments,2019,1817,2144259,525424,48225
2099,Montgomery County Maryland,61,All establishments,All establishments,2019,610,611402,144658,12003
2107,Montgomery County Maryland,62,All establishments,All establishments,2019,3784,4415341,1078985,77582
2117,Montgomery County Maryland,71,All establishments,All establishments,2019,414,237369,50666,8592
2125,Montgomery County Maryland,72,All establishments,All establishments,2019,1962,861580,202829,35794
2132,Montgomery County Maryland,81,All establishments,All establishments,2019,2497,1640019,423275,27071
2141,Montgomery County Maryland,99,All establishments,All establishments,2019,54,1721,348,47
2143,Montgomery County Maryland,0,All establishments,All establishments,2020,27498,31225789,8378416,451660
2156,Montgomery County Maryland,11,All establishments,All establishments,2020,19,2370,636,52
2158,Montgomery County Maryland,22,All establishments,All establishments,2020,21,51805,14865,445
2161,Montgomery County Maryland,23,All establishments,All establishments,2020,2293,1901101,461681,27058
2169,Montgomery County Maryland,31-33,All establishments,All establishments,2020,348,534413,139936,5950
2176,Montgomery County Maryland,42,All establishments,All establishments,2020,715,1159299,315866,10525
2184,Montgomery County Maryland,44-45,All establishments,All establishments,2020,2462,1539083,388500,46937
2192,Montgomery County Maryland,48-49,All establishments,All establishments,2020,332,159082,36432,4261
2199,Montgomery County Maryland,51,All establishments,All establishments,2020,619,1798241,502800,15834
2208,Montgomery County Maryland,52,All establishments,All establishments,2020,1537,2945333,972258,21425
2216,Montgomery County Maryland,53,All establishments,All establishments,2020,1591,1175472,360809,12472
2224,Montgomery County Maryland,54,All establishments,All establishments,2020,5878,8332145,2045552,81147
2235,Montgomery County Maryland,55,All establishments,All establishments,2020,536,1928912,620208,15461
2244,Montgomery County Maryland,56,All establishments,All establishments,2020,1825,2068136,526670,47524
2253,Montgomery County Maryland,61,All establishments,All establishments,2020,617,606517,156798,12640
2261,Montgomery County Maryland,62,All establishments,All establishments,2020,3844,4508191,1124658,78450
2273,Montgomery County Maryland,71,All establishments,All establishments,2020,396,193011,56306,9505
2281,Montgomery County Maryland,72,All establishments,All establishments,2020,1905,658597,205834,35037
2288,Montgomery County Maryland,81,All establishments,All establishments,2020,2500,1662218,448312,26895
2297,Montgomery County Maryland,99,All establishments,All establishments,2020,60,1863,295,42
2299,Montgomery County Maryland,0,All establishments,All establishments,2021,27586,33266789,8362695,413726
2312,Montgomery County Maryland,11,All establishments,All establishments,2021,20,2534,650,54
2314,Montgomery County Maryland,22,All establishments,All establishments,2021,22,47616,14655,419
2317,Montgomery County Maryland,23,All establishments,All establishments,2021,2323,1986087,443271,26212
2326,Montgomery County Maryland,31-33,All establishments,All establishments,2021,346,582921,142263,5806
2333,Montgomery County Maryland,42,All establishments,All establishments,2021,688,1265073,345544,9974
2341,Montgomery County Maryland,44-45,All establishments,All establishments,2021,2410,1705915,381878,43187
2349,Montgomery County Maryland,48-49,All establishments,All establishments,2021,377,183599,38716,4507
2357,Montgomery County Maryland,51,All establishments,All establishments,2021,640,1646524,463539,13682
2366,Montgomery County Maryland,52,All establishments,All establishments,2021,1505,3320117,1143880,21669
2374,Montgomery County Maryland,53,All establishments,All establishments,2021,1638,1139622,303276,11096
2381,Montgomery County Maryland,54,All establishments,All establishments,2021,5865,9585244,2325469,81930
2392,Montgomery County Maryland,55,All establishments,All establishments,2021,602,1912689,481261,13066
2401,Montgomery County Maryland,56,All establishments,All establishments,2021,1826,2134951,502850,41225
2411,Montgomery County Maryland,61,All establishments,All establishments,2021,594,659781,148465,10607
2419,Montgomery County Maryland,62,All establishments,All establishments,2021,3887,4387014,1017642,72707
2430,Montgomery County Maryland,71,All establishments,All establishments,2021,407,225860,39914,6052
2437,Montgomery County Maryland,72,All establishments,All establishments,2021,1882,789814,157429,27694
2444,Montgomery County Maryland,81,All establishments,All establishments,2021,2510,1688302,411229,23762
2453,Montgomery County Maryland,99,All establishments,All establishments,2021,43,2990,628,62
2456,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),Annual payroll ($1000) (PAYANN),First-quarter payroll ($1000) (PAYQTR1),Number of employees (EMP)
2457,Santa Clara County California,0,All establishments,All establishments,2019,49035,148407685,37265751,1102219
2467,Santa Clara County California,11,All establishments,All establishments,2019,26,10927,2548,226
2470,Santa Clara County California,21,All establishments,All establishments,2019,12,15299,3590,134
2473,Santa Clara County California,22,All establishments,All establishments,2019,25,272318,72553,1978
