county_name,2017_naics_code_naics2017,year_year,number_of_establishments_estab,annual_payroll_1000_payann,firstquarter_payroll_1000_payqtr1,number_of_employees_emp
"Fairfax County, Virginia",56,2022,83,N,N,N
"Fairfax County, Virginia",56,2022,26,N,N,N
"Fairfax County, Virginia",56,2022,10,N,N,N
"Fairfax County, Virginia",56,2022,6,N,N,N
"Fairfax County, Virginia",56,2022,3,N,N,N
"Fairfax County, Virginia",61,2022,689,"761,023","181,754","12,548"
"Fairfax County, Virginia",61,2022,330,N,N,N
"Fairfax County, Virginia",61,2022,117,N,N,N
"Fairfax County, Virginia",61,2022,119,N,N,N
"Fairfax County, Virginia",61,2022,77,N,N,N
"Fairfax County, Virginia",61,2022,21,N,N,N
"Fairfax County, Virginia",61,2022,20,N,N,N
"Fairfax County, Virginia",61,2022,3,N,N,N
"Fairfax County, Virginia",62,2022,"3,709","4,654,961","1,091,822","67,164"
"Fairfax County, Virginia",62,2022,"1,730",N,N,N
"Fairfax County, Virginia",62,2022,871,N,N,N
"Fairfax County, Virginia",62,2022,564,N,N,N
"Fairfax County, Virginia",62,2022,338,N,N,N
"Fairfax County, Virginia",62,2022,113,N,N,N
"Fairfax County, Virginia",62,2022,62,N,N,N
"Fairfax County, Virginia",62,2022,19,N,N,N
"Fairfax County, Virginia",62,2022,7,N,N,N
"Fairfax County, Virginia",62,2022,5,N,N,N
"Fairfax County, Virginia",62,2022,3,N,N,N
"Fairfax County, Virginia",71,2022,453,"230,210","47,481","6,931"
"Fairfax County, Virginia",71,2022,249,N,N,N
"Fairfax County, Virginia",71,2022,64,N,N,N
"Fairfax County, Virginia",71,2022,64,N,N,N
"Fairfax County, Virginia",71,2022,39,N,N,N
"Fairfax County, Virginia",71,2022,25,N,N,N
"Fairfax County, Virginia",71,2022,10,N,N,N
"Fairfax County, Virginia",72,2022,"2,517","1,170,622","264,142","42,418"
"Fairfax County, Virginia",72,2022,802,N,N,N
"Fairfax County, Virginia",72,2022,475,N,N,N
"Fairfax County, Virginia",72,2022,547,N,N,N
"Fairfax County, Virginia",72,2022,528,N,N,N
"Fairfax County, Virginia",72,2022,126,N,N,N
"Fairfax County, Virginia",72,2022,38,N,N,N
"Fairfax County, Virginia",81,2022,"2,774","1,231,143","289,771","22,127"
"Fairfax County, Virginia",81,2022,"1,682",N,N,N
"Fairfax County, Virginia",81,2022,496,N,N,N
"Fairfax County, Virginia",81,2022,356,N,N,N
"Fairfax County, Virginia",81,2022,178,N,N,N
"Fairfax County, Virginia",81,2022,46,N,N,N
"Fairfax County, Virginia",81,2022,13,N,N,N
"Fairfax County, Virginia",81,2022,3,N,N,N
"Fairfax County, Virginia",99,2022,19,848,232,29
"Fairfax County, Virginia",99,2022,17,N,N,N
"Loudoun County, Virginia",0,2022,"12,194","12,922,429","3,058,816","182,301"
"Loudoun County, Virginia",0,2022,"7,418",N,N,N
"Loudoun County, Virginia",0,2022,"1,724",N,N,N
"Loudoun County, Virginia",0,2022,"1,347",N,N,N
"Loudoun County, Virginia",0,2022,"1,092",N,N,N
"Loudoun County, Virginia",0,2022,355,N,N,N
"Loudoun County, Virginia",0,2022,173,N,N,N
"Loudoun County, Virginia",0,2022,52,N,N,N
"Loudoun County, Virginia",0,2022,23,N,N,N
"Loudoun County, Virginia",0,2022,10,N,N,N
"Loudoun County, Virginia",0,2022,3,N,N,N
"Loudoun County, Virginia",0,2022,4,N,N,N
"Loudoun County, Virginia",11,2022,24,"2,736",615,65
"Loudoun County, Virginia",11,2022,21,N,N,N
"Loudoun County, Virginia",21,2022,5,"19,096","3,344",148
"Loudoun County, Virginia",22,2022,5,"10,241","2,644",115
"Loudoun County, Virginia",22,2022,3,N,N,N
"Loudoun County, Virginia",23,2022,943,"1,094,744","246,985","13,714"
"Loudoun County, Virginia",23,2022,554,N,N,N
"Loudoun County, Virginia",23,2022,137,N,N,N
"Loudoun County, Virginia",23,2022,99,N,N,N
"Loudoun County, Virginia",23,2022,97,N,N,N
"Loudoun County, Virginia",23,2022,36,N,N,N
"Loudoun County, Virginia",23,2022,15,N,N,N
"Loudoun County, Virginia",31-33,2022,202,"550,299","126,471","6,592"
"Loudoun County, Virginia",31-33,2022,70,N,N,N
"Loudoun County, Virginia",31-33,2022,45,N,N,N
"Loudoun County, Virginia",31-33,2022,39,N,N,N
"Loudoun County, Virginia",31-33,2022,23,N,N,N
"Loudoun County, Virginia",31-33,2022,17,N,N,N
"Loudoun County, Virginia",31-33,2022,5,N,N,N
"Loudoun County, Virginia",42,2022,279,"288,558","68,645","3,297"
"Loudoun County, Virginia",42,2022,148,N,N,N
"Loudoun County, Virginia",42,2022,50,N,N,N
"Loudoun County, Virginia",42,2022,44,N,N,N
"Loudoun County, Virginia",42,2022,23,N,N,N
"Loudoun County, Virginia",42,2022,10,N,N,N
"Loudoun County, Virginia",42,2022,4,N,N,N
"Loudoun County, Virginia",44-45,2022,"1,058","736,203","167,912","19,225"
"Loudoun County, Virginia",44-45,2022,443,N,N,N
"Loudoun County, Virginia",44-45,2022,227,N,N,N
"Loudoun County, Virginia",44-45,2022,188,N,N,N
"Loudoun County, Virginia",44-45,2022,121,N,N,N
"Loudoun County, Virginia",44-45,2022,43,N,N,N
"Loudoun County, Virginia",44-45,2022,24,N,N,N
"Loudoun County, Virginia",44-45,2022,12,N,N,N
"Loudoun County, Virginia",48-49,2022,378,"749,324","170,356","14,092"
"Loudoun County, Virginia",48-49,2022,212,N,N,N
"Loudoun County, Virginia",48-49,2022,48,N,N,N
"Loudoun County, Virginia",48-49,2022,31,N,N,N
"Loudoun County, Virginia",48-49,2022,42,N,N,N
"Loudoun County, Virginia",48-49,2022,29,N,N,N
"Loudoun County, Virginia",48-49,2022,6,N,N,N
"Loudoun County, Virginia",48-49,2022,5,N,N,N
"Loudoun County, Virginia",48-49,2022,4,N,N,N
"Loudoun County, Virginia",51,2022,321,"1,066,119","344,613","8,132"
"Loudoun County, Virginia",51,2022,180,N,N,N
"Loudoun County, Virginia",51,2022,40,N,N,N
"Loudoun County, Virginia",51,2022,40,N,N,N
"Loudoun County, Virginia",51,2022,30,N,N,N
"Loudoun County, Virginia",51,2022,13,N,N,N
"Loudoun County, Virginia",51,2022,10,N,N,N
"Loudoun County, Virginia",51,2022,5,N,N,N
"Loudoun County, Virginia",51,2022,3,N,N,N
"Loudoun County, Virginia",52,2022,425,"386,431","85,888","3,619"
"Loudoun County, Virginia",52,2022,275,N,N,N
"Loudoun County, Virginia",52,2022,82,N,N,N
"Loudoun County, Virginia",52,2022,43,N,N,N
"Loudoun County, Virginia",52,2022,16,N,N,N
"Loudoun County, Virginia",52,2022,3,N,N,N
"Loudoun County, Virginia",52,2022,4,N,N,N
"Loudoun County, Virginia",53,2022,552,"133,064","29,611","1,901"
"Loudoun County, Virginia",53,2022,479,N,N,N
"Loudoun County, Virginia",53,2022,37,N,N,N
"Loudoun County, Virginia",53,2022,21,N,N,N
"Loudoun County, Virginia",53,2022,9,N,N,N
"Loudoun County, Virginia",53,2022,4,N,N,N
"Loudoun County, Virginia",54,2022,"3,820","4,385,639","1,021,343","44,443"
"Loudoun County, Virginia",54,2022,"2,981",N,N,N
"Loudoun County, Virginia",54,2022,336,N,N,N
"Loudoun County, Virginia",54,2022,213,N,N,N
"Loudoun County, Virginia",54,2022,168,N,N,N
"Loudoun County, Virginia",54,2022,65,N,N,N
"Loudoun County, Virginia",54,2022,34,N,N,N
"Loudoun County, Virginia",54,2022,12,N,N,N
"Loudoun County, Virginia",54,2022,8,N,N,N
"Loudoun County, Virginia",54,2022,3,N,N,N
"Loudoun County, Virginia",55,2022,55,"414,600","106,629","4,671"
"Loudoun County, Virginia",55,2022,18,N,N,N
"Loudoun County, Virginia",55,2022,10,N,N,N
"Loudoun County, Virginia",55,2022,4,N,N,N
"Loudoun County, Virginia",55,2022,7,N,N,N
"Loudoun County, Virginia",55,2022,4,N,N,N
"Loudoun County, Virginia",55,2022,9,N,N,N
"Loudoun County, Virginia",56,2022,620,"785,271","170,437","14,936"
"Loudoun County, Virginia",56,2022,325,N,N,N
"Loudoun County, Virginia",56,2022,86,N,N,N
"Loudoun County, Virginia",56,2022,70,N,N,N
"Loudoun County, Virginia",56,2022,80,N,N,N
"Loudoun County, Virginia",56,2022,34,N,N,N
"Loudoun County, Virginia",56,2022,18,N,N,N
"Loudoun County, Virginia",56,2022,3,N,N,N
"Loudoun County, Virginia",61,2022,263,"106,203","23,517","3,283"
"Loudoun County, Virginia",61,2022,124,N,N,N
"Loudoun County, Virginia",61,2022,50,N,N,N
"Loudoun County, Virginia",61,2022,37,N,N,N
"Loudoun County, Virginia",61,2022,44,N,N,N
"Loudoun County, Virginia",61,2022,5,N,N,N
"Loudoun County, Virginia",61,2022,3,N,N,N
"Loudoun County, Virginia",62,2022,"1,192","950,081","216,775","15,896"
"Loudoun County, Virginia",62,2022,596,N,N,N
"Loudoun County, Virginia",62,2022,259,N,N,N
"Loudoun County, Virginia",62,2022,171,N,N,N
"Loudoun County, Virginia",62,2022,123,N,N,N
"Loudoun County, Virginia",62,2022,26,N,N,N
"Loudoun County, Virginia",62,2022,12,N,N,N
"Loudoun County, Virginia",71,2022,195,"388,268","77,115","3,596"
"Loudoun County, Virginia",71,2022,100,N,N,N
"Loudoun County, Virginia",71,2022,24,N,N,N
"Loudoun County, Virginia",71,2022,35,N,N,N
"Loudoun County, Virginia",71,2022,21,N,N,N
"Loudoun County, Virginia",71,2022,9,N,N,N
"Loudoun County, Virginia",71,2022,5,N,N,N
"Loudoun County, Virginia",72,2022,863,"458,185","104,478","16,776"
"Loudoun County, Virginia",72,2022,250,N,N,N
"Loudoun County, Virginia",72,2022,138,N,N,N
"Loudoun County, Virginia",72,2022,191,N,N,N
"Loudoun County, Virginia",72,2022,216,N,N,N
"Loudoun County, Virginia",72,2022,49,N,N,N
"Loudoun County, Virginia",72,2022,17,N,N,N
"Loudoun County, Virginia",81,2022,983,"396,637","91,290","7,776"
"Loudoun County, Virginia",81,2022,628,N,N,N
"Loudoun County, Virginia",81,2022,152,N,N,N
"Loudoun County, Virginia",81,2022,119,N,N,N
"Loudoun County, Virginia",81,2022,69,N,N,N
"Loudoun County, Virginia",81,2022,6,N,N,N
"Loudoun County, Virginia",81,2022,7,N,N,N
"Loudoun County, Virginia",99,2022,11,730,148,24
"Loudoun County, Virginia",99,2022,10,N,N,N
