label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,data_type
Total:,"668,896",±529,"390,475",±422,"441,720",±442,"319,739",±445,"1,027,813",±656,"415,149",±238,"136,398",±133,2020_housing_occupancy
Occupied,"635,314","±1,803","372,825","±1,093","410,552","±1,748","289,191","±1,394","945,996","±2,684","398,653","±1,053","132,565",±526,2020_housing_occupancy
Vacant,"33,582","±1,600","17,650","±1,101","31,168","±1,586","30,548","±1,422","81,817","±2,418","16,496",±998,"3,833",±511,2020_housing_occupancy
