geofips,geoname,linecode,description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,data_type
48113,"Dallas, TX",1.0,Real GDP (thousands of chained 2017 dollars),172244167.0,173443190.0,173378146.0,181171920.0,184944148.0,195661463.0,199452307.0,199869001.0,189640088.0,195190268.0,203781527.0,208270522.0,215384269.0,222343503.0,234206841.0,239842516.0,248044414.0,258127596.0,269858811.0,263514185.0,283517706.0,299773355.0,Dallas County
48113,"Dallas, TX",2.0,Chain-type quantity indexes for real GDP,69.441,69.924,69.898,73.04,74.561,78.882,80.41,80.578,76.454,78.692,82.155,83.965,86.833,89.639,94.421,96.693,100.0,104.065,108.795,106.237,114.301,120.855,Dallas County
48113,"Dallas, TX",3.0,Current-dollar GDP (thousands of current dollars),138800508.0,141034795.0,142430124.0,151501275.0,158338883.0,171309112.0,177578500.0,179701495.0,172074324.0,177992086.0,188263069.0,196297322.0,205410059.0,214953044.0,228494128.0,236810556.0,248044414.0,263230069.0,279796316.0,276904518.0,307955884.0,345175101.0,Dallas County
