label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,data_type
Total:,"631,955","±1,523","376,023",±835,"372,737","±2,035","284,263","±2,313","943,876","±1,548","408,079","±1,185","109,955",±750,2010_housing_occupancy
Occupied,"599,235","±3,770","359,476","±2,836","338,054","±3,843","249,899","±3,777","843,416","±4,626","389,415","±3,502","102,979","±2,217",2010_housing_occupancy
Vacant,"32,720","±3,452","16,547","±2,568","34,683","±3,374","34,364","±3,186","100,460","±4,739","18,664","±3,128","6,976","±2,031",2010_housing_occupancy
