label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,data_type
Total:,"660,622",±868,"389,030",±486,"411,470",±999,"298,808","±1,124","985,429",±987,"412,082",±829,"126,508",±374,2015_housing_occupancy
Occupied,"633,786","±3,221","371,458","±2,800","382,638","±3,461","274,187","±3,026","905,250","±4,540","392,822","±2,616","120,559","±1,405",2015_housing_occupancy
Vacant,"26,836","±3,200","17,572","±2,747","28,832","±3,292","24,621","±2,822","80,179","±4,618","19,260","±2,481","5,949","±1,345",2015_housing_occupancy
