geofips,geoname,linecode,description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,data_type
6085,"Santa Clara, CA",1.0,Real GDP (thousands of chained 2017 dollars),114379551.0,109854356.0,116812794.0,120865726.0,128933564.0,137713799.0,151912514.0,160018867.0,156210615.0,169942756.0,185699289.0,194880453.0,215704205.0,231420668.0,252061614.0,267404250.0,280510581.0,302411788.0,318506750.0,339750453.0,385798950.0,382786734.0,Santa Clara County
6085,"Santa Clara, CA",2.0,Chain-type quantity indexes for real GDP,40.775,39.162,41.643,43.088,45.964,49.094,54.156,57.046,55.688,60.583,66.2,69.473,76.897,82.5,89.858,95.328,100.0,107.808,113.545,121.119,137.535,136.461,Santa Clara County
6085,"Santa Clara, CA",3.0,Current-dollar GDP (thousands of current dollars),120423328.0,114181201.0,118620079.0,121775696.0,130091992.0,138743312.0,151697778.0,157480585.0,154522185.0,165967271.0,181388910.0,191533411.0,212929778.0,229218264.0,251565966.0,266748660.0,280510581.0,301321537.0,320102518.0,344201399.0,392899696.0,400777502.0,Santa Clara County
