geofips,geoname,linecode,description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,data_type
37183,"Wake, NC",1.0,Real GDP (thousands of chained 2017 dollars),38772130.0,39949613.0,41282189.0,43361972.0,45999746.0,49286571.0,51687822.0,53855510.0,51363273.0,55140804.0,54632529.0,57004635.0,60520308.0,64127051.0,68876243.0,73163717.0,76191172.0,80559227.0,83740531.0,83777131.0,91399448.0,94675594.0,Wake County
37183,"Wake, NC",2.0,Chain-type quantity indexes for real GDP,50.888,52.433,54.182,56.912,60.374,64.688,67.84,70.685,67.414,72.372,71.705,74.818,79.432,84.166,90.399,96.027,100.0,105.733,109.908,109.956,119.961,124.261,Wake County
37183,"Wake, NC",3.0,Current-dollar GDP (thousands of current dollars),30081253.0,31551524.0,33028959.0,35475637.0,38606660.0,42586990.0,45627231.0,48147572.0,46973604.0,50373661.0,50341004.0,53430031.0,57493661.0,61745786.0,67430792.0,72379312.0,76191172.0,81746411.0,86594750.0,88170611.0,99002843.0,108152420.0,Wake County
