label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,data_type
Total:,"703,922",±254,"406,718",±158,"512,256",±323,"372,293",±401,"1,079,042","±1,242","431,006",±633,"149,238",±74,2023_housing_occupancy
Occupied,"665,549","±3,723","392,629","±2,507","481,294","±4,227","341,597","±3,999","993,312","±5,968","414,946","±2,811","145,601","±1,354",2023_housing_occupancy
Vacant,"38,373","±3,675","14,089","±2,548","30,962","±4,267","30,696","±3,973","85,730","±5,885","16,060","±2,779","3,637","±1,367",2023_housing_occupancy
