,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Median value (dollars),"836,800","474,900","252,500","188,200","145,800","544,900","477,700"
