,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Median value (dollars),"1,443,100","636,200","482,100","437,700","319,100","727,200","734,700"
