,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Median value (dollars),"1,061,900","491,700","301,600","267,400","193,900","576,700","534,600"
