,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Median value (dollars),"639,400","447,200","232,800","172,500","129,300","462,000","447,100"
