label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
    $200000 to $299999,16502,2029,4.8,0.6,33032,2835,13.9,1.1,61025,3553,27.2,1.5,24836,2007,18.3,1.4,57315,3352,12.8,0.8,35628,2958,13.1,1.0,10526,1535,13.1,1.9
    $300000 to $499999,70855,4015,20.7,1.1,88356,3790,37.1,1.4,53938,2949,24.0,1.3,18281,1474,13.5,1.1,37670,2201,8.4,0.5,97281,4396,35.7,1.5,30871,2354,38.3,2.6
    $500000 to $999999,161903,4450,47.2,1.2,79150,3088,33.3,1.3,17272,2006,7.7,0.9,5935,760,4.4,0.6,19241,1920,4.3,0.4,103781,3276,38.1,1.2,30258,2051,37.5,2.5
    $1000000 or more,67044,3106,19.5,0.9,19449,1511,8.2,0.6,2647,749,1.2,0.3,2892,692,2.1,0.5,7740,984,1.7,0.2,14626,1641,5.4,0.6,2733,885,3.4,1.1
    Median (dollars),639400,8631,N/A,N/A,447200,7017,N/A,N/A,232800,4066,N/A,N/A,172500,3433,N/A,N/A,129300,2620,N/A,N/A,462000,6395,N/A,N/A,447100,12816,N/A,N/A
MORTGAGE STATUS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Owner-occupied units,342955,4963,342955,N/A,238022,4307,238022,N/A,224624,3870,224624,N/A,135598,3957,135598,N/A,448918,6552,448918,N/A,272224,4427,272224,N/A,80627,2460,80627,N/A
    Housing units with a mortgage,256276,5674,74.7,1.0,188428,4264,79.2,0.9,184459,4000,82.1,1.1,99978,4078,73.7,1.9,311935,6743,69.5,0.9,225962,5228,83.0,1.0,72843,2442,90.3,1.3
    Housing units without a mortgage,86679,3495,25.3,1.0,49594,2234,20.8,0.9,40165,2588,17.9,1.1,35620,2709,26.3,1.9,136983,4287,30.5,0.9,46262,2670,17.0,1.0,7784,1104,9.7,1.3
SELECTED MONTHLY OWNER COSTS (SMOC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Housing units with a mortgage,256276,5674,256276,N/A,188428,4264,188428,N/A,184459,4000,184459,N/A,99978,4078,99978,N/A,311935,6743,311935,N/A,225962,5228,225962,N/A,72843,2442,72843,N/A
    Less than $300,441,292,0.2,0.1,0,289,0.0,0.1,216,272,0.1,0.1,0,287,0.0,0.2,55,92,0.0,0.1,128,157,0.1,0.1,0,287,0.0,0.3
    $300 to $499,1586,584,0.6,0.2,104,128,0.1,0.1,1536,689,0.8,0.4,1794,674,1.8,0.7,3103,922,1.0,0.3,326,253,0.1,0.1,408,416,0.6,0.6
    $500 to $699,2152,704,0.8,0.3,1271,486,0.7,0.3,4407,930,2.4,0.5,3738,888,3.7,0.9,10300,1301,3.3,0.4,1370,450,0.6,0.2,239,169,0.3,0.2
    $700 to $999,4788,1034,1.9,0.4,5128,1215,2.7,0.6,18284,1796,9.9,0.9,18114,1945,18.1,1.8,39066,2786,12.5,0.8,6174,1116,2.7,0.5,1606,687,2.2,0.9
    $1000 to $1499,16484,1998,6.4,0.8,20393,2338,10.8,1.2,62193,3758,33.7,1.9,37051,2834,37.1,2.2,115767,5695,37.1,1.5,26465,2246,11.7,1.0,4702,990,6.5,1.4
    $1500 to $1999,28710,2920,11.2,1.1,31984,2346,17.0,1.2,45699,3045,24.8,1.6,21427,2309,21.4,2.1,69691,3598,22.3,1.2,37296,3152,16.5,1.3,7782,1346,10.7,1.8
    $2000 or more,202115,4991,78.9,1.2,129548,3785,68.8,1.5,52124,2872,28.3,1.4,17854,1854,17.9,1.9,73953,3738,23.7,1.1,154203,5627,68.2,1.7,58106,2789,79.8,2.5
    Median (dollars),2994,43,N/A,N/A,2498,43,N/A,N/A,1552,30,N/A,N/A,1366,26,N/A,N/A,1443,20,N/A,N/A,2468,40,N/A,N/A,2766,64,N/A,N/A
    Housing units without a mortgage,86679,3495,86679,N/A,49594,2234,49594,N/A,40165,2588,40165,N/A,35620,2709,35620,N/A,136983,4287,136983,N/A,46262,2670,46262,N/A,7784,1104,7784,N/A
    Less than $100,1051,498,1.2,0.6,440,264,0.9,0.5,50,82,0.1,0.2,141,135,0.4,0.4,1006,431,0.7,0.3,615,323,1.3,0.7,61,103,0.8,1.3
    $100 to $199,3040,718,3.5,0.8,123,143,0.2,0.3,1432,854,3.6,2.1,1377,567,3.9,1.6,3805,830,2.8,0.6,680,361,1.5,0.8,95,134,1.2,1.7
    $200 to $299,8855,1367,10.2,1.5,879,392,1.8,0.8,4619,968,11.5,2.4,5310,964,14.9,2.5,15946,1891,11.6,1.4,1608,522,3.5,1.1,357,288,4.6,3.6
    $300 to $399,14202,1385,16.4,1.4,2309,697,4.7,1.4,7935,1281,19.8,2.9,7440,920,20.9,2.3,19493,1679,14.2,1.2,2867,807,6.2,1.7,331,229,4.3,3.0
    $400 or more,59531,3064,68.7,2.1,45843,2169,92.4,1.7,26129,2287,65.1,3.8,21352,2144,59.9,3.4,96733,4435,70.6,1.9,40492,2547,87.5,2.0,6940,1037,89.2,5.0
    Median (dollars),539,17,N/A,N/A,740,24,N/A,N/A,477,19,N/A,N/A,450,16,N/A,N/A,527,14,N/A,N/A,698,20,N/A,N/A,761,59,N/A,N/A
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),255336,5648,255336,N/A,188258,4267,188258,N/A,183731,4024,183731,N/A,99648,4066,99648,N/A,310211,6815,310211,N/A,224894,5265,224894,N/A,72843,2442,72843,N/A
    Less than 20.0 percent,61314,3545,24.0,1.4,64835,2885,34.4,1.5,74034,3735,40.3,1.8,34055,2261,34.2,2.0,107386,4737,34.6,1.4,90026,3817,40.0,1.6,21660,1531,29.7,2.2
    20.0 to 24.9 percent,37831,2986,14.8,1.1,29894,2720,15.9,1.3,31134,2312,16.9,1.2,16174,1637,16.2,1.6,50155,3409,16.2,1.0,35636,2903,15.8,1.2,13947,1840,19.1,2.4
    25.0 to 29.9 percent,31228,2586,12.2,0.9,23658,2145,12.6,1.1,24304,2196,13.2,1.2,12866,1690,12.9,1.6,36860,3423,11.9,1.0,28240,2890,12.6,1.2,11662,1414,16.0,1.9
    30.0 to 34.9 percent,27748,2314,10.9,0.9,17168,2299,9.1,1.2,13720,1803,7.5,1.0,9562,1319,9.6,1.3,27941,3087,9.0,1.0,21979,2079,9.8,0.9,8127,1511,11.2,2.0
    35.0 percent or more,97215,4198,38.1,1.4,52703,3326,28.0,1.6,40539,3137,22.1,1.6,26991,2624,27.1,2.3,87869,5035,28.3,1.5,49013,3410,21.8,1.4,17447,1854,24.0,2.4
    Not computed,940,513,N/A,N/A,170,160,N/A,N/A,728,500,N/A,N/A,330,227,N/A,N/A,1724,624,N/A,N/A,1068,525,N/A,N/A,0,287,N/A,N/A
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),85119,3504,85119,N/A,49093,2338,49093,N/A,39783,2594,39783,N/A,35270,2723,35270,N/A,135379,4341,135379,N/A,46100,2655,46100,N/A,7734,1109,7734,N/A
    Less than 10.0 percent,43387,2632,51.0,2.3,21364,1820,43.5,2.9,19599,1919,49.3,3.6,14035,1791,39.8,3.9,45898,3166,33.9,1.8,22766,2182,49.4,3.3,3922,896,50.7,8.5
    10.0 to 14.9 percent,14242,1551,16.7,1.7,8649,1049,17.6,2.1,7305,1203,18.4,2.9,6780,1050,19.2,2.9,30191,2340,22.3,1.6,8953,1165,19.4,2.3,1636,557,21.2,7.0
    15.0 to 19.9 percent,8796,1283,10.3,1.5,5044,1103,10.3,2.1,3291,816,8.3,1.9,5284,1095,15.0,2.8,17372,1795,12.8,1.3,4911,1127,10.7,2.3,513,349,6.6,4.4
    20.0 to 24.9 percent,5781,1251,6.8,1.4,4211,903,8.6,1.8,2416,751,6.1,1.8,2666,930,7.6,2.6,11075,1439,8.2,1.1,2498,733,5.4,1.6,342,231,4.4,2.8
    25.0 to 29.9 percent,2687,742,3.2,0.9,2390,747,4.9,1.5,1781,646,4.5,1.6,1781,591,5.0,1.6,8194,1217,6.1,0.9,2169,800,4.7,1.7,115,152,1.5,2.0
    30.0 to 34.9 percent,2337,726,2.7,0.8,1381,480,2.8,0.9,1633,683,4.1,1.7,1211,514,3.4,1.4,5391,1013,4.0,0.8,978,391,2.1,0.8,111,133,1.4,1.7
    35.0 percent or more,7889,1238,9.3,1.4,6054,1027,12.3,2.1,3758,955,9.4,2.3,3513,927,10.0,2.4,17258,1850,12.7,1.3,3825,902,8.3,1.9,1095,433,14.2,5.2
    Not computed,1560,724,N/A,N/A,501,382,N/A,N/A,382,259,N/A,N/A,350,221,N/A,N/A,1604,608,N/A,N/A,162,159,N/A,N/A,50,84,N/A,N/A
GROSS RENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied units paying rent,250980,5530,250980,N/A,117459,4096,117459,N/A,110703,3849,110703,N/A,110360,3857,110360,N/A,384011,7396,384011,N/A,114961,4243,114961,N/A,N/A,N/A,N/A,N/A
    Less than $200,1021,497,0.4,0.2,2039,655,1.7,0.6,1690,704,1.5,0.6,2863,782,2.6,0.7,5256,1053,1.4,0.3,2027,590,1.8,0.5,N/A,N/A,N/A,N/A
    $200 to $299,5127,1227,2.0,0.5,1240,498,1.1,0.4,2170,921,2.0,0.8,2366,748,2.1,0.7,4224,1086,1.1,0.3,605,386,0.5,0.3,N/A,N/A,N/A,N/A
    $300 to $499,5300,1033,2.1,0.4,1572,640,1.3,0.5,5175,1246,4.7,1.1,8749,1562,7.9,1.4,17951,2320,4.7,0.6,1707,883,1.5,0.8,N/A,N/A,N/A,N/A
    $500 to $749,13324,2024,5.3,0.8,3953,1242,3.4,1.0,24699,3293,22.3,2.6,36505,3108,33.1,2.5,119461,5034,31.1,1.2,3533,1003,3.1,0.8,N/A,N/A,N/A,N/A
    $750 to $999,26134,2942,10.4,1.1,8622,1571,7.3,1.3,43244,3261,39.1,3.0,36308,2778,32.9,2.4,113779,5482,29.6,1.3,7203,1473,6.3,1.3,N/A,N/A,N/A,N/A
    $1000 to $1499,90157,5262,35.9,2.0,44756,2946,38.1,2.2,25547,2901,23.1,2.6,18407,2177,16.7,1.8,93761,4212,24.4,1.0,42118,2633,36.6,2.3,N/A,N/A,N/A,N/A
    $1500 or more,109917,5126,43.8,1.8,55277,3361,47.1,2.4,8178,1306,7.4,1.2,5162,1330,4.7,1.2,29579,2854,7.7,0.7,57768,3824,50.3,2.4,N/A,N/A,N/A,N/A
    Median (dollars),1418,21,N/A,N/A,1466,26,N/A,N/A,858,13,N/A,N/A,776,15,N/A,N/A,836,9,N/A,N/A,1504,34,N/A,N/A,1574,100,N/A,N/A
    No rent paid,5300,1144,N/A,N/A,3995,1044,N/A,N/A,2727,796,N/A,N/A,3941,933,N/A,N/A,10487,1556,N/A,N/A,2230,754,N/A,N/A,N/A,N/A,N/A,N/A
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied units paying rent (excluding units where GRAPI cannot be computed),246834,5624,246834,N/A,115699,4037,115699,N/A,108871,3896,108871,N/A,108353,3811,108353,N/A,374383,7504,374383,N/A,113436,4301,113436,N/A,21113,1953,21113,N/A
    Less than 15.0 percent,36283,3210,14.7,1.2,8821,1634,7.6,1.4,11627,1705,10.7,1.6,9995,1613,9.2,1.4,44054,3476,11.8,0.9,15523,2274,13.7,1.9,2531,1038,12.0,4.7
    15.0 to 19.9 percent,35384,3322,14.3,1.3,14408,1844,12.5,1.6,17253,2243,15.8,1.9,13427,2183,12.4,2.0,47499,3862,12.7,1.0,15889,2301,14.0,2.0,2879,912,13.6,4.3
    20.0 to 24.9 percent,29917,2668,12.1,1.1,16713,2108,14.4,1.6,15393,1863,14.1,1.7,13793,2225,12.7,2.0,52580,3231,14.0,0.9,17011,2399,15.0,2.0,3121,1085,14.8,4.8
    25.0 to 29.9 percent,27507,3050,11.1,1.2,13017,1889,11.3,1.6,14664,1816,13.5,1.5,12307,1898,11.4,1.7,43569,3480,11.6,0.9,14887,2366,13.1,2.1,3144,1011,14.9,4.5
    30.0 to 34.9 percent,23888,2770,9.7,1.1,12304,1891,10.6,1.6,8336,1642,7.7,1.5,9961,1849,9.2,1.7,33645,3724,9.0,1.0,10229,2025,9.0,1.8,2406,850,11.4,3.9
    35.0 percent or more,93855,4180,38.0,1.4,50436,3388,43.6,2.5,41598,2964,38.2,2.3,48870,3425,45.1,2.6,153036,6559,40.9,1.5,39897,3560,35.2,2.9,7032,1224,33.3,5.1
    Not computed,9446,1489,N/A,N/A,5755,1190,N/A,N/A,4559,1239,N/A,N/A,5948,1141,N/A,N/A,20115,2383,N/A,N/A,3755,1237,N/A,N/A,1239,645,N/A,N/A
