label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error
Total:,631955,1523,376023,835,372737,2035,284263,2313,943876,1548,408079,1185,109955,750
    Occupied,599235,3770,359476,2836,338054,3843,249899,3777,843416,4626,389415,3502,102979,2217
    Vacant,32720,3452,16547,2568,34683,3374,34364,3186,100460,4739,18664,3128,6976,2031
