label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
HOUSING OCCUPANCY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,668896,529,668896,N/A,390475,422,390475,N/A,441720,442,441720,N/A,319739,445,319739,N/A,1027813,656,1027813,N/A,415149,238,415149,N/A,136398,133,136398,N/A
        Occupied housing units,635314,1803,95.0,0.2,372825,1093,95.5,0.3,410552,1748,92.9,0.4,289191,1394,90.4,0.4,945996,2684,92.0,0.2,398653,1053,96.0,0.2,132565,526,97.2,0.4
        Vacant housing units,33582,1600,5.0,0.2,17650,1101,4.5,0.3,31168,1586,7.1,0.4,30548,1422,9.6,0.4,81817,2418,8.0,0.2,16496,998,4.0,0.2,3833,511,2.8,0.4
        Homeowner vacancy rate,0.5,0.1,N/A,N/A,1.1,0.2,N/A,N/A,0.9,0.2,N/A,N/A,1.2,0.3,N/A,N/A,1.2,0.1,N/A,N/A,0.6,0.1,N/A,N/A,0.6,0.2,N/A,N/A
        Rental vacancy rate,4.3,0.4,N/A,N/A,4.3,0.5,N/A,N/A,6.0,0.6,N/A,N/A,7.2,0.7,N/A,N/A,7.8,0.3,N/A,N/A,3.9,0.4,N/A,N/A,3.6,1.1,N/A,N/A
UNITS IN STRUCTURE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,668896,529,668896,N/A,390475,422,390475,N/A,441720,442,441720,N/A,319739,445,319739,N/A,1027813,656,1027813,N/A,415149,238,415149,N/A,136398,133,136398,N/A
        1-unit detached,346896,2599,51.9,0.4,184802,2081,47.3,0.5,260720,2486,59.0,0.6,166123,2082,52.0,0.6,549045,3485,53.4,0.3,193365,1853,46.6,0.4,71849,1247,52.7,0.9
        1-unit attached,73075,1851,10.9,0.3,71398,1695,18.3,0.4,49020,1758,11.1,0.4,25705,1277,8.0,0.4,37365,1813,3.6,0.2,97667,1729,23.5,0.4,40456,1307,29.7,1.0
        2 units,9919,745,1.5,0.1,1683,341,0.4,0.1,5701,827,1.3,0.2,12812,945,4.0,0.3,13963,1103,1.4,0.1,1677,308,0.4,0.1,794,258,0.6,0.2
        3 or 4 units,37146,1410,5.6,0.2,5445,570,1.4,0.1,11036,908,2.5,0.2,11295,957,3.5,0.3,42537,1605,4.1,0.2,5275,684,1.3,0.2,1308,290,1.0,0.2
        5 to 9 units,31292,1304,4.7,0.2,18933,1088,4.8,0.3,23915,1383,5.4,0.3,20840,1314,6.5,0.4,76523,2499,7.4,0.2,20401,1246,4.9,0.3,4217,541,3.1,0.4
        10 to 19 units,34913,1198,5.2,0.2,34466,1252,8.8,0.3,36961,1936,8.4,0.4,29228,1451,9.1,0.5,102185,2819,9.9,0.3,40149,1448,9.7,0.3,8648,710,6.3,0.5
