label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error
Total:,668896,529,390475,422,441720,442,319739,445,1027813,656,415149,238,136398,133
    Occupied,635314,1803,372825,1093,410552,1748,289191,1394,945996,2684,398653,1053,132565,526
    Vacant,33582,1600,17650,1101,31168,1586,30548,1422,81817,2418,16496,998,3833,511
