label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),235054,5933,235054,N/A,179457,4332,179457,N/A,225347,6789,225347,N/A,126252,6369,126252,N/A,284122,8996,284122,N/A,195719,5055,195719,N/A,88917,3162,88917,N/A
        Less than 20.0 percent,102008,4745,43.4,1.6,89490,3632,49.9,1.7,130804,5737,58.0,1.8,59279,4607,47.0,3.0,117113,5665,41.2,1.8,94810,3624,48.4,1.6,51060,3425,57.4,2.8
        20.0 to 24.9 percent,34701,2721,14.8,1.1,25098,2287,14.0,1.2,26111,2767,11.6,1.2,18195,2610,14.4,1.9,41268,3601,14.5,1.2,33837,3054,17.3,1.5,12790,1672,14.4,1.9
        25.0 to 29.9 percent,24384,2176,10.4,0.9,18573,2044,10.3,1.1,20832,3260,9.2,1.4,13564,2239,10.7,1.7,30045,3517,10.6,1.1,19776,2155,10.1,1.1,9130,1492,10.3,1.7
        30.0 to 34.9 percent,18452,2262,7.9,0.9,10085,1877,5.6,1.0,13064,1963,5.8,0.8,9207,2035,7.3,1.6,22170,3554,7.8,1.2,10506,1589,5.4,0.8,4338,1144,4.9,1.3
        35.0 percent or more,55509,3387,23.6,1.3,36211,2848,20.2,1.5,34536,3360,15.3,1.5,26007,3124,20.6,2.2,73526,5721,25.9,1.7,36790,3193,18.8,1.5,11599,1703,13.0,1.9
        Not computed,877,432,N/A,N/A,739,570,N/A,N/A,579,372,N/A,N/A,648,658,N/A,N/A,1802,902,N/A,N/A,71,85,N/A,N/A,283,326,N/A,N/A
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),122501,4402,122501,N/A,71910,3399,71910,N/A,80004,3969,80004,N/A,52727,3183,52727,N/A,210047,6574,210047,N/A,83549,3870,83549,N/A,24360,2100,24360,N/A
        Less than 10.0 percent,59652,3328,48.7,2.1,41009,2462,57.0,2.9,47792,3265,59.7,2.8,28289,2778,53.7,3.8,77154,4753,36.7,2.0,42664,2933,51.1,2.3,16029,1930,65.8,5.0
        10.0 to 14.9 percent,21393,2602,17.5,2.0,12266,1844,17.1,2.3,12617,2008,15.8,2.5,9993,1775,19.0,3.0,45929,3540,21.9,1.5,14848,1829,17.8,2.1,3233,839,13.3,3.3
        15.0 to 19.9 percent,9668,1207,7.9,1.0,4764,1087,6.6,1.5,5714,1256,7.1,1.5,4248,1055,8.1,2.0,26138,3116,12.4,1.4,7489,1249,9.0,1.5,1499,533,6.2,2.1
        20.0 to 24.9 percent,6458,1351,5.3,1.1,3487,1160,4.8,1.6,3343,1065,4.2,1.3,3111,1060,5.9,2.0,15897,2183,7.6,1.0,5092,940,6.1,1.1,1044,574,4.3,2.3
        25.0 to 29.9 percent,4876,892,4.0,0.7,2267,1015,3.2,1.4,2316,820,2.9,1.0,2622,863,5.0,1.6,9410,1674,4.5,0.8,2487,639,3.0,0.8,400,326,1.6,1.3
        30.0 to 34.9 percent,3222,819,2.6,0.7,1041,485,1.4,0.7,1481,795,1.9,1.0,831,463,1.6,0.9,8175,1576,3.9,0.7,2189,796,2.6,1.0,335,368,1.4,1.5
        35.0 percent or more,17232,1953,14.1,1.5,7076,1288,9.8,1.7,6741,1613,8.4,2.0,3633,940,6.9,1.8,27344,3167,13.0,1.4,8780,1434,10.5,1.6,1820,797,7.5,3.2
        Not computed,1758,752,N/A,N/A,857,421,N/A,N/A,1411,845,N/A,N/A,722,476,N/A,N/A,3859,1182,N/A,N/A,968,508,N/A,N/A,0,216,N/A,N/A
GROSS RENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied units paying rent,298289,6420,298289,N/A,136129,4687,136129,N/A,170330,6352,170330,N/A,157969,6681,157969,N/A,483411,8838,483411,N/A,132232,4562,132232,N/A,N/A,N/A,N/A,N/A
        Less than $500,8051,1557,2.7,0.5,3589,1169,2.6,0.8,3720,1324,2.2,0.8,8462,1846,5.4,1.1,11769,2448,2.4,0.5,2431,850,1.8,0.6,N/A,N/A,N/A,N/A
        $500 to $999,9861,1387,3.3,0.5,4120,1188,3.0,0.9,15907,2478,9.3,1.4,11906,2405,7.5,1.5,34470,4416,7.1,0.9,4339,1416,3.3,1.0,N/A,N/A,N/A,N/A
        $1000 to $1499,14764,2261,4.9,0.7,15326,1986,11.3,1.5,45753,4949,26.9,2.6,46619,5149,29.5,3.2,164863,8446,34.1,1.6,10773,1954,8.1,1.4,N/A,N/A,N/A,N/A
        $1500 to $1999,33031,3587,11.1,1.2,46510,3535,34.2,2.3,64978,4965,38.1,2.7,50157,5154,31.8,2.9,158173,7688,32.7,1.5,36201,3227,27.4,2.3,N/A,N/A,N/A,N/A
        $2000 to $2499,50491,3914,16.9,1.3,33512,3533,24.6,2.4,26376,3566,15.5,2.1,25635,3978,16.2,2.4,68334,5009,14.1,1.0,39636,3786,30.0,2.5,N/A,N/A,N/A,N/A
        $2500 to $2999,58537,4241,19.6,1.4,15465,2622,11.4,1.9,8671,2038,5.1,1.2,8450,2033,5.3,1.3,26713,3796,5.5,0.8,18565,2088,14.0,1.6,N/A,N/A,N/A,N/A
        $3000 or more,123554,4875,41.4,1.4,17607,2437,12.9,1.7,4925,1440,2.9,0.8,6740,1843,4.3,1.1,19089,2854,3.9,0.6,20287,2271,15.3,1.7,N/A,N/A,N/A,N/A
        Median (dollars),2781,37,N/A,N/A,1984,35,N/A,N/A,1652,30,N/A,N/A,1620,48,N/A,N/A,1597,21,N/A,N/A,2156,35,N/A,N/A,2321,89,N/A,N/A
        No rent paid,7070,1820,N/A,N/A,3537,1215,N/A,N/A,3623,1035,N/A,N/A,3279,1203,N/A,N/A,10071,1827,N/A,N/A,2407,833,N/A,N/A,N/A,N/A,N/A,N/A
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied units paying rent (excluding units where GRAPI cannot be computed),293621,6477,293621,N/A,133138,5263,133138,N/A,168415,6508,168415,N/A,155336,6822,155336,N/A,473885,9243,473885,N/A,130720,4598,130720,N/A,30829,2681,30829,N/A
        Less than 15.0 percent,47883,3477,16.3,1.1,13133,2112,9.9,1.7,23112,3174,13.7,1.8,16158,2553,10.4,1.6,39852,4405,8.4,0.9,14691,2297,11.2,1.7,3586,975,11.6,3.0
        15.0 to 19.9 percent,39932,3926,13.6,1.3,17562,2846,13.2,2.0,21474,3119,12.8,1.8,18173,2909,11.7,1.9,58728,5361,12.4,1.1,19063,2644,14.6,1.9,3955,1210,12.8,3.8
        20.0 to 24.9 percent,35999,3179,12.3,1.1,15895,2304,11.9,1.6,20226,3111,12.0,1.7,22333,3246,14.4,2.2,55863,5791,11.8,1.2,19642,2856,15.0,2.2,5546,1312,18.0,4.1
        25.0 to 29.9 percent,33119,3641,11.3,1.2,15137,2064,11.4,1.4,24394,3419,14.5,2.0,19261,3400,12.4,2.0,62501,6161,13.2,1.3,18335,2938,14.0,2.2,4108,1323,13.3,4.1
        30.0 to 34.9 percent,26905,3538,9.2,1.2,11935,1778,9.0,1.3,19205,2936,11.4,1.7,13258,3098,8.5,1.9,49977,4952,10.5,1.1,13242,2276,10.1,1.7,2381,826,7.7,2.7
        35.0 percent or more,109783,5299,37.4,1.5,59476,4308,44.7,2.7,60004,4472,35.6,2.5,66153,5574,42.6,3.0,206964,9396,43.7,1.7,45747,3845,35.0,2.8,11253,1981,36.5,5.1
        Not computed,11738,2177,N/A,N/A,6528,1898,N/A,N/A,5538,1357,N/A,N/A,5912,1861,N/A,N/A,19597,3038,N/A,N/A,3919,1186,N/A,N/A,1212,667,N/A,N/A
