label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiapercentestimate,santa_clara_county_californiapercentmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiapercent_maleestimate,santa_clara_county_californiapercent_malemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,santa_clara_county_californiapercent_femaleestimate,santa_clara_county_californiapercent_femalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandpercentestimate,montgomery_county_marylandpercentmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandpercent_maleestimate,montgomery_county_marylandpercent_malemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,montgomery_county_marylandpercent_femaleestimate,montgomery_county_marylandpercent_femalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinapercentestimate,wake_county_north_carolinapercentmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinapercent_maleestimate,wake_county_north_carolinapercent_malemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,wake_county_north_carolinapercent_femaleestimate,wake_county_north_carolinapercent_femalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseepercentestimate,davidson_county_tennesseepercentmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseepercent_maleestimate,davidson_county_tennesseepercent_malemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,davidson_county_tennesseepercent_femaleestimate,davidson_county_tennesseepercent_femalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texaspercentestimate,dallas_county_texaspercentmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texaspercent_maleestimate,dallas_county_texaspercent_malemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,dallas_county_texaspercent_femaleestimate,dallas_county_texaspercent_femalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiapercentestimate,fairfax_county_virginiapercentmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiapercent_maleestimate,fairfax_county_virginiapercent_malemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,fairfax_county_virginiapercent_femaleestimate,fairfax_county_virginiapercent_femalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiapercentestimate,loudoun_county_virginiapercentmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiapercent_maleestimate,loudoun_county_virginiapercent_malemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error,loudoun_county_virginiapercent_femaleestimate,loudoun_county_virginiapercent_femalemargin_of_error
Total population,1877592,*****,N/A,N/A,957112,1092,N/A,N/A,920480,1092,N/A,N/A,1058474,*****,N/A,N/A,515740,328,N/A,N/A,542734,328,N/A,N/A,1190275,*****,N/A,N/A,582915,241,N/A,N/A,607360,241,N/A,N/A,712334,*****,N/A,N/A,344357,334,N/A,N/A,367977,334,N/A,N/A,2606358,*****,N/A,N/A,1292795,189,N/A,N/A,1313563,189,N/A,N/A,1141878,*****,N/A,N/A,569883,197,N/A,N/A,571995,197,N/A,N/A,436347,*****,N/A,N/A,218730,829,N/A,N/A,217617,829,N/A,N/A
    AGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
        Under 5 years,93972,386,5.0,0.1,48873,948,5.1,0.1,45099,851,4.9,0.1,59366,217,5.6,0.1,30705,206,6.0,0.1,28661,69,5.3,0.1,67560,163,5.7,0.1,34326,81,5.9,0.1,33234,143,5.5,0.1,45667,221,6.4,0.1,23113,221,6.7,0.1,22554,3,6.1,0.1,175053,*****,6.7,*****,89064,120,6.9,0.1,85989,121,6.5,0.1,64777,154,5.7,0.1,33055,44,5.8,0.1,31722,153,5.5,0.1,26353,85,6.0,0.1,13564,654,6.2,0.3,12789,665,5.9,0.3
        5 to 9 years,101352,4247,5.4,0.2,52138,3025,5.4,0.3,49214,2730,5.3,0.3,65627,3840,6.2,0.4,35028,2716,6.8,0.5,30599,2352,5.6,0.4,73992,4060,6.2,0.3,37772,3173,6.5,0.5,36220,2840,6.0,0.5,38317,3342,5.4,0.5,21489,2366,6.2,0.7,16828,2478,4.6,0.7,169650,6078,6.5,0.2,85184,4724,6.6,0.4,84466,4532,6.4,0.3,67414,3684,5.9,0.3,33223,2593,5.8,0.5,34191,2398,6.0,0.4,32357,2613,7.4,0.6,16873,1822,7.7,0.8,15484,1857,7.1,0.9
        10 to 14 years,107146,4239,5.7,0.2,55105,3054,5.8,0.3,52041,2751,5.7,0.3,69844,3852,6.6,0.4,34518,2697,6.7,0.5,35326,2365,6.5,0.4,78891,4043,6.6,0.3,40327,3214,6.9,0.6,38564,2837,6.3,0.5,38099,3358,5.3,0.5,16912,2364,4.9,0.7,21187,2496,5.8,0.7,186213,6077,7.1,0.2,96767,4724,7.5,0.4,89446,4531,6.8,0.3,78264,3674,6.9,0.3,41579,2586,7.3,0.5,36685,2387,6.4,0.4,33508,2598,7.7,0.6,16937,1802,7.7,0.8,16571,1850,7.6,0.8
        15 to 19 years,123987,1087,6.6,0.1,64056,983,6.7,0.1,59931,824,6.5,0.1,67425,264,6.4,0.1,34957,122,6.8,0.1,32468,232,6.0,0.1,79529,866,6.7,0.1,40550,723,7.0,0.1,38979,600,6.4,0.1,41289,1478,5.8,0.2,20772,405,6.0,0.1,20517,1499,5.6,0.4,182996,234,7.0,0.1,93667,283,7.2,0.1,89329,197,6.8,0.1,74526,144,6.5,0.1,38885,65,6.8,0.1,35641,102,6.2,0.1,33051,1256,7.6,0.3,17085,617,7.8,0.3,15966,1274,7.3,0.6
        20 to 24 years,119250,1230,6.4,0.1,62485,942,6.5,0.1,56765,746,6.2,0.1,58537,204,5.5,0.1,29550,172,5.7,0.1,28987,73,5.3,0.1,73690,852,6.2,0.1,36495,680,6.3,0.1,37195,668,6.1,0.1,51609,1445,7.2,0.2,24545,332,7.1,0.1,27064,1390,7.4,0.4,185802,434,7.1,0.1,92785,259,7.2,0.1,93017,349,7.1,0.1,66857,171,5.9,0.1,33689,72,5.9,0.1,33168,153,5.8,0.1,23798,1328,5.5,0.3,12048,340,5.5,0.2,11750,1242,5.4,0.6
        25 to 29 years,141737,1117,7.5,0.1,74714,444,7.8,0.1,67023,1015,7.3,0.1,59317,79,5.6,0.1,29025,4,5.6,0.1,30292,79,5.6,0.1,82621,140,6.9,0.1,40401,68,6.9,0.1,42220,123,7.0,0.1,71788,186,10.1,0.1,33768,163,9.8,0.1,38020,144,10.3,0.1,219092,371,8.4,0.1,109577,171,8.5,0.1,109515,365,8.3,0.1,72699,252,6.4,0.1,36999,188,6.5,0.1,35700,161,6.2,0.1,20435,522,4.7,0.1,10385,36,4.7,0.1,10050,515,4.6,0.2
        30 to 34 years,158005,662,8.4,0.1,85728,484,9.0,0.1,72277,344,7.9,0.1,64326,176,6.1,0.1,31914,160,6.2,0.1,32412,111,6.0,0.1,90045,168,7.6,0.1,44281,31,7.6,0.1,45764,157,7.5,0.1,71752,257,10.1,0.1,35222,195,10.2,0.1,36530,180,9.9,0.1,212259,*****,8.1,*****,106892,*****,8.3,0.1,105367,*****,8.0,0.1,75852,269,6.6,0.1,38740,200,6.8,0.1,37112,156,6.5,0.1,25103,543,5.8,0.1,12030,525,5.5,0.2,13073,80,6.0,0.1
        35 to 39 years,142645,5091,7.6,0.3,78204,3326,8.2,0.3,64441,3313,7.0,0.4,73642,3863,7.0,0.4,35822,2356,6.9,0.5,37820,2571,7.0,0.5,90944,3917,7.6,0.3,45720,2583,7.8,0.4,45224,3144,7.4,0.5,58605,3902,8.2,0.5,30067,2975,8.7,0.9,28538,2575,7.8,0.7,192434,7275,7.4,0.3,99045,4264,7.7,0.3,93389,5079,7.1,0.4,79466,4856,7.0,0.4,40278,3379,7.1,0.6,39188,2519,6.9,0.4,35963,3000,8.2,0.7,18339,1985,8.4,0.9,17624,1838,8.1,0.8
        40 to 44 years,127244,5147,6.8,0.3,63700,3254,6.7,0.3,63544,3368,6.9,0.4,73763,3861,7.0,0.4,36090,2337,7.0,0.5,37673,2581,6.9,0.5,89311,3875,7.5,0.3,42787,2569,7.3,0.4,46524,3101,7.7,0.5,47364,3944,6.6,0.6,22950,2912,6.7,0.8,24414,2565,6.6,0.7,166179,7235,6.4,0.3,82514,4253,6.4,0.3,83665,5040,6.4,0.4,86722,4891,7.6,0.4,43034,3414,7.6,0.6,43688,2518,7.6,0.4,36851,2937,8.4,0.7,17630,1959,8.1,0.9,19221,1851,8.8,0.9
        45 to 49 years,120849,231,6.4,0.1,61008,170,6.4,0.1,59841,174,6.5,0.1,69944,158,6.6,0.1,34082,132,6.6,0.1,35862,49,6.6,0.1,84136,507,7.1,0.1,41516,326,7.1,0.1,42620,320,7.0,0.1,40395,1233,5.7,0.2,19944,500,5.8,0.1,20451,1136,5.6,0.3,157012,254,6.0,0.1,77007,138,6.0,0.1,80005,203,6.1,0.1,77898,163,6.8,0.1,38429,97,6.7,0.1,39469,123,6.9,0.1,35603,92,8.2,0.1,18024,31,8.2,0.1,17579,87,8.1,0.1
        50 to 54 years,124862,487,6.7,0.1,63367,334,6.6,0.1,61495,348,6.7,0.1,72235,325,6.8,0.1,34820,83,6.8,0.1,37415,298,6.9,0.1,82501,323,6.9,0.1,41335,261,7.1,0.1,41166,182,6.8,0.1,37814,1034,5.3,0.1,18915,398,5.5,0.1,18899,974,5.1,0.3,156195,340,6.0,0.1,76890,*****,5.9,0.1,79305,340,6.0,0.1,78263,158,6.9,0.1,39057,74,6.9,0.1,39206,137,6.9,0.1,33563,71,7.7,0.1,17560,4,8.0,0.1,16003,70,7.4,0.1
        55 to 59 years,115851,4577,6.2,0.2,58580,3068,6.1,0.3,57271,2952,6.2,0.3,67201,3409,6.3,0.3,33214,2223,6.4,0.4,33987,2113,6.3,0.4,71286,3682,6.0,0.3,33855,2351,5.8,0.4,37431,2368,6.2,0.4,38374,2893,5.4,0.4,20108,1860,5.8,0.5,18266,1993,5.0,0.5,142638,5041,5.5,0.2,73672,3634,5.7,0.3,68966,3691,5.3,0.3,73175,3226,6.4,0.3,35503,2066,6.2,0.4,37672,2091,6.6,0.4,26107,1830,6.0,0.4,13599,1196,6.2,0.6,12508,1334,5.7,0.6
        60 to 64 years,112244,4600,6.0,0.2,57674,3149,6.0,0.3,54570,2900,5.9,0.3,70002,3352,6.6,0.3,32733,2214,6.3,0.4,37269,2084,6.9,0.4,66530,3649,5.6,0.3,33438,2336,5.7,0.4,33092,2362,5.4,0.4,36294,2889,5.1,0.4,15587,1858,4.5,0.5,20707,1996,5.6,0.5,143199,5040,5.5,0.2,68520,3634,5.3,0.3,74679,3690,5.7,0.3,68208,3252,6.0,0.3,34988,2067,6.1,0.4,33220,2092,5.8,0.4,23938,1814,5.5,0.4,12127,1201,5.5,0.5,11811,1323,5.4,0.6
        65 to 69 years,90302,3314,4.8,0.2,43913,2082,4.6,0.2,46389,2360,5.0,0.3,56295,2614,5.3,0.2,26602,1669,5.2,0.3,29693,1832,5.5,0.3,55548,2634,4.7,0.2,26910,1565,4.6,0.3,28638,1964,4.7,0.3,32636,2233,4.6,0.3,14064,1500,4.1,0.4,18572,1467,5.0,0.4,112894,3634,4.3,0.1,52548,2524,4.1,0.2,60346,2571,4.6,0.2,58478,2683,5.1,0.2,27289,1838,4.8,0.3,31189,1633,5.5,0.3,14780,1427,3.4,0.3,6711,911,3.1,0.4,8069,1004,3.7,0.5
        70 to 74 years,70216,3255,3.7,0.2,33080,2011,3.5,0.2,37136,2388,4.0,0.3,48648,2609,4.6,0.2,22322,1666,4.3,0.3,26326,1822,4.9,0.3,40325,2456,3.4,0.2,16549,1449,2.8,0.2,23776,1933,3.9,0.3,26660,2320,3.7,0.3,12602,1684,3.7,0.5,14058,1470,3.8,0.4,84159,3671,3.2,0.1,39271,2621,3.0,0.2,44888,2570,3.4,0.2,43760,2650,3.8,0.2,21923,1837,3.8,0.3,21837,1620,3.8,0.3,13466,1498,3.1,0.3,6883,927,3.1,0.4,6583,1088,3.0,0.5
        75 to 79 years,53150,2960,2.8,0.2,23462,1724,2.5,0.2,29688,2116,3.2,0.2,38637,2948,3.7,0.3,17042,1547,3.3,0.3,21595,2206,4.0,0.4,29808,2018,2.5,0.2,13114,1353,2.2,0.2,16694,1510,2.7,0.2,17386,1576,2.4,0.2,8104,996,2.4,0.3,9282,1188,2.5,0.3,57493,3262,2.2,0.1,24524,1853,1.9,0.1,32969,2554,2.5,0.2,36795,1957,3.2,0.2,16566,1265,2.9,0.2,20229,1654,3.5,0.3,9940,1155,2.3,0.3,4309,650,2.0,0.3,5631,870,2.6,0.4
        80 to 84 years,39118,2561,2.1,0.1,16594,1637,1.7,0.2,22524,1855,2.4,0.2,21096,2242,2.0,0.2,9569,1443,1.9,0.3,11527,1574,2.1,0.3,18435,2235,1.5,0.2,8456,1408,1.5,0.2,9979,1680,1.6,0.3,9242,1181,1.3,0.2,3541,763,1.0,0.2,5701,841,1.5,0.2,33548,2551,1.3,0.1,13578,1302,1.1,0.1,19970,2108,1.5,0.2,22960,1875,2.0,0.2,10741,1232,1.9,0.2,12219,1524,2.1,0.3,6888,1172,1.6,0.3,3270,689,1.5,0.3,3618,766,1.7,0.4
        85 years and over,35662,2937,1.9,0.2,14431,1593,1.5,0.2,21231,2004,2.3,0.2,22569,2400,2.1,0.2,7747,1381,1.5,0.3,14822,1751,2.7,0.3,15123,1836,1.3,0.2,5083,1010,0.9,0.2,10040,1454,1.7,0.2,9043,1500,1.3,0.2,2654,694,0.8,0.2,6389,1259,1.7,0.3,29542,2609,1.1,0.1,11290,1582,0.9,0.1,18252,1900,1.4,0.1,15764,1821,1.4,0.2,5905,990,1.0,0.2,9859,1438,1.7,0.3,4643,919,1.1,0.2,1356,478,0.6,0.2,3287,677,1.5,0.3
