Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
Montgomery County Maryland,52,Finance and insurance,All establishments,All establishments,2019,1529,2656745,892826,20269,
Montgomery County Maryland,53,Real estate and rental and leasing,All establishments,All establishments,2019,1516,887156,247233,10224,
Montgomery County Maryland,54,Professional scientific and technical services,All establishments,All establishments,2019,5790,7721954,1972690,81652,
Montgomery County Maryland,55,Management of companies and enterprises,All establishments,All establishments,2019,534,2113404,556150,14222,
Montgomery County Maryland,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,1817,2144259,525424,48225,
Montgomery County Maryland,61,Educational services,All establishments,All establishments,2019,610,611402,144658,12003,
Montgomery County Maryland,62,Health care and social assistance,All establishments,All establishments,2019,3784,4415341,1078985,77582,
Montgomery County Maryland,71,Arts entertainment and recreation,All establishments,All establishments,2019,414,237369,50666,8592,
Montgomery County Maryland,72,Accommodation and food services,All establishments,All establishments,2019,1962,861580,202829,35794,
Montgomery County Maryland,81,Other services (except public administration),All establishments,All establishments,2019,2497,1640019,423275,27071,
Montgomery County Maryland,99,Industries not classified,All establishments,All establishments,2019,54,1721,348,47,
Montgomery County Maryland,0,Total for all sectors,All establishments,All establishments,2020,27498,31225789,8378416,451660,
Montgomery County Maryland,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2020,19,2370,636,52,
Montgomery County Maryland,22,Utilities,All establishments,All establishments,2020,21,51805,14865,445,
Montgomery County Maryland,23,Construction,All establishments,All establishments,2020,2293,1901101,461681,27058,
Montgomery County Maryland,31-33,Manufacturing,All establishments,All establishments,2020,348,534413,139936,5950,
Montgomery County Maryland,42,Wholesale trade,All establishments,All establishments,2020,715,1159299,315866,10525,
Montgomery County Maryland,44-45,Retail trade,All establishments,All establishments,2020,2462,1539083,388500,46937,
Montgomery County Maryland,48-49,Transportation and warehousing,All establishments,All establishments,2020,332,159082,36432,4261,
Montgomery County Maryland,51,Information,All establishments,All establishments,2020,619,1798241,502800,15834,
Montgomery County Maryland,52,Finance and insurance,All establishments,All establishments,2020,1537,2945333,972258,21425,
Montgomery County Maryland,53,Real estate and rental and leasing,All establishments,All establishments,2020,1591,1175472,360809,12472,
Montgomery County Maryland,54,Professional scientific and technical services,All establishments,All establishments,2020,5878,8332145,2045552,81147,
Montgomery County Maryland,55,Management of companies and enterprises,All establishments,All establishments,2020,536,1928912,620208,15461,
Montgomery County Maryland,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,1825,2068136,526670,47524,
Montgomery County Maryland,61,Educational services,All establishments,All establishments,2020,617,606517,156798,12640,
Montgomery County Maryland,62,Health care and social assistance,All establishments,All establishments,2020,3844,4508191,1124658,78450,
Montgomery County Maryland,71,Arts entertainment and recreation,All establishments,All establishments,2020,396,193011,56306,9505,
Montgomery County Maryland,72,Accommodation and food services,All establishments,All establishments,2020,1905,658597,205834,35037,
Montgomery County Maryland,81,Other services (except public administration),All establishments,All establishments,2020,2500,1662218,448312,26895,
Montgomery County Maryland,99,Industries not classified,All establishments,All establishments,2020,60,1863,295,42,
Montgomery County Maryland,0,,All establishments,All establishments,2021,27586,33266789,8362695,413726,Total for all sectors
Montgomery County Maryland,11,,All establishments,All establishments,2021,20,2534,650,54,Agriculture forestry fishing and hunting
Montgomery County Maryland,22,,All establishments,All establishments,2021,22,47616,14655,419,Utilities
Montgomery County Maryland,23,,All establishments,All establishments,2021,2323,1986087,443271,26212,Construction
Montgomery County Maryland,31-33,,All establishments,All establishments,2021,346,582921,142263,5806,Manufacturing
Montgomery County Maryland,42,,All establishments,All establishments,2021,688,1265073,345544,9974,Wholesale trade
Montgomery County Maryland,44-45,,All establishments,All establishments,2021,2410,1705915,381878,43187,Retail trade
Montgomery County Maryland,48-49,,All establishments,All establishments,2021,377,183599,38716,4507,Transportation and warehousing
Montgomery County Maryland,51,,All establishments,All establishments,2021,640,1646524,463539,13682,Information
Montgomery County Maryland,52,,All establishments,All establishments,2021,1505,3320117,1143880,21669,Finance and insurance
Montgomery County Maryland,53,,All establishments,All establishments,2021,1638,1139622,303276,11096,Real estate and rental and leasing
Montgomery County Maryland,54,,All establishments,All establishments,2021,5865,9585244,2325469,81930,Professional scientific and technical services
Montgomery County Maryland,55,,All establishments,All establishments,2021,602,1912689,481261,13066,Management of companies and enterprises
Montgomery County Maryland,56,,All establishments,All establishments,2021,1826,2134951,502850,41225,Administrative and support and waste management and remediation services
Montgomery County Maryland,61,,All establishments,All establishments,2021,594,659781,148465,10607,Educational services
Montgomery County Maryland,62,,All establishments,All establishments,2021,3887,4387014,1017642,72707,Health care and social assistance
Montgomery County Maryland,71,,All establishments,All establishments,2021,407,225860,39914,6052,Arts entertainment and recreation
Montgomery County Maryland,72,,All establishments,All establishments,2021,1882,789814,157429,27694,Accommodation and food services
Montgomery County Maryland,81,,All establishments,All establishments,2021,2510,1688302,411229,23762,Other services (except public administration)
Montgomery County Maryland,99,,All establishments,All establishments,2021,43,2990,628,62,Industries not classified
Santa Clara County California,0,Total for all sectors,All establishments,All establishments,2019,49035,148407685,37265751,1102219,
Santa Clara County California,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2019,26,10927,2548,226,
Santa Clara County California,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2019,12,15299,3590,134,
Santa Clara County California,22,Utilities,All establishments,All establishments,2019,25,272318,72553,1978,
Santa Clara County California,23,Construction,All establishments,All establishments,2019,3674,4790361,1120671,52400,
Santa Clara County California,31-33,Manufacturing,All establishments,All establishments,2019,2136,10347631,2810902,85171,
Santa Clara County California,42,Wholesale trade,All establishments,All establishments,2019,2400,15197729,3813560,77096,
Santa Clara County California,44-45,Retail trade,All establishments,All establishments,2019,4457,3506650,903053,81928,
Santa Clara County California,48-49,Transportation and warehousing,All establishments,All establishments,2019,680,752324,189466,13081,
Santa Clara County California,51,Information,All establishments,All establishments,2019,1933,39477385,10826325,140919,
Santa Clara County California,52,Finance and insurance,All establishments,All establishments,2019,2390,4737616,1669784,26371,
Santa Clara County California,53,Real estate and rental and leasing,All establishments,All establishments,2019,2971,1434864,382913,16283,
Santa Clara County California,54,Professional scientific and technical services,All establishments,All establishments,2019,8902,23379250,5787208,145806,
Santa Clara County California,55,Management of companies and enterprises,All establishments,All establishments,2019,264,21591016,4116274,78683,
Santa Clara County California,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,2238,3211466,785138,63318,
Santa Clara County California,61,Educational services,All establishments,All establishments,2019,1139,4311402,1105919,54340,
Santa Clara County California,62,Health care and social assistance,All establishments,All establishments,2019,5926,10415455,2520244,118072,
Santa Clara County California,71,Arts entertainment and recreation,All establishments,All establishments,2019,699,825877,156920,19073,
Santa Clara County California,72,Accommodation and food services,All establishments,All establishments,2019,5217,2744659,653363,95778,
Santa Clara County California,81,Other services (except public administration),All establishments,All establishments,2019,3875,1381374,344689,31472,
Santa Clara County California,99,Industries not classified,All establishments,All establishments,2019,71,4082,631,90,
Santa Clara County California,0,Total for all sectors,All establishments,All establishments,2020,49013,165113675,40496644,1129499,
Santa Clara County California,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2020,24,12145,2999,257,
Santa Clara County California,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2020,11,14384,3911,140,
Santa Clara County California,22,Utilities,All establishments,All establishments,2020,27,314749,80001,2019,
Santa Clara County California,23,Construction,All establishments,All establishments,2020,3724,4515338,1153510,52288,
Santa Clara County California,31-33,Manufacturing,All establishments,All establishments,2020,2069,10771607,3008903,86632,
Santa Clara County California,42,Wholesale trade,All establishments,All establishments,2020,2306,15723690,3888476,78661,
Santa Clara County California,44-45,Retail trade,All establishments,All establishments,2020,4358,3536751,899679,81366,
Santa Clara County California,48-49,Transportation and warehousing,All establishments,All establishments,2020,766,787804,210444,14741,
Santa Clara County California,51,Information,All establishments,All establishments,2020,1929,45723790,11952156,149287,
Santa Clara County California,52,Finance and insurance,All establishments,All establishments,2020,2374,5002356,1826549,27182,
Santa Clara County California,53,Real estate and rental and leasing,All establishments,All establishments,2020,3052,1531357,415658,16429,
Santa Clara County California,54,Professional scientific and technical services,All establishments,All establishments,2020,8977,26353025,6439204,154546,
Santa Clara County California,55,Management of companies and enterprises,All establishments,All establishments,2020,262,28123341,4645433,86091,
Santa Clara County California,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,2272,3705481,891154,59564,
Santa Clara County California,61,Educational services,All establishments,All establishments,2020,1170,4404836,1092829,57339,
Santa Clara County California,62,Health care and social assistance,All establishments,All establishments,2020,6075,10579558,2768975,118836,
Santa Clara County California,71,Arts entertainment and recreation,All establishments,All establishments,2020,719,717504,185313,19953,
Santa Clara County California,72,Accommodation and food services,All establishments,All establishments,2020,5008,1987268,662823,92647,
Santa Clara County California,81,Other services (except public administration),All establishments,All establishments,2020,3805,1305694,368098,31436,
Santa Clara County California,99,Industries not classified,All establishments,All establishments,2020,85,2997,529,85,
Santa Clara County California,0,,All establishments,All establishments,2021,48749,194044418,45337999,1057178,Total for all sectors
Santa Clara County California,11,,All establishments,All establishments,2021,28,12894,2873,259,Agriculture forestry fishing and hunting
Santa Clara County California,21,,All establishments,All establishments,2021,10,13724,3247,124,Mining quarrying and oil and gas extraction
Santa Clara County California,22,,All establishments,All establishments,2021,27,355580,86744,2322,Utilities
Santa Clara County California,23,,All establishments,All establishments,2021,3809,4759869,1130084,49575,Construction
Santa Clara County California,31-33,,All establishments,All establishments,2021,2028,13738625,3822285,88625,Manufacturing
Santa Clara County California,42,,All establishments,All establishments,2021,2240,15718154,3853449,69869,Wholesale trade
Santa Clara County California,44-45,,All establishments,All establishments,2021,4315,3801684,843532,76672,Retail trade
Santa Clara County California,48-49,,All establishments,All establishments,2021,804,815470,187420,14389,Transportation and warehousing
Santa Clara County California,51,,All establishments,All establishments,2021,1959,54328221,13279429,143850,Information
Santa Clara County California,52,,All establishments,All establishments,2021,2394,5933498,2445104,26406,Finance and insurance
Santa Clara County California,53,,All establishments,All establishments,2021,3100,1585530,384646,15188,Real estate and rental and leasing
Santa Clara County California,54,,All establishments,All establishments,2021,8891,34511523,8089463,160339,Professional scientific and technical services
Santa Clara County California,55,,All establishments,All establishments,2021,256,33440985,5473984,80305,Management of companies and enterprises
Santa Clara County California,56,,All establishments,All establishments,2021,2249,4501337,962191,57479,Administrative and support and waste management and remediation services
Santa Clara County California,61,,All establishments,All establishments,2021,1154,4610805,1124517,53186,Educational services
Santa Clara County California,62,,All establishments,All establishments,2021,6098,11597432,2796795,115980,Health care and social assistance
Santa Clara County California,71,,All establishments,All establishments,2021,693,742295,101256,9271,Arts entertainment and recreation
Santa Clara County California,72,,All establishments,All establishments,2021,4933,2205550,433792,68454,Accommodation and food services
Santa Clara County California,81,,All establishments,All establishments,2021,3674,1364427,316435,24782,Other services (except public administration)
Santa Clara County California,99,,All establishments,All establishments,2021,87,6815,753,103,Industries not classified
,,,,,,,,,,
