label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiapercentestimate,santa_clara_county_californiapercentmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiapercent_maleestimate,santa_clara_county_californiapercent_malemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,santa_clara_county_californiapercent_femaleestimate,santa_clara_county_californiapercent_femalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandpercentestimate,montgomery_county_marylandpercentmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandpercent_maleestimate,montgomery_county_marylandpercent_malemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,montgomery_county_marylandpercent_femaleestimate,montgomery_county_marylandpercent_femalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinapercentestimate,wake_county_north_carolinapercentmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinapercent_maleestimate,wake_county_north_carolinapercent_malemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,wake_county_north_carolinapercent_femaleestimate,wake_county_north_carolinapercent_femalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseepercentestimate,davidson_county_tennesseepercentmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseepercent_maleestimate,davidson_county_tennesseepercent_malemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,davidson_county_tennesseepercent_femaleestimate,davidson_county_tennesseepercent_femalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texaspercentestimate,dallas_county_texaspercentmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texaspercent_maleestimate,dallas_county_texaspercent_malemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,dallas_county_texaspercent_femaleestimate,dallas_county_texaspercent_femalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiapercentestimate,fairfax_county_virginiapercentmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiapercent_maleestimate,fairfax_county_virginiapercent_malemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,fairfax_county_virginiapercent_femaleestimate,fairfax_county_virginiapercent_femalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiapercentestimate,loudoun_county_virginiapercentmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiapercent_maleestimate,loudoun_county_virginiapercent_malemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error,loudoun_county_virginiapercent_femaleestimate,loudoun_county_virginiapercent_femalemargin_of_error
    SELECTED AGE CATEGORIES,N/A,N/A,0.0655,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0695,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.0625,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.07200000000000001,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
        5 to 14 years,238077,280,0.124,0.1,122325,280,0.125,0.1,115752,*****,0.122,0.1,136524,66,0.13,0.1,70233,122,0.139,0.1,66291,112,0.122,0.1,148733,62,0.136,0.1,75581,46,0.142,0.1,73152,51,0.13,0.1,77103,83,0.11199999999999999,0.1,38861,78,0.11699999999999999,0.1,38242,88,0.107,0.1,381376,85,0.145,0.1,194385,73,0.15,0.1,186991,43,0.141,0.1,150685,96,0.131,0.1,77372,53,0.136,0.1,73313,99,0.127,0.1,66403,23,0.16399999999999998,0.1,33899,4,0.168,0.1,32504,23,0.159,0.1
        15 to 17 years,70353,*****,0.037000000000000005,*****,35931,100,0.037000000000000005,0.1,34422,100,0.036000000000000004,0.1,41625,6,0.04,0.1,21012,39,0.040999999999999995,0.1,20613,40,0.038,0.1,45135,22,0.040999999999999995,0.1,22822,11,0.043,0.1,22313,15,0.04,0.1,20683,86,0.03,0.1,10491,76,0.032,0.1,10192,64,0.027999999999999997,0.1,110501,66,0.042,0.1,55941,5,0.043,0.1,54560,65,0.040999999999999995,0.1,45839,96,0.04,0.1,23399,61,0.040999999999999995,0.1,22440,104,0.039,0.1,19236,9,0.047,0.1,9688,18,0.048,0.1,9548,18,0.047,0.1
        Under 18 years,421988,*****,0.21899999999999997,*****,216723,256,0.222,0.1,205265,256,0.21600000000000003,0.1,243489,*****,0.23199999999999998,*****,124489,137,0.24600000000000002,0.1,119000,137,0.22,0.1,260902,90,0.239,0.1,132714,56,0.25,0.1,128188,87,0.22899999999999998,0.1,143847,*****,0.20800000000000002,*****,72758,98,0.21899999999999997,0.1,71089,99,0.19899999999999998,0.1,685818,*****,0.261,*****,349488,91,0.27,0.1,336330,92,0.253,0.1,270227,*****,0.235,*****,138556,77,0.243,0.1,131671,76,0.22699999999999998,0.1,114090,25,0.281,0.1,57998,32,0.28800000000000003,0.1,56092,42,0.275,0.1
        18 to 24 years,161684,*****,0.084,*****,84376,*****,0.087,0.1,77308,*****,0.081,0.1,81852,104,0.078,0.1,41358,89,0.08199999999999999,0.1,40494,80,0.075,0.1,99173,137,0.091,0.1,49638,84,0.09300000000000001,0.1,49535,130,0.08800000000000001,0.1,67974,173,0.098,0.1,32622,118,0.098,0.1,35352,128,0.099,0.1,250145,49,0.095,0.1,126414,44,0.098,0.1,123731,13,0.09300000000000001,0.1,95852,121,0.083,0.1,48664,109,0.085,0.1,47188,53,0.081,0.1,30168,55,0.07400000000000001,0.1,15347,36,0.076,0.1,14821,46,0.073,0.1
        15 to 44 years,822811,*****,0.428,*****,431613,100,0.44299999999999995,0.1,391198,100,0.41200000000000003,0.1,400127,189,0.382,0.1,197649,132,0.39,0.1,202478,127,0.374,0.1,468965,162,0.43,0.1,230630,89,0.434,0.1,238335,116,0.425,0.1,323246,143,0.46799999999999997,0.1,158061,101,0.475,0.1,165185,136,0.461,0.1,1155110,71,0.44,0.1,579058,53,0.44799999999999995,0.1,576052,77,0.433,0.1,460651,150,0.401,0.1,232407,61,0.408,0.1,228244,152,0.39399999999999996,0.1,166433,74,0.41100000000000003,0.1,82218,64,0.408,0.1,84215,46,0.413,0.1
        16 years and over,1549653,934,0.805,0.1,782685,629,0.8029999999999999,0.1,766968,696,0.8079999999999999,0.1,831326,584,0.794,0.1,395942,483,0.782,0.1,435384,524,0.804,0.1,860482,869,0.7879999999999999,0.1,413970,535,0.78,0.1,446512,636,0.7959999999999999,0.1,560745,520,0.812,0.1,266943,382,0.8029999999999999,0.1,293802,428,0.821,0.1,2011053,1284,0.767,0.1,981578,819,0.759,0.1,1029475,862,0.774,0.1,908390,927,0.79,0.1,446854,579,0.784,0.1,461536,686,0.797,0.1,304587,468,0.7509999999999999,0.1,150010,363,0.745,0.2,154577,343,0.758,0.2
        18 years and over,1502391,*****,0.7809999999999999,*****,758018,*****,0.778,0.1,744373,*****,0.784,0.1,804172,*****,0.768,*****,381979,100,0.754,0.1,422193,99,0.78,0.1,830760,108,0.7609999999999999,0.1,398324,110,0.75,0.1,432436,71,0.7709999999999999,0.1,546693,*****,0.792,*****,259769,50,0.7809999999999999,0.1,286924,52,0.8009999999999999,0.1,1936816,*****,0.7390000000000001,*****,943807,66,0.73,0.1,993009,66,0.747,0.1,879212,*****,0.765,*****,431716,26,0.757,0.1,447496,24,0.773,0.1,291222,25,0.7190000000000001,0.1,143279,45,0.7120000000000001,0.1,147943,39,0.725,0.1
        21 years and over,1436965,936,0.747,0.1,723804,837,0.743,0.1,713161,725,0.7509999999999999,0.1,771039,841,0.736,0.1,364511,569,0.72,0.1,406528,614,0.7509999999999999,0.1,785940,1124,0.72,0.1,375391,841,0.7070000000000001,0.2,410549,792,0.732,0.1,520379,700,0.754,0.1,247289,419,0.7440000000000001,0.1,273090,611,0.763,0.2,1835515,1495,0.7,0.1,891773,1022,0.69,0.1,943742,981,0.71,0.1,840294,922,0.731,0.1,412547,554,0.723,0.1,427747,702,0.7390000000000001,0.1,278284,437,0.687,0.1,136596,406,0.679,0.2,141688,305,0.6940000000000001,0.2
        60 years and over,364232,1699,0.18899999999999997,0.1,168604,1166,0.17300000000000001,0.1,195628,1234,0.20600000000000002,0.1,226452,1571,0.21600000000000003,0.1,100698,990,0.19899999999999998,0.2,125754,1041,0.23199999999999998,0.2,183830,1671,0.168,0.2,81836,1078,0.154,0.2,101994,1051,0.182,0.2,120691,1089,0.175,0.2,53254,759,0.16,0.2,67437,811,0.188,0.2,413153,2460,0.158,0.1,184257,1754,0.142,0.1,228896,1790,0.172,0.1,223100,1362,0.19399999999999998,0.1,104700,942,0.184,0.2,118400,933,0.204,0.2,55626,735,0.13699999999999998,0.2,25631,498,0.127,0.2,29995,496,0.147,0.2
        62 years and over,318337,1314,0.165,0.1,145199,881,0.149,0.1,173138,952,0.182,0.1,200249,1295,0.191,0.1,88198,875,0.174,0.2,112051,895,0.207,0.2,159476,1251,0.146,0.1,70014,769,0.132,0.1,89462,982,0.16,0.2,104823,1093,0.152,0.2,45773,703,0.138,0.2,59050,758,0.165,0.2,355387,2250,0.136,0.1,155996,1604,0.121,0.1,199391,1734,0.15,0.1,193139,1162,0.168,0.1,89687,848,0.157,0.1,103452,748,0.179,0.1,47477,636,0.11699999999999999,0.2,21672,402,0.10800000000000001,0.2,25805,472,0.126,0.2
        65 years and over,259988,*****,0.135,*****,115902,*****,0.11900000000000001,0.1,144086,*****,0.152,0.1,162414,26,0.155,0.1,70384,10,0.139,0.1,92030,21,0.17,0.1,127133,50,0.11599999999999999,0.1,54965,27,0.10400000000000001,0.1,72168,39,0.129,0.1,84748,20,0.12300000000000001,0.1,35790,4,0.10800000000000001,0.1,48958,19,0.13699999999999998,0.1,281461,56,0.107,0.1,121243,30,0.094,0.1,160218,54,0.121,0.1,155332,32,0.135,0.1,71140,32,0.125,0.1,84192,16,0.145,0.1,38019,16,0.094,0.1,16998,2,0.084,0.1,21021,16,0.10300000000000001,0.1
        75 years and over,115249,67,0.06,0.1,48611,67,0.05,0.1,66638,*****,0.07,0.1,70258,69,0.067,0.1,28152,43,0.055999999999999994,0.1,42106,61,0.078,0.1,48045,78,0.044000000000000004,0.1,19309,23,0.036000000000000004,0.1,28736,75,0.051,0.1,33015,51,0.048,0.1,12479,43,0.038,0.1,20536,35,0.057,0.1,109010,42,0.042,0.1,43031,24,0.033,0.1,65979,41,0.05,0.1,61145,50,0.053,0.1,26497,51,0.046,0.1,34648,5,0.06,0.1,15268,38,0.038,0.1,6384,22,0.032,0.1,8884,27,0.044000000000000004,0.1
    SUMMARY INDICATORS,N/A,N/A,0.0655,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0695,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.0625,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.07200000000000001,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
        Median age (years),37.2,0.2,0.0655,N/A,36.1,0.1,0.0685,N/A,38.4,0.2,0.07,N/A,39.4,0.2,0.067,N/A,38.1,0.2,0.0685,N/A,40.7,0.2,0.0685,N/A,36.4,0.1,0.0695,N/A,35.5,0.1,0.07250000000000001,N/A,37.4,0.2,0.07050000000000001,N/A,34.4,0.1,0.0625,N/A,33.9,0.1,0.069,N/A,35.0,0.2,0.0645,N/A,33.5,0.1,0.07050000000000001,N/A,32.7,0.1,0.07250000000000001,N/A,34.4,0.1,0.07050000000000001,N/A,38.1,0.1,0.067,N/A,37.2,0.2,0.068,N/A,39.1,0.2,0.068,N/A,36.5,0.2,0.07200000000000001,N/A,36.2,0.2,0.0755,N/A,36.8,0.2,0.07250000000000001,N/A
        Sex ratio (males per 100 females),102.6,0.1,0.0655,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,93.6,0.1,0.067,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,94.7,0.1,0.0695,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,92.9,0.1,0.0625,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,97.3,0.1,0.07050000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,98.5,0.1,0.067,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,98.6,0.1,0.07200000000000001,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
        Age dependency ratio,54.9,*****,0.0655,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,63.2,0.1,0.067,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,55.1,0.1,0.0695,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,49.5,0.1,0.0625,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,58.4,0.1,0.07050000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,58.8,0.1,0.067,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,60.1,0.1,0.07200000000000001,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
        Old-age dependency ratio,20.9,*****,0.0655,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,25.3,0.1,0.067,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,18.1,0.1,0.0695,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,18.3,0.1,0.0625,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,17.0,0.1,0.07050000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,21.5,0.1,0.067,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,15.0,0.1,0.07200000000000001,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
        Child dependency ratio,34.0,*****,0.0655,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,37.9,0.1,0.067,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,37.1,0.1,0.0695,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,31.1,0.1,0.0625,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,41.4,0.1,0.07050000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,37.3,0.1,0.067,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,45.1,0.1,0.07200000000000001,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
    PERCENT ALLOCATED,N/A,N/A,0.0655,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0695,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.0625,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.07200000000000001,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
        Sex,N/A,N/A,0.0,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,N/A,N/A,0.0,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.001,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,N/A,N/A,0.0,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.0,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.0,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
        Age,N/A,N/A,0.019,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,N/A,N/A,0.02,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.008,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.018000000000000002,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,N/A,N/A,0.013000000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.016,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.019,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
