label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiapercentestimate,santa_clara_county_californiapercentmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiapercent_maleestimate,santa_clara_county_californiapercent_malemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,santa_clara_county_californiapercent_femaleestimate,santa_clara_county_californiapercent_femalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandpercentestimate,montgomery_county_marylandpercentmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandpercent_maleestimate,montgomery_county_marylandpercent_malemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,montgomery_county_marylandpercent_femaleestimate,montgomery_county_marylandpercent_femalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinapercentestimate,wake_county_north_carolinapercentmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinapercent_maleestimate,wake_county_north_carolinapercent_malemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,wake_county_north_carolinapercent_femaleestimate,wake_county_north_carolinapercent_femalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseepercentestimate,davidson_county_tennesseepercentmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseepercent_maleestimate,davidson_county_tennesseepercent_malemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,davidson_county_tennesseepercent_femaleestimate,davidson_county_tennesseepercent_femalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texaspercentestimate,dallas_county_texaspercentmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texaspercent_maleestimate,dallas_county_texaspercent_malemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,dallas_county_texaspercent_femaleestimate,dallas_county_texaspercent_femalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiapercentestimate,fairfax_county_virginiapercentmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiapercent_maleestimate,fairfax_county_virginiapercent_malemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,fairfax_county_virginiapercent_femaleestimate,fairfax_county_virginiapercent_femalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiapercentestimate,loudoun_county_virginiapercentmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiapercent_maleestimate,loudoun_county_virginiapercent_malemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error,loudoun_county_virginiapercent_femaleestimate,loudoun_county_virginiapercent_femalemargin_of_error
        40 to 44 years,135007,2403,0.07,0.1,68152,1628,0.07,0.2,66855,1519,0.07,0.2,70626,1616,0.067,0.2,34369,1095,0.068,0.2,36257,1080,0.067,0.2,81789,2012,0.075,0.2,38751,1508,0.073,0.3,43038,1241,0.077,0.2,43337,1482,0.063,0.2,22489,898,0.068,0.3,20848,943,0.057999999999999996,0.3,173303,2355,0.066,0.1,85950,2040,0.066,0.2,87353,1719,0.066,0.1,78377,1589,0.068,0.1,38960,1250,0.068,0.2,39417,981,0.068,0.2,35059,1173,0.086,0.3,17979,750,0.08900000000000001,0.4,17080,869,0.084,0.4
        45 to 49 years,134779,94,0.07,0.1,67825,*****,0.07,0.1,66954,92,0.071,0.1,72583,105,0.069,0.1,34770,84,0.069,0.1,37813,68,0.07,0.1,81226,48,0.07400000000000001,0.1,39948,4,0.075,0.1,41278,47,0.07400000000000001,0.1,40695,116,0.059000000000000004,0.1,20137,65,0.061,0.1,20558,97,0.057,0.1,167076,49,0.064,0.1,81916,16,0.063,0.1,85160,44,0.064,0.1,82701,118,0.07200000000000001,0.1,40597,21,0.071,0.1,42104,113,0.073,0.1,34038,48,0.084,0.1,17436,41,0.087,0.1,16602,25,0.081,0.1
        50 to 54 years,128417,94,0.067,0.1,65242,*****,0.067,0.1,63175,93,0.067,0.1,73284,214,0.07,0.1,34944,195,0.069,0.1,38340,90,0.071,0.1,74274,53,0.068,0.1,36300,31,0.068,0.1,37974,25,0.068,0.1,39679,125,0.057,0.1,19471,75,0.059000000000000004,0.1,20208,103,0.055999999999999994,0.1,158339,62,0.06,0.1,78792,50,0.061,0.1,79547,43,0.06,0.1,80566,34,0.07,0.1,39477,21,0.069,0.1,41089,24,0.071,0.1,29809,44,0.07400000000000001,0.1,15040,23,0.075,0.1,14769,37,0.07200000000000001,0.1
        55 to 59 years,122505,1699,0.064,0.1,60665,1166,0.062,0.1,61840,1234,0.065,0.1,73351,1571,0.07,0.1,34930,990,0.069,0.2,38421,1041,0.071,0.2,67600,1643,0.062,0.2,32432,1069,0.061,0.2,35168,1042,0.063,0.2,43065,1088,0.062,0.2,19337,754,0.057999999999999996,0.2,23728,823,0.066,0.2,153639,2461,0.059000000000000004,0.1,75725,1756,0.059000000000000004,0.1,77914,1783,0.059000000000000004,0.1,78033,1362,0.068,0.1,37934,943,0.067,0.2,40099,939,0.069,0.2,24552,732,0.061,0.2,12642,494,0.063,0.2,11910,496,0.057999999999999996,0.2
        60 to 64 years,104244,1699,0.054000000000000006,0.1,52702,1166,0.054000000000000006,0.1,51542,1234,0.054000000000000006,0.1,64038,1569,0.061,0.1,30314,989,0.06,0.2,33724,1039,0.062,0.2,56697,1666,0.052000000000000005,0.2,26871,1083,0.051,0.2,29826,1042,0.053,0.2,35943,1091,0.052000000000000005,0.2,17464,759,0.053,0.2,18479,815,0.052000000000000005,0.2,131692,2450,0.05,0.1,63014,1754,0.049,0.1,68678,1789,0.052000000000000005,0.1,67768,1364,0.059000000000000004,0.1,33560,948,0.059000000000000004,0.2,34208,935,0.059000000000000004,0.2,17607,737,0.043,0.2,8633,498,0.043,0.2,8974,497,0.044000000000000004,0.2
        65 to 69 years,83532,1377,0.043,0.1,40060,917,0.040999999999999995,0.1,43472,840,0.046,0.1,53682,1277,0.051,0.1,25133,825,0.05,0.2,28549,917,0.053,0.2,44885,1359,0.040999999999999995,0.1,20145,886,0.038,0.2,24740,800,0.044000000000000004,0.1,30575,894,0.044000000000000004,0.1,13693,588,0.040999999999999995,0.2,16882,685,0.047,0.2,101221,1829,0.039,0.1,46803,1081,0.036000000000000004,0.1,54418,1216,0.040999999999999995,0.1,53987,1362,0.047,0.1,25799,795,0.045,0.1,28188,910,0.049,0.2,12692,543,0.031,0.1,5990,377,0.03,0.2,6702,444,0.033,0.2
        70 to 74 years,61207,1368,0.032,0.1,27231,917,0.027999999999999997,0.1,33976,839,0.036000000000000004,0.1,38474,1274,0.037000000000000005,0.1,17099,827,0.034,0.2,21375,907,0.039,0.2,34203,1353,0.031,0.1,15511,880,0.028999999999999998,0.2,18692,792,0.033,0.1,21158,900,0.031,0.1,9618,587,0.028999999999999998,0.2,11540,693,0.032,0.2,71230,1833,0.027000000000000003,0.1,31409,1083,0.024,0.1,39821,1217,0.03,0.1,40200,1367,0.035,0.1,18844,799,0.033,0.1,21356,911,0.037000000000000005,0.2,10059,542,0.025,0.1,4624,377,0.023,0.2,5435,439,0.027000000000000003,0.2
        75 to 79 years,45079,1297,0.023,0.1,21240,910,0.022000000000000002,0.1,23839,925,0.025,0.1,27769,1041,0.027000000000000003,0.1,11779,681,0.023,0.1,15990,732,0.03,0.1,20142,1362,0.018000000000000002,0.1,8741,690,0.016,0.1,11401,882,0.02,0.2,14206,866,0.021,0.1,6232,455,0.019,0.1,7974,636,0.022000000000000002,0.2,45842,1324,0.017,0.1,19837,928,0.015,0.1,26005,766,0.02,0.1,27329,1041,0.024,0.1,12893,647,0.023,0.1,14436,667,0.025,0.1,6189,394,0.015,0.1,2592,223,0.013000000000000001,0.1,3597,325,0.018000000000000002,0.2
        80 to 84 years,32202,1195,0.017,0.1,13198,714,0.013999999999999999,0.1,19004,839,0.02,0.1,19323,1058,0.018000000000000002,0.1,8056,529,0.016,0.1,11267,785,0.021,0.1,12282,917,0.011000000000000001,0.1,4938,535,0.009000000000000001,0.1,7344,593,0.013000000000000001,0.1,9265,792,0.013000000000000001,0.1,3446,435,0.01,0.1,5819,634,0.016,0.2,30466,1326,0.012,0.1,11719,784,0.009000000000000001,0.1,18747,1001,0.013999999999999999,0.1,16683,849,0.015,0.1,7319,628,0.013000000000000001,0.1,9364,602,0.016,0.1,4755,421,0.012,0.1,2040,283,0.01,0.1,2715,346,0.013000000000000001,0.2
        85 years and over,37968,1173,0.02,0.1,14173,714,0.015,0.1,23795,911,0.025,0.1,23166,1178,0.022000000000000002,0.1,8317,608,0.016,0.1,14849,899,0.027000000000000003,0.2,15621,1774,0.013999999999999999,0.2,5630,875,0.011000000000000001,0.2,9991,1052,0.018000000000000002,0.2,9544,795,0.013999999999999999,0.1,2801,435,0.008,0.1,6743,607,0.019,0.2,32702,1268,0.012,0.1,11475,839,0.009000000000000001,0.1,21227,1004,0.016,0.1,17133,909,0.015,0.1,6285,478,0.011000000000000001,0.1,10848,671,0.019,0.1,4324,426,0.011000000000000001,0.1,1752,276,0.009000000000000001,0.1,2572,310,0.013000000000000001,0.2
