label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        Average household size of owner-occupied unit,3.06,0.02,0.132,N/A,2.90,0.02,0.128,N/A,2.74,0.02,0.13,N/A,2.43,0.02,0.1275,N/A,2.96,0.02,0.145,N/A,2.90,0.02,0.1305,N/A,3.15,0.02,0.11549999999999999,N/A
        Average household size of renter-occupied unit,2.86,0.02,0.132,N/A,2.58,0.04,0.128,N/A,2.37,0.03,0.13,N/A,2.17,0.03,0.1275,N/A,2.52,0.02,0.145,N/A,2.78,0.03,0.1305,N/A,2.67,0.08,0.11549999999999999,N/A
YEAR HOUSEHOLDER MOVED INTO UNIT,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Occupied housing units,635314,1803,6353.14,N/A,372825,1093,3728.25,N/A,410552,1748,4105.52,N/A,289191,1394,2891.91,N/A,945996,2684,9459.96,N/A,398653,1053,3986.53,N/A,132565,526,1325.65,N/A
        Moved in 2019 or later,34335,1368,0.054000000000000006,0.2,17600,1277,0.047,0.3,26902,1810,0.066,0.4,20950,1647,0.07200000000000001,0.6,66952,2721,0.071,0.3,20039,1159,0.05,0.3,6306,796,0.048,0.6
        Moved in 2015 to 2018,175759,2611,0.27699999999999997,0.4,105428,2429,0.28300000000000003,0.6,141496,3388,0.345,0.8,107039,2530,0.37,0.8,328897,3939,0.348,0.4,115878,2089,0.29100000000000004,0.5,40971,1304,0.309,1.0
        Moved in 2010 to 2014,134612,2671,0.212,0.4,71127,1828,0.191,0.5,86448,2041,0.21100000000000002,0.5,57648,1654,0.19899999999999998,0.6,191212,2925,0.20199999999999999,0.3,74895,1580,0.188,0.4,33141,1101,0.25,0.8
        Moved in 2000 to 2009,138344,2542,0.218,0.4,87683,2126,0.235,0.6,89836,2582,0.21899999999999997,0.6,54171,1793,0.187,0.6,186052,2776,0.19699999999999998,0.3,92674,2039,0.23199999999999998,0.5,36097,1053,0.272,0.8
        Moved in 1990 to 1999,72502,1605,0.114,0.3,46998,1268,0.126,0.3,40352,1633,0.098,0.4,25903,1316,0.09,0.5,90182,2197,0.095,0.2,51795,1461,0.13,0.4,10943,669,0.083,0.5
        Moved in 1989 and earlier,79762,1588,0.126,0.2,43989,1152,0.11800000000000001,0.3,25518,1183,0.062,0.3,23480,1067,0.081,0.4,82701,2199,0.087,0.2,43372,1249,0.109,0.3,5107,494,0.039,0.4
VEHICLES AVAILABLE,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Occupied housing units,635314,1803,6353.14,N/A,372825,1093,3728.25,N/A,410552,1748,4105.52,N/A,289191,1394,2891.91,N/A,945996,2684,9459.96,N/A,398653,1053,3986.53,N/A,132565,526,1325.65,N/A
        No vehicles available,33974,1371,0.053,0.2,28127,1381,0.075,0.4,15217,1128,0.037000000000000005,0.3,18141,1109,0.063,0.4,62661,2047,0.066,0.2,17479,1111,0.044000000000000004,0.3,3584,495,0.027000000000000003,0.4
        1 vehicle available,174987,2749,0.275,0.4,126121,2254,0.33799999999999997,0.6,127052,2552,0.309,0.6,110810,2458,0.38299999999999995,0.9,344565,4294,0.364,0.4,119618,2031,0.3,0.5,28290,1301,0.213,1.0
        2 vehicles available,254418,3423,0.4,0.5,145643,1936,0.391,0.5,177780,2780,0.433,0.7,108660,2526,0.376,0.8,349108,4708,0.369,0.5,170243,2516,0.42700000000000005,0.6,63217,1299,0.47700000000000004,1.0
        3 or more vehicles available,171935,2336,0.271,0.4,72934,1625,0.196,0.4,90503,2295,0.22,0.5,51580,1860,0.17800000000000002,0.6,189662,3201,0.2,0.3,91313,1978,0.22899999999999998,0.5,37474,1195,0.28300000000000003,0.9
HOUSE HEATING FUEL,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Occupied housing units,635314,1803,6353.14,N/A,372825,1093,3728.25,N/A,410552,1748,4105.52,N/A,289191,1394,2891.91,N/A,945996,2684,9459.96,N/A,398653,1053,3986.53,N/A,132565,526,1325.65,N/A
        Utility gas,395819,2587,0.623,0.4,199387,2262,0.535,0.6,175303,2729,0.42700000000000005,0.7,93144,1896,0.322,0.7,346538,3936,0.366,0.4,220710,2499,0.5539999999999999,0.6,77812,1282,0.5870000000000001,1.0
        Bottled tank or LP gas,11799,881,0.019,0.1,5364,495,0.013999999999999999,0.1,11346,970,0.027999999999999997,0.2,3598,430,0.012,0.1,7340,674,0.008,0.1,5636,442,0.013999999999999999,0.1,8446,629,0.064,0.5
        Electricity,212324,2730,0.33399999999999996,0.4,151084,2183,0.405,0.6,220257,3200,0.536,0.7,190221,2276,0.6579999999999999,0.7,585133,3804,0.619,0.4,162727,2410,0.408,0.6,41546,1322,0.313,1.0
        Fuel oil kerosene etc.,486,143,0.001,0.1,11621,830,0.031,0.2,977,204,0.002,0.1,327,150,0.001,0.1,462,193,0.0,0.1,6784,520,0.017,0.1,2942,431,0.022000000000000002,0.3
        Coal or coke,41,48,0.0,0.1,38,40,0.0,0.1,18,31,0.0,0.1,98,91,0.0,0.1,18,28,0.0,0.1,62,47,0.0,0.1,40,32,0.0,0.1
        Wood,2029,375,0.003,0.1,700,164,0.002,0.1,871,247,0.002,0.1,431,134,0.001,0.1,475,179,0.001,0.1,579,190,0.001,0.1,940,215,0.006999999999999999,0.2
        Solar energy,4425,460,0.006999999999999999,0.1,1374,352,0.004,0.1,162,123,0.0,0.1,82,71,0.0,0.1,834,312,0.001,0.1,131,64,0.0,0.1,10,14,0.0,0.1
        Other fuel,744,220,0.001,0.1,1335,278,0.004,0.1,300,130,0.001,0.1,246,126,0.001,0.1,671,205,0.001,0.1,515,159,0.001,0.1,384,152,0.003,0.1
        No fuel used,7647,620,0.012,0.1,1922,342,0.005,0.1,1318,280,0.003,0.1,1044,271,0.004,0.1,4525,563,0.005,0.1,1509,296,0.004,0.1,445,200,0.003,0.2
SELECTED CHARACTERISTICS,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Occupied housing units,635314,1803,6353.14,N/A,372825,1093,3728.25,N/A,410552,1748,4105.52,N/A,289191,1394,2891.91,N/A,945996,2684,9459.96,N/A,398653,1053,3986.53,N/A,132565,526,1325.65,N/A
        Lacking complete plumbing facilities,1782,327,0.003,0.1,1171,334,0.003,0.1,683,223,0.002,0.1,755,225,0.003,0.1,2786,413,0.003,0.1,814,191,0.002,0.1,460,192,0.003,0.1
        Lacking complete kitchen facilities,6019,525,0.009000000000000001,0.1,1943,384,0.005,0.1,1677,334,0.004,0.1,2184,361,0.008,0.1,6829,714,0.006999999999999999,0.1,1927,304,0.005,0.1,777,175,0.006,0.1
        No telephone service available,6983,502,0.011000000000000001,0.1,4514,448,0.012,0.1,4211,668,0.01,0.2,4657,529,0.016,0.2,19183,1070,0.02,0.1,3701,416,0.009000000000000001,0.1,1107,251,0.008,0.2
OCCUPANTS PER ROOM,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Occupied housing units,635314,1803,6353.14,N/A,372825,1093,3728.25,N/A,410552,1748,4105.52,N/A,289191,1394,2891.91,N/A,945996,2684,9459.96,N/A,398653,1053,3986.53,N/A,132565,526,1325.65,N/A
        1.00 or less,583952,2241,0.919,0.3,361113,1428,0.9690000000000001,0.3,402749,1855,0.981,0.2,281875,1523,0.975,0.2,885132,3132,0.9359999999999999,0.2,386812,1310,0.97,0.2,130413,592,0.9840000000000001,0.3
        1.01 to 1.50,32337,1230,0.051,0.2,7701,823,0.021,0.2,5648,613,0.013999999999999999,0.1,4679,498,0.016,0.2,41907,1688,0.044000000000000004,0.2,7900,625,0.02,0.2,1609,309,0.012,0.2
        1.51 or more,19025,1064,0.03,0.2,4011,555,0.011000000000000001,0.1,2155,431,0.005,0.1,2637,531,0.009000000000000001,0.2,18957,1026,0.02,0.1,3941,514,0.01,0.1,543,170,0.004,0.1
VALUE,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Owner-occupied units,358228,3010,3582.28,N/A,244613,2109,2446.13,N/A,262278,2561,2622.78,N/A,157390,2587,1573.9,N/A,476375,4250,4763.75,N/A,273428,1998,2734.28,N/A,103019,1152,1030.19,N/A
        Less than $50000,4291,436,0.012,0.1,2680,369,0.011000000000000001,0.1,7258,1221,0.027999999999999997,0.5,3409,456,0.022000000000000002,0.3,21204,1041,0.045,0.2,2629,313,0.01,0.1,915,277,0.009000000000000001,0.3
        $50000 to $99999,2988,375,0.008,0.1,1616,275,0.006999999999999999,0.1,5329,566,0.02,0.2,5138,509,0.033,0.3,58835,1898,0.124,0.4,1278,233,0.005,0.1,605,149,0.006,0.1
        $100000 to $149999,4384,484,0.012,0.1,4611,548,0.019,0.2,17758,972,0.068,0.4,14913,864,0.095,0.5,79235,2145,0.166,0.4,1537,297,0.006,0.1,782,194,0.008,0.2
        $150000 to $199999,3219,419,0.009000000000000001,0.1,6926,651,0.027999999999999997,0.3,32792,1331,0.125,0.5,23568,1269,0.15,0.7,87658,2952,0.184,0.6,4969,609,0.018000000000000002,0.2,1784,344,0.017,0.3
        $200000 to $299999,6230,603,0.017,0.2,26137,1104,0.107,0.4,67087,2228,0.256,0.8,45321,1933,0.28800000000000003,1.1,96717,2445,0.203,0.5,16841,781,0.062,0.3,6458,589,0.063,0.6
        $300000 to $499999,14503,750,0.04,0.2,83934,1890,0.34299999999999997,0.7,92271,2248,0.35200000000000004,0.8,40652,1518,0.258,0.8,75167,1977,0.158,0.4,79638,1916,0.29100000000000004,0.7,35572,1034,0.345,1.0
        $500000 to $999999,127752,2019,0.35700000000000004,0.5,92229,1721,0.377,0.7,35515,1353,0.135,0.5,19192,869,0.122,0.6,39055,1459,0.08199999999999999,0.3,140981,1982,0.516,0.7,53042,1276,0.515,1.1
        $1000000 or more,194861,2484,0.544,0.5,26480,982,0.10800000000000001,0.4,4268,506,0.016,0.2,5197,439,0.033,0.3,18504,886,0.039,0.2,25555,930,0.09300000000000001,0.3,3861,407,0.037000000000000005,0.4
        Median (dollars),1061900,6354,0.132,N/A,491700,3861,0.128,N/A,301600,3547,0.13,N/A,267400,3234,0.1275,N/A,193900,1816,0.145,N/A,576700,3666,0.1305,N/A,534600,6152,0.11549999999999999,N/A
MORTGAGE STATUS,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Owner-occupied units,358228,3010,3582.28,N/A,244613,2109,2446.13,N/A,262278,2561,2622.78,N/A,157390,2587,1573.9,N/A,476375,4250,4763.75,N/A,273428,1998,2734.28,N/A,103019,1152,1030.19,N/A
        Housing units with a mortgage,249944,2638,0.698,0.4,177141,2168,0.7240000000000001,0.6,197802,2680,0.754,0.7,110185,2405,0.7,0.9,285425,3435,0.599,0.5,205899,2227,0.753,0.6,86735,1115,0.8420000000000001,0.8
        Housing units without a mortgage,108284,1791,0.302,0.4,67472,1647,0.276,0.6,64476,1993,0.24600000000000002,0.7,47205,1609,0.3,0.9,190950,3179,0.401,0.5,67529,1812,0.247,0.6,16284,853,0.158,0.8
SELECTED MONTHLY OWNER COSTS (SMOC),N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Housing units with a mortgage,249944,2638,2499.44,N/A,177141,2168,1771.41,N/A,197802,2680,1978.02,N/A,110185,2405,1101.85,N/A,285425,3435,2854.25,N/A,205899,2227,2058.99,N/A,86735,1115,867.35,N/A
        Less than $500,580,165,0.002,0.1,423,146,0.002,0.1,2160,1192,0.011000000000000001,0.6,580,130,0.005,0.1,1377,273,0.005,0.1,369,126,0.002,0.1,147,81,0.002,0.1
        $500 to $999,3794,418,0.015,0.2,4004,433,0.023,0.2,20078,1111,0.102,0.6,17211,1036,0.156,0.9,31229,1417,0.109,0.5,3198,367,0.016,0.2,1523,275,0.018000000000000002,0.3
        $1000 to $1499,9908,620,0.04,0.2,15688,890,0.08900000000000001,0.5,55090,2348,0.27899999999999997,1.0,39084,1712,0.355,1.2,86279,2205,0.302,0.7,12207,802,0.059000000000000004,0.4,5399,515,0.062,0.6
        $1500 to $1999,17001,706,0.068,0.3,30460,1087,0.172,0.6,50695,2016,0.256,1.0,24950,1440,0.226,1.2,68296,2011,0.239,0.6,27915,1066,0.136,0.5,9241,772,0.107,0.9
        $2000 to $2499,26748,991,0.107,0.4,32810,1322,0.185,0.7,32139,1439,0.162,0.7,12883,939,0.11699999999999999,0.8,36727,1611,0.129,0.5,39042,1482,0.19,0.7,15056,1056,0.174,1.2
