label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
HOUSING OCCUPANCY,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Total housing units,668896,529,6688.96,N/A,390475,422,3904.75,N/A,441720,442,4417.2,N/A,319739,445,3197.39,N/A,1027813,656,10278.13,N/A,415149,238,4151.49,N/A,136398,133,1363.98,N/A
        Occupied housing units,635314,1803,0.95,0.2,372825,1093,0.955,0.3,410552,1748,0.929,0.4,289191,1394,0.904,0.4,945996,2684,0.92,0.2,398653,1053,0.96,0.2,132565,526,0.972,0.4
        Vacant housing units,33582,1600,0.05,0.2,17650,1101,0.045,0.3,31168,1586,0.071,0.4,30548,1422,0.096,0.4,81817,2418,0.08,0.2,16496,998,0.04,0.2,3833,511,0.027999999999999997,0.4
        Homeowner vacancy rate,0.5,0.1,0.132,N/A,1.1,0.2,0.128,N/A,0.9,0.2,0.13,N/A,1.2,0.3,0.1275,N/A,1.2,0.1,0.145,N/A,0.6,0.1,0.1305,N/A,0.6,0.2,0.11549999999999999,N/A
        Rental vacancy rate,4.3,0.4,0.132,N/A,4.3,0.5,0.128,N/A,6.0,0.6,0.13,N/A,7.2,0.7,0.1275,N/A,7.8,0.3,0.145,N/A,3.9,0.4,0.1305,N/A,3.6,1.1,0.11549999999999999,N/A
UNITS IN STRUCTURE,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Total housing units,668896,529,6688.96,N/A,390475,422,3904.75,N/A,441720,442,4417.2,N/A,319739,445,3197.39,N/A,1027813,656,10278.13,N/A,415149,238,4151.49,N/A,136398,133,1363.98,N/A
        1-unit detached,346896,2599,0.519,0.4,184802,2081,0.473,0.5,260720,2486,0.59,0.6,166123,2082,0.52,0.6,549045,3485,0.534,0.3,193365,1853,0.466,0.4,71849,1247,0.527,0.9
        1-unit attached,73075,1851,0.109,0.3,71398,1695,0.183,0.4,49020,1758,0.111,0.4,25705,1277,0.08,0.4,37365,1813,0.036000000000000004,0.2,97667,1729,0.235,0.4,40456,1307,0.297,1.0
        2 units,9919,745,0.015,0.1,1683,341,0.004,0.1,5701,827,0.013000000000000001,0.2,12812,945,0.04,0.3,13963,1103,0.013999999999999999,0.1,1677,308,0.004,0.1,794,258,0.006,0.2
        3 or 4 units,37146,1410,0.055999999999999994,0.2,5445,570,0.013999999999999999,0.1,11036,908,0.025,0.2,11295,957,0.035,0.3,42537,1605,0.040999999999999995,0.2,5275,684,0.013000000000000001,0.2,1308,290,0.01,0.2
        5 to 9 units,31292,1304,0.047,0.2,18933,1088,0.048,0.3,23915,1383,0.054000000000000006,0.3,20840,1314,0.065,0.4,76523,2499,0.07400000000000001,0.2,20401,1246,0.049,0.3,4217,541,0.031,0.4
        10 to 19 units,34913,1198,0.052000000000000005,0.2,34466,1252,0.08800000000000001,0.3,36961,1936,0.084,0.4,29228,1451,0.091,0.5,102185,2819,0.099,0.3,40149,1448,0.09699999999999999,0.3,8648,710,0.063,0.5
        20 or more units,115935,2249,0.17300000000000001,0.3,73102,1500,0.187,0.4,42276,1563,0.096,0.4,48811,1644,0.153,0.5,190331,3220,0.185,0.3,54470,1376,0.131,0.3,8321,460,0.061,0.3
        Mobile home,19220,880,0.028999999999999998,0.1,526,226,0.001,0.1,11977,987,0.027000000000000003,0.2,4828,489,0.015,0.2,15486,901,0.015,0.1,2001,258,0.005,0.1,706,265,0.005,0.2
        Boat RV van etc.,500,142,0.001,0.1,120,80,0.0,0.1,114,96,0.0,0.1,97,61,0.0,0.1,378,123,0.0,0.1,144,88,0.0,0.1,99,98,0.001,0.1
YEAR STRUCTURE BUILT,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Total housing units,668896,529,6688.96,N/A,390475,422,3904.75,N/A,441720,442,4417.2,N/A,319739,445,3197.39,N/A,1027813,656,10278.13,N/A,415149,238,4151.49,N/A,136398,133,1363.98,N/A
        Built 2014 or later,26715,1056,0.04,0.2,14143,787,0.036000000000000004,0.2,40066,1768,0.091,0.4,27320,1337,0.085,0.4,51773,2099,0.05,0.2,10132,625,0.024,0.2,12927,715,0.095,0.5
        Built 2010 to 2013,16539,971,0.025,0.1,10983,720,0.027999999999999997,0.2,30795,1444,0.07,0.3,9719,844,0.03,0.3,32874,1450,0.032,0.1,8998,799,0.022000000000000002,0.2,12115,737,0.08900000000000001,0.5
        Built 2000 to 2009,58398,1560,0.087,0.2,40082,1465,0.10300000000000001,0.4,110044,2318,0.249,0.5,45252,1628,0.142,0.5,124031,2867,0.121,0.3,44901,1387,0.10800000000000001,0.3,41717,1169,0.306,0.9
        Built 1990 to 1999,66674,1739,0.1,0.3,47211,1405,0.121,0.4,99181,2988,0.225,0.7,39310,1744,0.12300000000000001,0.5,125632,3383,0.122,0.3,65636,1782,0.158,0.4,32897,1270,0.24100000000000002,0.9
        Built 1980 to 1989,80896,1661,0.121,0.2,77592,1834,0.19899999999999998,0.5,67929,1803,0.154,0.4,48158,1503,0.151,0.5,184054,3000,0.179,0.3,95997,2125,0.231,0.5,14974,903,0.11,0.7
        Built 1970 to 1979,145889,2867,0.218,0.4,61019,1679,0.156,0.4,40694,1609,0.092,0.4,44807,1524,0.14,0.5,183500,3219,0.179,0.3,85707,1856,0.20600000000000002,0.4,8515,662,0.062,0.5
        Built 1960 to 1969,122102,2412,0.183,0.4,55814,1646,0.14300000000000002,0.4,24381,1449,0.055,0.3,37958,1253,0.11900000000000001,0.4,133030,2886,0.129,0.3,56354,1569,0.136,0.4,6019,555,0.044000000000000004,0.4
        Built 1950 to 1959,95284,2062,0.142,0.3,46546,1486,0.11900000000000001,0.4,13841,833,0.031,0.2,33661,1281,0.105,0.4,118003,2480,0.115,0.2,35281,1128,0.085,0.3,2446,361,0.018000000000000002,0.3
        Built 1940 to 1949,23297,1122,0.035,0.2,19061,972,0.049,0.2,5138,688,0.012,0.2,13407,928,0.042,0.3,38492,1483,0.037000000000000005,0.1,8447,655,0.02,0.2,938,222,0.006999999999999999,0.2
        Built 1939 or earlier,33102,1151,0.049,0.2,18024,805,0.046,0.2,9651,754,0.022000000000000002,0.2,20147,1061,0.063,0.3,36424,1421,0.035,0.1,3696,443,0.009000000000000001,0.1,3850,429,0.027999999999999997,0.3
ROOMS,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Total housing units,668896,529,6688.96,N/A,390475,422,3904.75,N/A,441720,442,4417.2,N/A,319739,445,3197.39,N/A,1027813,656,10278.13,N/A,415149,238,4151.49,N/A,136398,133,1363.98,N/A
        1 room,27951,1257,0.042,0.2,8872,738,0.023,0.2,5366,785,0.012,0.2,8054,824,0.025,0.3,30335,1459,0.03,0.1,6675,637,0.016,0.2,1159,238,0.008,0.2
        2 rooms,38376,1367,0.057,0.2,13761,922,0.035,0.2,13519,1018,0.031,0.2,13053,1048,0.040999999999999995,0.3,60574,2280,0.059000000000000004,0.2,12104,900,0.028999999999999998,0.2,2203,356,0.016,0.3
        3 rooms,83679,2161,0.125,0.3,37014,1393,0.095,0.4,40184,1943,0.091,0.4,38060,1581,0.11900000000000001,0.5,151421,3219,0.147,0.3,34683,1398,0.084,0.3,5543,517,0.040999999999999995,0.4
        4 rooms,120575,2537,0.18,0.4,52315,1613,0.134,0.4,63778,1930,0.14400000000000002,0.4,60396,1929,0.18899999999999997,0.6,180022,3298,0.175,0.3,51811,1768,0.125,0.4,11634,743,0.085,0.5
        5 rooms,110899,2305,0.166,0.3,44586,1510,0.114,0.4,69574,2444,0.158,0.6,57440,1962,0.18,0.6,182247,3294,0.177,0.3,46457,1438,0.11199999999999999,0.3,14252,787,0.10400000000000001,0.6
        6 rooms,110012,2504,0.16399999999999998,0.4,46841,1569,0.12,0.4,62149,2109,0.141,0.5,52201,1610,0.163,0.5,168902,2795,0.16399999999999998,0.3,51647,1538,0.124,0.4,20129,1148,0.14800000000000002,0.8
        7 rooms,77119,2063,0.115,0.3,42755,1529,0.109,0.4,52489,1915,0.11900000000000001,0.4,33654,1450,0.105,0.5,103959,2768,0.10099999999999999,0.3,43936,1373,0.106,0.3,15308,897,0.11199999999999999,0.7
        8 rooms,52359,1461,0.078,0.2,42578,1326,0.109,0.3,47401,1837,0.107,0.4,23899,1257,0.075,0.4,67563,1894,0.066,0.2,47465,1442,0.114,0.3,15851,1002,0.11599999999999999,0.7
        9 rooms or more,47926,1552,0.07200000000000001,0.2,101753,1849,0.261,0.5,87260,2052,0.198,0.5,32982,1147,0.10300000000000001,0.4,82790,2261,0.081,0.2,120371,1891,0.29,0.5,50319,1420,0.369,1.0
        Median rooms,5.1,0.1,0.132,N/A,6.3,0.1,0.128,N/A,6.0,0.1,0.13,N/A,5.2,0.1,0.1275,N/A,5.0,0.1,0.145,N/A,6.6,0.1,0.1305,N/A,7.4,0.2,0.11549999999999999,N/A
BEDROOMS,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Total housing units,668896,529,6688.96,N/A,390475,422,3904.75,N/A,441720,442,4417.2,N/A,319739,445,3197.39,N/A,1027813,656,10278.13,N/A,415149,238,4151.49,N/A,136398,133,1363.98,N/A
        No bedroom,29922,1355,0.045,0.2,10139,797,0.026000000000000002,0.2,5654,803,0.013000000000000001,0.2,8759,838,0.027000000000000003,0.3,32387,1549,0.032,0.2,7427,658,0.018000000000000002,0.2,1334,258,0.01,0.2
        1 bedroom,89858,2004,0.134,0.3,48840,1848,0.125,0.5,44872,1976,0.102,0.4,50429,1720,0.158,0.5,209045,3517,0.203,0.3,43379,1487,0.10400000000000001,0.4,6641,600,0.049,0.4
        2 bedrooms,166697,2864,0.249,0.4,80985,2027,0.207,0.5,92782,2038,0.21,0.5,93949,2171,0.294,0.7,252232,3437,0.245,0.3,80534,2114,0.19399999999999998,0.5,19704,848,0.14400000000000002,0.6
        3 bedrooms,205029,2596,0.307,0.4,108656,2103,0.278,0.5,168832,2898,0.382,0.7,117018,2205,0.366,0.7,350979,4463,0.341,0.4,117759,1995,0.284,0.5,42716,1417,0.313,1.0
        4 bedrooms,141829,2062,0.212,0.3,94388,2214,0.242,0.6,97522,2208,0.221,0.5,40378,1703,0.126,0.5,153065,3551,0.149,0.3,109886,1939,0.265,0.5,44341,1338,0.325,1.0
        5 or more bedrooms,35561,1217,0.053,0.2,47467,1239,0.122,0.3,32058,1603,0.073,0.4,9206,701,0.028999999999999998,0.2,30105,1248,0.028999999999999998,0.1,56164,1325,0.135,0.3,21662,1078,0.159,0.8
HOUSING TENURE,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Occupied housing units,635314,1803,6353.14,N/A,372825,1093,3728.25,N/A,410552,1748,4105.52,N/A,289191,1394,2891.91,N/A,945996,2684,9459.96,N/A,398653,1053,3986.53,N/A,132565,526,1325.65,N/A
        Owner-occupied,358228,3010,0.564,0.4,244613,2109,0.6559999999999999,0.5,262278,2561,0.639,0.6,157390,2587,0.544,0.8,476375,4250,0.504,0.4,273428,1998,0.6859999999999999,0.5,103019,1152,0.777,0.9
        Renter-occupied,277086,2830,0.436,0.4,128212,2080,0.344,0.5,148274,2749,0.361,0.6,131801,2334,0.456,0.8,469621,3730,0.496,0.4,125225,1934,0.314,0.5,29546,1191,0.223,0.9
