label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error
Total:,703922,254,406718,158,512256,323,372293,401,1079042,1242,431006,633,149238,74
Occupied,665549,3723,392629,2507,481294,4227,341597,3999,993312,5968,414946,2811,145601,1354
Vacant,38373,3675,14089,2548,30962,4267,30696,3973,85730,5885,16060,2779,3637,1367
