label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        $150000 to $199999,3426,943,0.01,0.3,3929,971,0.016,0.4,7665,1691,0.025,0.6,5035,1590,0.027999999999999997,0.9,39444,3728,0.079,0.8,2286,920,0.008,0.3,201,225,0.002,0.2
        $200000 to $299999,6816,1494,0.019,0.4,15142,2189,0.06,0.9,31951,3395,0.10400000000000001,1.1,27261,3155,0.151,1.7,134150,6086,0.268,1.2,9589,1581,0.034,0.6,1976,699,0.017,0.6
        $300000 to $499999,9244,1450,0.026000000000000002,0.4,57675,3787,0.228,1.3,110895,4813,0.361,1.4,71727,5168,0.39799999999999996,2.2,153070,6435,0.306,1.2,43519,3138,0.155,1.1,15151,1661,0.133,1.4
        $500000 to $999999,62003,3309,0.172,0.9,121743,3471,0.48100000000000004,1.3,122827,4886,0.4,1.5,48413,2890,0.268,1.7,84403,5194,0.16899999999999998,1.0,159664,4457,0.57,1.5,69956,3285,0.616,2.1
        $1000000 or more,266194,4861,0.7390000000000001,1.0,46778,2984,0.185,1.1,20377,2138,0.066,0.7,20600,2281,0.114,1.3,31785,2430,0.064,0.5,58726,2904,0.21,0.9,23646,2080,0.20800000000000002,1.9
        Median (dollars),1443100,31167,0.127,N/A,636200,10274,0.129,N/A,482100,7288,0.129,N/A,437700,10844,0.1345,N/A,319100,4928,0.1385,N/A,727200,10270,0.14100000000000001,N/A,734700,16731,0.129,N/A
MORTGAGE STATUS,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Owner-occupied units,360190,5723,3601.9,N/A,252963,4412,2529.63,N/A,307341,5811,3073.41,N/A,180349,6145,1803.49,N/A,499830,7833,4998.3,N/A,280307,4684,2803.07,N/A,113560,2790,1135.6,N/A
        Housing units with a mortgage,235931,5927,0.655,1.2,180196,4390,0.7120000000000001,1.2,225926,6785,0.735,1.3,126900,6346,0.7040000000000001,1.9,285924,8959,0.5720000000000001,1.3,195790,5040,0.698,1.3,89200,3145,0.785,1.8
        Housing units without a mortgage,124259,4395,0.345,1.2,72767,3394,0.28800000000000003,1.2,81415,3921,0.265,1.3,53449,3190,0.29600000000000004,1.9,213906,6519,0.428,1.3,84517,3908,0.302,1.3,24360,2100,0.215,1.8
SELECTED MONTHLY OWNER COSTS (SMOC),N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Housing units with a mortgage,235931,5927,2359.31,N/A,180196,4390,1801.96,N/A,225926,6785,2259.26,N/A,126900,6346,1269.0,N/A,285924,8959,2859.24,N/A,195790,5040,1957.9,N/A,89200,3145,892.0,N/A
        Less than $500,915,440,0.004,0.2,749,371,0.004,0.2,1127,724,0.005,0.3,718,626,0.006,0.5,564,329,0.002,0.1,939,344,0.005,0.2,332,254,0.004,0.3
        $500 to $999,2822,1012,0.012,0.4,2860,1024,0.016,0.6,14633,2468,0.065,1.1,9048,2062,0.071,1.6,12278,2032,0.043,0.7,2121,712,0.011000000000000001,0.4,843,534,0.009000000000000001,0.6
        $1000 to $1499,5905,1037,0.025,0.4,12238,1862,0.068,1.0,40226,3295,0.17800000000000002,1.3,31310,4223,0.247,2.8,44164,3723,0.154,1.2,7236,1297,0.037000000000000005,0.7,3547,932,0.04,1.0
        $1500 to $1999,10357,1209,0.044000000000000004,0.5,23298,2457,0.129,1.3,53705,4050,0.23800000000000002,1.7,29098,3362,0.22899999999999998,2.4,66499,4795,0.233,1.6,16530,1782,0.084,0.9,6659,1292,0.075,1.4
        $2000 to $2499,16394,2221,0.069,0.9,32947,2801,0.183,1.5,45800,3866,0.203,1.6,21253,2956,0.16699999999999998,2.0,54812,4009,0.192,1.4,30182,2532,0.154,1.2,15125,1932,0.17,2.1
        $2500 to $2999,21728,2557,0.092,1.0,29577,3071,0.16399999999999998,1.6,28557,3508,0.126,1.4,13790,1958,0.109,1.6,31358,3310,0.11,1.1,33950,2638,0.17300000000000001,1.3,15176,2090,0.17,2.3
        $3000 or more,177810,5524,0.754,1.2,78527,3676,0.436,1.8,41878,3756,0.185,1.6,21683,2499,0.171,1.9,76249,5178,0.267,1.5,104832,4601,0.535,1.7,47518,3052,0.5329999999999999,2.9
        Median (dollars),4000+,***,0.127,N/A,2804,51,0.129,N/A,2036,48,0.129,N/A,1882,62,0.1345,N/A,2177,43,0.1385,N/A,3123,57,0.14100000000000001,N/A,3103,87,0.129,N/A
    Housing units without a mortgage,124259,4395,1242.59,N/A,72767,3394,727.67,N/A,81415,3921,814.15,N/A,53449,3190,534.49,N/A,213906,6519,2139.06,N/A,84517,3908,845.17,N/A,24360,2100,243.6,N/A
        Less than $250,2032,666,0.016,0.5,917,401,0.013000000000000001,0.6,2666,926,0.033,1.1,1473,551,0.027999999999999997,1.0,7201,1384,0.034,0.6,1726,910,0.02,1.1,187,183,0.008,0.7
        $250 to $399,4449,1070,0.036000000000000004,0.9,2045,726,0.027999999999999997,1.0,9658,1659,0.11900000000000001,2.1,7298,1090,0.13699999999999998,1.9,19464,2393,0.091,1.1,1370,498,0.016,0.6,689,456,0.027999999999999997,1.8
        $400 to $599,10495,1624,0.084,1.2,8036,1439,0.11,1.9,26856,2773,0.33,3.0,18726,2238,0.35,3.4,39204,3552,0.183,1.6,6071,1490,0.07200000000000001,1.7,1725,586,0.071,2.5
        $600 to $799,16373,2191,0.132,1.7,15240,1960,0.209,2.4,20669,2529,0.254,2.6,11434,1697,0.214,2.8,42283,3549,0.198,1.5,13489,1968,0.16,2.2,5743,1292,0.23600000000000002,4.8
        $800 to $999,20100,2246,0.162,1.6,14320,1911,0.19699999999999998,2.4,9731,1663,0.12,2.0,6162,1394,0.115,2.6,36127,3048,0.16899999999999998,1.3,15640,1915,0.185,2.0,6663,1350,0.27399999999999997,5.0
        $1000 or more,70810,3708,0.57,2.2,32209,2472,0.44299999999999995,2.9,11835,1580,0.145,1.9,8356,1318,0.156,2.4,69627,4259,0.326,1.7,46221,2745,0.547,2.6,9353,1327,0.384,4.4
        Median (dollars),1143,40,0.127,N/A,940,29,0.129,N/A,614,21,0.129,N/A,591,20,0.1345,N/A,795,18,0.1385,N/A,1044,23,0.14100000000000001,N/A,929,29,0.129,N/A
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),235054,5933,2350.54,N/A,179457,4332,1794.57,N/A,225347,6789,2253.47,N/A,126252,6369,1262.52,N/A,284122,8996,2841.22,N/A,195719,5055,1957.19,N/A,88917,3162,889.17,N/A
        Less than 20.0 percent,102008,4745,0.434,1.6,89490,3632,0.499,1.7,130804,5737,0.58,1.8,59279,4607,0.47,3.0,117113,5665,0.41200000000000003,1.8,94810,3624,0.484,1.6,51060,3425,0.574,2.8
        20.0 to 24.9 percent,34701,2721,0.14800000000000002,1.1,25098,2287,0.14,1.2,26111,2767,0.11599999999999999,1.2,18195,2610,0.14400000000000002,1.9,41268,3601,0.145,1.2,33837,3054,0.17300000000000001,1.5,12790,1672,0.14400000000000002,1.9
        25.0 to 29.9 percent,24384,2176,0.10400000000000001,0.9,18573,2044,0.10300000000000001,1.1,20832,3260,0.092,1.4,13564,2239,0.107,1.7,30045,3517,0.106,1.1,19776,2155,0.10099999999999999,1.1,9130,1492,0.10300000000000001,1.7
        30.0 to 34.9 percent,18452,2262,0.079,0.9,10085,1877,0.055999999999999994,1.0,13064,1963,0.057999999999999996,0.8,9207,2035,0.073,1.6,22170,3554,0.078,1.2,10506,1589,0.054000000000000006,0.8,4338,1144,0.049,1.3
        35.0 percent or more,55509,3387,0.23600000000000002,1.3,36211,2848,0.20199999999999999,1.5,34536,3360,0.153,1.5,26007,3124,0.20600000000000002,2.2,73526,5721,0.259,1.7,36790,3193,0.188,1.5,11599,1703,0.13,1.9
        Not computed,877,432,0.127,N/A,739,570,0.129,N/A,579,372,0.129,N/A,648,658,0.1345,N/A,1802,902,0.1385,N/A,71,85,0.14100000000000001,N/A,283,326,0.129,N/A
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),122501,4402,1225.01,N/A,71910,3399,719.1,N/A,80004,3969,800.04,N/A,52727,3183,527.27,N/A,210047,6574,2100.47,N/A,83549,3870,835.49,N/A,24360,2100,243.6,N/A
        Less than 10.0 percent,59652,3328,0.48700000000000004,2.1,41009,2462,0.57,2.9,47792,3265,0.597,2.8,28289,2778,0.537,3.8,77154,4753,0.36700000000000005,2.0,42664,2933,0.511,2.3,16029,1930,0.6579999999999999,5.0
        10.0 to 14.9 percent,21393,2602,0.175,2.0,12266,1844,0.171,2.3,12617,2008,0.158,2.5,9993,1775,0.19,3.0,45929,3540,0.21899999999999997,1.5,14848,1829,0.17800000000000002,2.1,3233,839,0.133,3.3
        15.0 to 19.9 percent,9668,1207,0.079,1.0,4764,1087,0.066,1.5,5714,1256,0.071,1.5,4248,1055,0.081,2.0,26138,3116,0.124,1.4,7489,1249,0.09,1.5,1499,533,0.062,2.1
        20.0 to 24.9 percent,6458,1351,0.053,1.1,3487,1160,0.048,1.6,3343,1065,0.042,1.3,3111,1060,0.059000000000000004,2.0,15897,2183,0.076,1.0,5092,940,0.061,1.1,1044,574,0.043,2.3
        25.0 to 29.9 percent,4876,892,0.04,0.7,2267,1015,0.032,1.4,2316,820,0.028999999999999998,1.0,2622,863,0.05,1.6,9410,1674,0.045,0.8,2487,639,0.03,0.8,400,326,0.016,1.3
        30.0 to 34.9 percent,3222,819,0.026000000000000002,0.7,1041,485,0.013999999999999999,0.7,1481,795,0.019,1.0,831,463,0.016,0.9,8175,1576,0.039,0.7,2189,796,0.026000000000000002,1.0,335,368,0.013999999999999999,1.5
        35.0 percent or more,17232,1953,0.141,1.5,7076,1288,0.098,1.7,6741,1613,0.084,2.0,3633,940,0.069,1.8,27344,3167,0.13,1.4,8780,1434,0.105,1.6,1820,797,0.075,3.2
        Not computed,1758,752,0.127,N/A,857,421,0.129,N/A,1411,845,0.129,N/A,722,476,0.1345,N/A,3859,1182,0.1385,N/A,968,508,0.14100000000000001,N/A,0,216,0.129,N/A
GROSS RENT,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Occupied units paying rent,298289,6420,2982.89,N/A,136129,4687,1361.29,N/A,170330,6352,1703.3,N/A,157969,6681,1579.69,N/A,483411,8838,4834.11,N/A,132232,4562,1322.32,N/A,N/A,N/A,0.129,N/A
        Less than $500,8051,1557,0.027000000000000003,0.5,3589,1169,0.026000000000000002,0.8,3720,1324,0.022000000000000002,0.8,8462,1846,0.054000000000000006,1.1,11769,2448,0.024,0.5,2431,850,0.018000000000000002,0.6,N/A,N/A,0.129,N/A
        $500 to $999,9861,1387,0.033,0.5,4120,1188,0.03,0.9,15907,2478,0.09300000000000001,1.4,11906,2405,0.075,1.5,34470,4416,0.071,0.9,4339,1416,0.033,1.0,N/A,N/A,0.129,N/A
        $1000 to $1499,14764,2261,0.049,0.7,15326,1986,0.113,1.5,45753,4949,0.26899999999999996,2.6,46619,5149,0.295,3.2,164863,8446,0.341,1.6,10773,1954,0.081,1.4,N/A,N/A,0.129,N/A
        $1500 to $1999,33031,3587,0.111,1.2,46510,3535,0.342,2.3,64978,4965,0.381,2.7,50157,5154,0.318,2.9,158173,7688,0.327,1.5,36201,3227,0.27399999999999997,2.3,N/A,N/A,0.129,N/A
        $2000 to $2499,50491,3914,0.16899999999999998,1.3,33512,3533,0.24600000000000002,2.4,26376,3566,0.155,2.1,25635,3978,0.162,2.4,68334,5009,0.141,1.0,39636,3786,0.3,2.5,N/A,N/A,0.129,N/A
        $2500 to $2999,58537,4241,0.196,1.4,15465,2622,0.114,1.9,8671,2038,0.051,1.2,8450,2033,0.053,1.3,26713,3796,0.055,0.8,18565,2088,0.14,1.6,N/A,N/A,0.129,N/A
        $3000 or more,123554,4875,0.414,1.4,17607,2437,0.129,1.7,4925,1440,0.028999999999999998,0.8,6740,1843,0.043,1.1,19089,2854,0.039,0.6,20287,2271,0.153,1.7,N/A,N/A,0.129,N/A
        Median (dollars),2781,37,0.127,N/A,1984,35,0.129,N/A,1652,30,0.129,N/A,1620,48,0.1345,N/A,1597,21,0.1385,N/A,2156,35,0.14100000000000001,N/A,2321,89,0.129,N/A
        No rent paid,7070,1820,0.127,N/A,3537,1215,0.129,N/A,3623,1035,0.129,N/A,3279,1203,0.1345,N/A,10071,1827,0.1385,N/A,2407,833,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Occupied units paying rent (excluding units where GRAPI cannot be computed),293621,6477,2936.21,N/A,133138,5263,1331.38,N/A,168415,6508,1684.15,N/A,155336,6822,1553.36,N/A,473885,9243,4738.85,N/A,130720,4598,1307.2,N/A,30829,2681,308.29,N/A
        Less than 15.0 percent,47883,3477,0.163,1.1,13133,2112,0.099,1.7,23112,3174,0.13699999999999998,1.8,16158,2553,0.10400000000000001,1.6,39852,4405,0.084,0.9,14691,2297,0.11199999999999999,1.7,3586,975,0.11599999999999999,3.0
        15.0 to 19.9 percent,39932,3926,0.136,1.3,17562,2846,0.132,2.0,21474,3119,0.128,1.8,18173,2909,0.11699999999999999,1.9,58728,5361,0.124,1.1,19063,2644,0.146,1.9,3955,1210,0.128,3.8
        20.0 to 24.9 percent,35999,3179,0.12300000000000001,1.1,15895,2304,0.11900000000000001,1.6,20226,3111,0.12,1.7,22333,3246,0.14400000000000002,2.2,55863,5791,0.11800000000000001,1.2,19642,2856,0.15,2.2,5546,1312,0.18,4.1
        25.0 to 29.9 percent,33119,3641,0.113,1.2,15137,2064,0.114,1.4,24394,3419,0.145,2.0,19261,3400,0.124,2.0,62501,6161,0.132,1.3,18335,2938,0.14,2.2,4108,1323,0.133,4.1
        30.0 to 34.9 percent,26905,3538,0.092,1.2,11935,1778,0.09,1.3,19205,2936,0.114,1.7,13258,3098,0.085,1.9,49977,4952,0.105,1.1,13242,2276,0.10099999999999999,1.7,2381,826,0.077,2.7
        35.0 percent or more,109783,5299,0.374,1.5,59476,4308,0.447,2.7,60004,4472,0.35600000000000004,2.5,66153,5574,0.426,3.0,206964,9396,0.43700000000000006,1.7,45747,3845,0.35,2.8,11253,1981,0.365,5.1
        Not computed,11738,2177,0.127,N/A,6528,1898,0.129,N/A,5538,1357,0.129,N/A,5912,1861,0.1345,N/A,19597,3038,0.1385,N/A,3919,1186,0.14100000000000001,N/A,1212,667,0.129,N/A
