label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiapercentestimate,santa_clara_county_californiapercentmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiapercent_maleestimate,santa_clara_county_californiapercent_malemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,santa_clara_county_californiapercent_femaleestimate,santa_clara_county_californiapercent_femalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandpercentestimate,montgomery_county_marylandpercentmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandpercent_maleestimate,montgomery_county_marylandpercent_malemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,montgomery_county_marylandpercent_femaleestimate,montgomery_county_marylandpercent_femalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinapercentestimate,wake_county_north_carolinapercentmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinapercent_maleestimate,wake_county_north_carolinapercent_malemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,wake_county_north_carolinapercent_femaleestimate,wake_county_north_carolinapercent_femalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseepercentestimate,davidson_county_tennesseepercentmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseepercent_maleestimate,davidson_county_tennesseepercent_malemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,davidson_county_tennesseepercent_femaleestimate,davidson_county_tennesseepercent_femalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texaspercentestimate,dallas_county_texaspercentmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texaspercent_maleestimate,dallas_county_texaspercent_malemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,dallas_county_texaspercent_femaleestimate,dallas_county_texaspercent_femalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiapercentestimate,fairfax_county_virginiapercentmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiapercent_maleestimate,fairfax_county_virginiapercent_malemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,fairfax_county_virginiapercent_femaleestimate,fairfax_county_virginiapercent_femalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiapercentestimate,loudoun_county_virginiapercentmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiapercent_maleestimate,loudoun_county_virginiapercent_malemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error,loudoun_county_virginiapercent_femaleestimate,loudoun_county_virginiapercent_femalemargin_of_error
Total population,1877592,*****,0.0665,N/A,957112,1092,0.0665,N/A,920480,1092,0.068,N/A,1058474,*****,0.066,N/A,515740,328,0.0675,N/A,542734,328,0.0675,N/A,1190275,*****,0.068,N/A,582915,241,0.07050000000000001,N/A,607360,241,0.069,N/A,712334,*****,0.061,N/A,344357,334,0.067,N/A,367977,334,0.0635,N/A,2606358,*****,0.0685,N/A,1292795,189,0.07200000000000001,N/A,1313563,189,0.068,N/A,1141878,*****,0.066,N/A,569883,197,0.068,N/A,571995,197,0.0675,N/A,436347,*****,0.07500000000000001,N/A,218730,829,0.0775,N/A,217617,829,0.07350000000000001,N/A
    AGE,N/A,N/A,0.0665,N/A,N/A,N/A,0.0665,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.066,N/A,N/A,N/A,0.0675,N/A,N/A,N/A,0.0675,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.061,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.0635,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07200000000000001,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.066,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.0675,N/A,N/A,N/A,0.07500000000000001,N/A,N/A,N/A,0.0775,N/A,N/A,N/A,0.07350000000000001,N/A
        Under 5 years,93972,386,0.05,0.1,48873,948,0.051,0.1,45099,851,0.049,0.1,59366,217,0.055999999999999994,0.1,30705,206,0.06,0.1,28661,69,0.053,0.1,67560,163,0.057,0.1,34326,81,0.059000000000000004,0.1,33234,143,0.055,0.1,45667,221,0.064,0.1,23113,221,0.067,0.1,22554,3,0.061,0.1,175053,*****,0.067,*****,89064,120,0.069,0.1,85989,121,0.065,0.1,64777,154,0.057,0.1,33055,44,0.057999999999999996,0.1,31722,153,0.055,0.1,26353,85,0.06,0.1,13564,654,0.062,0.3,12789,665,0.059000000000000004,0.3
        5 to 9 years,101352,4247,0.054000000000000006,0.2,52138,3025,0.054000000000000006,0.3,49214,2730,0.053,0.3,65627,3840,0.062,0.4,35028,2716,0.068,0.5,30599,2352,0.055999999999999994,0.4,73992,4060,0.062,0.3,37772,3173,0.065,0.5,36220,2840,0.06,0.5,38317,3342,0.054000000000000006,0.5,21489,2366,0.062,0.7,16828,2478,0.046,0.7,169650,6078,0.065,0.2,85184,4724,0.066,0.4,84466,4532,0.064,0.3,67414,3684,0.059000000000000004,0.3,33223,2593,0.057999999999999996,0.5,34191,2398,0.06,0.4,32357,2613,0.07400000000000001,0.6,16873,1822,0.077,0.8,15484,1857,0.071,0.9
        10 to 14 years,107146,4239,0.057,0.2,55105,3054,0.057999999999999996,0.3,52041,2751,0.057,0.3,69844,3852,0.066,0.4,34518,2697,0.067,0.5,35326,2365,0.065,0.4,78891,4043,0.066,0.3,40327,3214,0.069,0.6,38564,2837,0.063,0.5,38099,3358,0.053,0.5,16912,2364,0.049,0.7,21187,2496,0.057999999999999996,0.7,186213,6077,0.071,0.2,96767,4724,0.075,0.4,89446,4531,0.068,0.3,78264,3674,0.069,0.3,41579,2586,0.073,0.5,36685,2387,0.064,0.4,33508,2598,0.077,0.6,16937,1802,0.077,0.8,16571,1850,0.076,0.8
        15 to 19 years,123987,1087,0.066,0.1,64056,983,0.067,0.1,59931,824,0.065,0.1,67425,264,0.064,0.1,34957,122,0.068,0.1,32468,232,0.06,0.1,79529,866,0.067,0.1,40550,723,0.07,0.1,38979,600,0.064,0.1,41289,1478,0.057999999999999996,0.2,20772,405,0.06,0.1,20517,1499,0.055999999999999994,0.4,182996,234,0.07,0.1,93667,283,0.07200000000000001,0.1,89329,197,0.068,0.1,74526,144,0.065,0.1,38885,65,0.068,0.1,35641,102,0.062,0.1,33051,1256,0.076,0.3,17085,617,0.078,0.3,15966,1274,0.073,0.6
        20 to 24 years,119250,1230,0.064,0.1,62485,942,0.065,0.1,56765,746,0.062,0.1,58537,204,0.055,0.1,29550,172,0.057,0.1,28987,73,0.053,0.1,73690,852,0.062,0.1,36495,680,0.063,0.1,37195,668,0.061,0.1,51609,1445,0.07200000000000001,0.2,24545,332,0.071,0.1,27064,1390,0.07400000000000001,0.4,185802,434,0.071,0.1,92785,259,0.07200000000000001,0.1,93017,349,0.071,0.1,66857,171,0.059000000000000004,0.1,33689,72,0.059000000000000004,0.1,33168,153,0.057999999999999996,0.1,23798,1328,0.055,0.3,12048,340,0.055,0.2,11750,1242,0.054000000000000006,0.6
        25 to 29 years,141737,1117,0.075,0.1,74714,444,0.078,0.1,67023,1015,0.073,0.1,59317,79,0.055999999999999994,0.1,29025,4,0.055999999999999994,0.1,30292,79,0.055999999999999994,0.1,82621,140,0.069,0.1,40401,68,0.069,0.1,42220,123,0.07,0.1,71788,186,0.10099999999999999,0.1,33768,163,0.098,0.1,38020,144,0.10300000000000001,0.1,219092,371,0.084,0.1,109577,171,0.085,0.1,109515,365,0.083,0.1,72699,252,0.064,0.1,36999,188,0.065,0.1,35700,161,0.062,0.1,20435,522,0.047,0.1,10385,36,0.047,0.1,10050,515,0.046,0.2
        30 to 34 years,158005,662,0.084,0.1,85728,484,0.09,0.1,72277,344,0.079,0.1,64326,176,0.061,0.1,31914,160,0.062,0.1,32412,111,0.06,0.1,90045,168,0.076,0.1,44281,31,0.076,0.1,45764,157,0.075,0.1,71752,257,0.10099999999999999,0.1,35222,195,0.102,0.1,36530,180,0.099,0.1,212259,*****,0.081,*****,106892,*****,0.083,0.1,105367,*****,0.08,0.1,75852,269,0.066,0.1,38740,200,0.068,0.1,37112,156,0.065,0.1,25103,543,0.057999999999999996,0.1,12030,525,0.055,0.2,13073,80,0.06,0.1
        35 to 39 years,142645,5091,0.076,0.3,78204,3326,0.08199999999999999,0.3,64441,3313,0.07,0.4,73642,3863,0.07,0.4,35822,2356,0.069,0.5,37820,2571,0.07,0.5,90944,3917,0.076,0.3,45720,2583,0.078,0.4,45224,3144,0.07400000000000001,0.5,58605,3902,0.08199999999999999,0.5,30067,2975,0.087,0.9,28538,2575,0.078,0.7,192434,7275,0.07400000000000001,0.3,99045,4264,0.077,0.3,93389,5079,0.071,0.4,79466,4856,0.07,0.4,40278,3379,0.071,0.6,39188,2519,0.069,0.4,35963,3000,0.08199999999999999,0.7,18339,1985,0.084,0.9,17624,1838,0.081,0.8
