Year,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
2010,"85,002","89,155","61,426","43,616","46,860","103,010","119,540"
2015,"102,340","98,917","70,533","52,026","51,799","113,208","125,003"
2020,"130,890","111,812","83,567","62,515","61,870","127,866","147,111"
2023,"154,954","125,371","102,918","80,379","74,350","141,553","174,148"
