,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
label_grouping,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant
value,"660,622","633,786","26,836",±868,"±3,221","±3,200","389,030","371,458","17,572",±486,"±2,800","±2,747","411,470","382,638","28,832",±999,"±3,461","±3,292","298,808","274,187","24,621","±1,124","±3,026","±2,822","985,429","905,250","80,179",±987,"±4,540","±4,618","412,082","392,822","19,260",±829,"±2,616","±2,481","126,508","120,559","5,949",±374,"±1,405","±1,345"
county,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiamargin_of_error,santa_clara_county_californiamargin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandmargin_of_error,montgomery_county_marylandmargin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinamargin_of_error,wake_county_north_carolinamargin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseemargin_of_error,davidson_county_tennesseemargin_of_error,dallas_county_texasestimate,dallas_county_texasestimate,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texasmargin_of_error,dallas_county_texasmargin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiamargin_of_error,fairfax_county_virginiamargin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiamargin_of_error,loudoun_county_virginiamargin_of_error
metric,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
