"Label (Grouping)","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Montgomery County, Maryland!!Estimate","Montgomery County, Maryland!!Margin of Error","Wake County, North Carolina!!Estimate","Wake County, North Carolina!!Margin of Error","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error"
"Total:","660,622","±868","389,030","±486","411,470","±999","298,808","±1,124","985,429","±987","412,082","±829","126,508","±374"
"    Occupied","633,786","±3,221","371,458","±2,800","382,638","±3,461","274,187","±3,026","905,250","±4,540","392,822","±2,616","120,559","±1,405"
"    Vacant","26,836","±3,200","17,572","±2,747","28,832","±3,292","24,621","±2,822","80,179","±4,618","19,260","±2,481","5,949","±1,345"
