label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        2 units,12342,1964,0.019,0.3,1702,614,0.004,0.2,5877,1276,0.013999999999999999,0.3,17409,2390,0.057999999999999996,0.8,14752,1755,0.015,0.2,2415,753,0.006,0.2,582,354,0.005,0.3
        3 or 4 units,36548,2761,0.055,0.4,6325,1222,0.016,0.3,12382,1623,0.03,0.4,11484,1749,0.038,0.6,38803,3297,0.039,0.3,7116,1337,0.017,0.3,1659,877,0.013000000000000001,0.7
        5 to 9 units,36676,3041,0.055999999999999994,0.5,20646,1963,0.053,0.5,23044,2361,0.055999999999999994,0.6,20189,2425,0.068,0.8,89248,4488,0.091,0.5,20117,2122,0.049,0.5,4415,1030,0.035,0.8
        10 to 19 units,34212,2953,0.052000000000000005,0.4,39053,3139,0.1,0.8,34120,3373,0.083,0.8,32195,2988,0.10800000000000001,1.0,101339,4471,0.10300000000000001,0.5,45875,3547,0.111,0.9,10534,1677,0.083,1.3
        20 or more units,107946,4535,0.163,0.7,66255,2819,0.17,0.7,34126,2876,0.083,0.7,37386,2582,0.125,0.9,152966,4897,0.155,0.5,48982,2825,0.11900000000000001,0.7,5021,920,0.04,0.7
        Mobile home,19233,2190,0.028999999999999998,0.3,505,387,0.001,0.1,14315,2265,0.035,0.5,4278,968,0.013999999999999999,0.3,15389,2215,0.016,0.2,2300,853,0.006,0.2,843,648,0.006999999999999999,0.5
        Boat RV van etc.,468,315,0.001,0.1,0,195,0.0,0.1,423,359,0.001,0.1,246,273,0.001,0.1,642,476,0.001,0.1,84,142,0.0,0.1,315,427,0.002,0.3
YEAR STRUCTURE BUILT,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Total housing units,660622,868,6606.22,N/A,389030,486,3890.3,N/A,411470,999,4114.7,N/A,298808,1124,2988.08,N/A,985429,987,9854.29,N/A,412082,829,4120.82,N/A,126508,374,1265.08,N/A
        Built 2014 or later,4593,926,0.006999999999999999,0.1,2052,669,0.005,0.2,5663,1202,0.013999999999999999,0.3,2285,869,0.008,0.3,8321,1656,0.008,0.2,1325,481,0.003,0.1,2350,687,0.019,0.5
        Built 2010 to 2013,16903,1584,0.026000000000000002,0.2,11036,1821,0.027999999999999997,0.5,25623,2333,0.062,0.6,8790,1365,0.028999999999999998,0.5,31065,2610,0.032,0.3,8765,1371,0.021,0.3,12283,1456,0.09699999999999999,1.2
        Built 2000 to 2009,59887,3313,0.091,0.5,42804,2724,0.11,0.7,118048,4780,0.287,1.2,45828,3183,0.153,1.1,132536,5255,0.134,0.5,44774,2780,0.109,0.7,41149,2407,0.325,1.9
        Built 1990 to 1999,72811,3948,0.11,0.6,44856,2378,0.115,0.6,99411,4316,0.242,1.0,35319,2560,0.11800000000000001,0.9,126302,5527,0.128,0.6,65018,3349,0.158,0.8,34186,2026,0.27,1.6
        Built 1980 to 1989,82075,4007,0.124,0.6,86534,3537,0.222,0.9,65876,3292,0.16,0.8,46829,3093,0.157,1.0,188496,6307,0.191,0.6,99342,3700,0.24100000000000002,0.9,15783,1985,0.125,1.6
        Built 1970 to 1979,144314,4903,0.218,0.7,64331,3313,0.165,0.8,41105,3290,0.1,0.8,49325,3572,0.165,1.2,184077,5785,0.187,0.6,85782,3275,0.20800000000000002,0.8,9296,1279,0.073,1.0
        Built 1960 to 1969,121400,4249,0.184,0.6,57650,3446,0.14800000000000002,0.9,26166,2300,0.064,0.6,40301,3038,0.135,1.0,129937,5087,0.132,0.5,55426,2863,0.135,0.7,4223,1024,0.033,0.8
        Built 1950 to 1959,99142,4060,0.15,0.6,45195,2327,0.11599999999999999,0.6,15001,1624,0.036000000000000004,0.4,35214,2822,0.11800000000000001,1.0,113287,4501,0.115,0.5,39777,2489,0.09699999999999999,0.6,3528,1070,0.027999999999999997,0.8
        Built 1940 to 1949,26078,2162,0.039,0.3,17468,1483,0.045,0.4,5790,1107,0.013999999999999999,0.3,15637,1766,0.052000000000000005,0.6,36003,2356,0.037000000000000005,0.2,8268,1267,0.02,0.3,450,258,0.004,0.2
        Built 1939 or earlier,33419,2370,0.051,0.4,17104,1512,0.044000000000000004,0.4,8787,1350,0.021,0.3,19280,2272,0.065,0.8,35405,2126,0.036000000000000004,0.2,3605,861,0.009000000000000001,0.2,3260,908,0.026000000000000002,0.7
ROOMS,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Total housing units,660622,868,6606.22,N/A,389030,486,3890.3,N/A,411470,999,4114.7,N/A,298808,1124,2988.08,N/A,985429,987,9854.29,N/A,412082,829,4120.82,N/A,126508,374,1265.08,N/A
        1 room,23399,2481,0.035,0.4,7604,1524,0.02,0.4,5011,1334,0.012,0.3,6889,1552,0.023,0.5,25563,2508,0.026000000000000002,0.3,5346,1277,0.013000000000000001,0.3,908,504,0.006999999999999999,0.4
        2 rooms,32228,2859,0.049,0.4,12297,1642,0.032,0.4,12654,2081,0.031,0.5,8240,1416,0.027999999999999997,0.5,48990,3391,0.05,0.3,12252,2026,0.03,0.5,1272,674,0.01,0.5
        3 rooms,77792,4091,0.11800000000000001,0.6,32696,2865,0.084,0.7,31739,3142,0.077,0.8,31085,2872,0.10400000000000001,1.0,143707,5449,0.146,0.6,36263,2828,0.08800000000000001,0.7,6437,1506,0.051,1.2
        4 rooms,123943,4308,0.188,0.7,58451,3969,0.15,1.0,58991,3632,0.14300000000000002,0.9,60994,4065,0.204,1.4,176828,6095,0.179,0.6,53336,3289,0.129,0.8,10445,1515,0.083,1.2
        5 rooms,110958,4763,0.168,0.7,45320,3197,0.11599999999999999,0.8,71135,4299,0.17300000000000001,1.0,59339,3565,0.19899999999999998,1.2,184608,6803,0.187,0.7,44186,2911,0.107,0.7,14104,1704,0.111,1.3
        6 rooms,114279,3884,0.17300000000000001,0.6,41242,3007,0.106,0.8,61841,3701,0.15,0.9,48345,2637,0.162,0.9,166280,5995,0.16899999999999998,0.6,46762,2888,0.113,0.7,20091,2105,0.159,1.7
        7 rooms,77225,3677,0.11699999999999999,0.6,44100,2991,0.113,0.8,50986,3550,0.124,0.9,34782,2657,0.11599999999999999,0.9,98645,5084,0.1,0.5,48365,3212,0.11699999999999999,0.8,14012,1531,0.111,1.2
        8 rooms,51630,2423,0.078,0.4,42869,2676,0.11,0.7,40765,2926,0.099,0.7,18679,1975,0.063,0.7,61966,3823,0.063,0.4,46084,2539,0.11199999999999999,0.6,12867,1541,0.102,1.2
        9 rooms or more,49168,2697,0.07400000000000001,0.4,104451,3461,0.268,0.9,78348,3321,0.19,0.8,30455,2431,0.102,0.8,78842,3572,0.08,0.4,119488,3186,0.29,0.8,46372,2177,0.36700000000000005,1.7
        Median rooms,5.2,0.2,0.133,N/A,6.4,0.1,0.1235,N/A,5.9,0.1,0.1235,N/A,5.2,0.1,0.123,N/A,5.0,0.1,0.1335,N/A,6.7,0.1,0.1315,N/A,7.2,0.2,0.1215,N/A
BEDROOMS,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Total housing units,660622,868,6606.22,N/A,389030,486,3890.3,N/A,411470,999,4114.7,N/A,298808,1124,2988.08,N/A,985429,987,9854.29,N/A,412082,829,4120.82,N/A,126508,374,1265.08,N/A
        No bedroom,25712,2595,0.039,0.4,9283,1561,0.024,0.4,5203,1305,0.013000000000000001,0.3,7220,1556,0.024,0.5,28457,2588,0.028999999999999998,0.3,6141,1391,0.015,0.3,908,504,0.006999999999999999,0.4
        1 bedroom,89848,3914,0.136,0.6,44730,2957,0.115,0.8,39063,3368,0.095,0.8,41566,2816,0.139,0.9,189876,6510,0.193,0.7,41049,2889,0.1,0.7,6228,1155,0.049,0.9
        2 bedrooms,167213,5318,0.253,0.8,81038,4266,0.20800000000000002,1.1,89638,4148,0.218,1.0,95853,4402,0.321,1.4,247659,5876,0.251,0.6,86790,3905,0.21100000000000002,0.9,19880,1955,0.157,1.5
        3 bedrooms,203040,6063,0.307,0.9,113340,4647,0.29100000000000004,1.2,160373,5407,0.39,1.3,112151,4156,0.375,1.4,350288,7177,0.355,0.7,110624,3830,0.268,0.9,39934,2491,0.316,2.0
        4 bedrooms,137823,5326,0.209,0.8,92395,4129,0.23800000000000002,1.1,92208,4106,0.22399999999999998,1.0,34159,2561,0.114,0.9,142424,5793,0.145,0.6,114261,3589,0.27699999999999997,0.9,40447,2191,0.32,1.7
        5 or more bedrooms,36986,2437,0.055999999999999994,0.4,48244,2474,0.124,0.6,24985,2433,0.061,0.6,7859,1367,0.026000000000000002,0.5,26725,2503,0.027000000000000003,0.3,53217,2775,0.129,0.7,19111,1622,0.151,1.3
HOUSING TENURE,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Occupied housing units,633786,3221,6337.86,N/A,371458,2800,3714.58,N/A,382638,3461,3826.38,N/A,274187,3026,2741.87,N/A,905250,4540,9052.5,N/A,392822,2616,3928.22,N/A,120559,1405,1205.59,N/A
        Owner-occupied,355812,6149,0.561,0.9,238791,4127,0.643,1.0,240335,3848,0.628,0.9,149048,3870,0.544,1.4,453122,8021,0.501,0.9,263100,4204,0.67,1.0,94477,2424,0.784,2.0
        Renter-occupied,277974,5935,0.439,0.9,132667,3703,0.35700000000000004,1.0,142303,3728,0.37200000000000005,0.9,125139,4463,0.456,1.4,452128,8270,0.499,0.9,129722,4107,0.33,1.0,26082,2487,0.21600000000000003,2.0
    Average household size of owner-occupied unit,3.03,0.03,0.133,N/A,2.86,0.04,0.1235,N/A,2.74,0.04,0.1235,N/A,2.44,0.05,0.123,N/A,2.97,0.04,0.1335,N/A,2.90,0.04,0.1315,N/A,3.21,0.06,0.1215,N/A
    Average household size of renter-occupied unit,2.88,0.04,0.133,N/A,2.63,0.06,0.1235,N/A,2.41,0.06,0.1235,N/A,2.36,0.06,0.123,N/A,2.60,0.03,0.1335,N/A,2.86,0.07,0.1315,N/A,2.71,0.15,0.1215,N/A
YEAR HOUSEHOLDER MOVED INTO UNIT,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Occupied housing units,633786,3221,6337.86,N/A,371458,2800,3714.58,N/A,382638,3461,3826.38,N/A,274187,3026,2741.87,N/A,905250,4540,9052.5,N/A,392822,2616,3928.22,N/A,120559,1405,1205.59,N/A
        Moved in 2015 or later,45546,3327,0.07200000000000001,0.5,27651,2689,0.07400000000000001,0.7,34809,2853,0.091,0.7,25747,2673,0.094,1.0,95456,4932,0.105,0.5,28140,2366,0.07200000000000001,0.6,7369,1320,0.061,1.1
        Moved in 2010 to 2014,242363,5547,0.382,0.9,128460,4139,0.34600000000000003,1.1,160213,4994,0.419,1.3,122899,4755,0.44799999999999995,1.6,392097,7950,0.433,0.9,140328,4076,0.35700000000000004,1.0,49870,2551,0.414,2.0
        Moved in 2000 to 2009,176033,5408,0.278,0.8,109496,3927,0.295,1.0,114797,4856,0.3,1.2,70569,3672,0.257,1.3,222018,7237,0.245,0.8,113944,4057,0.29,1.0,43307,2697,0.359,2.2
        Moved in 1990 to 1999,78360,3474,0.124,0.6,54305,2659,0.146,0.7,44942,2807,0.11699999999999999,0.7,27292,1988,0.1,0.7,101649,4606,0.11199999999999999,0.5,60554,2915,0.154,0.8,14187,1696,0.11800000000000001,1.4
        Moved in 1980 to 1989,42625,2878,0.067,0.4,30517,2159,0.08199999999999999,0.6,14512,1744,0.038,0.5,12229,1497,0.045,0.5,42094,3036,0.046,0.3,29372,2022,0.075,0.5,3991,813,0.033,0.7
        Moved in 1979 and earlier,48859,2299,0.077,0.4,21029,1580,0.057,0.4,13365,1342,0.035,0.3,15451,1416,0.055999999999999994,0.5,51936,2545,0.057,0.3,20484,1551,0.052000000000000005,0.4,1835,561,0.015,0.5
VEHICLES AVAILABLE,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Occupied housing units,633786,3221,6337.86,N/A,371458,2800,3714.58,N/A,382638,3461,3826.38,N/A,274187,3026,2741.87,N/A,905250,4540,9052.5,N/A,392822,2616,3928.22,N/A,120559,1405,1205.59,N/A
        No vehicles available,33383,2671,0.053,0.4,30185,2887,0.081,0.8,15601,2034,0.040999999999999995,0.5,21535,2438,0.079,0.9,66517,3601,0.073,0.4,16775,1839,0.043,0.5,3197,776,0.027000000000000003,0.6
        1 vehicle available,171566,5098,0.271,0.8,123436,4736,0.332,1.2,116551,5333,0.305,1.3,104138,5185,0.38,1.7,338163,7046,0.374,0.7,118042,3930,0.3,0.9,25801,2405,0.214,2.0
        2 vehicles available,255747,6564,0.40399999999999997,1.0,149340,4736,0.402,1.3,171897,5588,0.449,1.5,106557,3520,0.389,1.3,338343,7813,0.374,0.9,170266,4287,0.433,1.1,57738,2522,0.479,2.0
        3 or more vehicles available,173090,4732,0.273,0.7,68497,3571,0.184,0.9,78589,3017,0.205,0.7,41957,2800,0.153,1.0,162227,5886,0.179,0.6,87739,3561,0.223,0.9,33823,2349,0.281,1.9
HOUSE HEATING FUEL,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Occupied housing units,633786,3221,6337.86,N/A,371458,2800,3714.58,N/A,382638,3461,3826.38,N/A,274187,3026,2741.87,N/A,905250,4540,9052.5,N/A,392822,2616,3928.22,N/A,120559,1405,1205.59,N/A
        Utility gas,400776,5906,0.632,0.9,203386,4570,0.5479999999999999,1.2,159690,4646,0.41700000000000004,1.2,87274,3378,0.318,1.2,334423,6039,0.369,0.7,221448,3859,0.564,0.9,72163,2633,0.599,2.1
        Bottled tank or LP gas,9943,1206,0.016,0.2,4543,788,0.012,0.2,12879,1703,0.034,0.4,3443,772,0.013000000000000001,0.3,7324,1324,0.008,0.1,5243,964,0.013000000000000001,0.2,7863,1007,0.065,0.8
        Electricity,209637,6164,0.331,0.9,146775,4314,0.395,1.1,206617,5195,0.54,1.2,181038,4371,0.66,1.3,557939,7764,0.616,0.7,156381,4185,0.39799999999999996,1.0,36254,2602,0.301,2.1
        Fuel oil kerosene etc.,745,403,0.001,0.1,11727,1273,0.032,0.3,1270,500,0.003,0.1,176,205,0.001,0.1,793,562,0.001,0.1,7269,1020,0.019,0.3,2440,672,0.02,0.6
        Coal or coke,42,70,0.0,0.1,0,195,0.0,0.1,188,304,0.0,0.1,0,200,0.0,0.1,70,116,0.0,0.1,41,68,0.0,0.1,0,197,0.0,0.1
        Wood,2381,573,0.004,0.1,1233,576,0.003,0.2,968,522,0.003,0.1,740,349,0.003,0.1,459,271,0.001,0.1,271,186,0.001,0.1,1325,514,0.011000000000000001,0.4
        Solar energy,1846,642,0.003,0.1,363,248,0.001,0.1,119,116,0.0,0.1,51,86,0.0,0.1,270,183,0.0,0.1,0,197,0.0,0.1,73,132,0.001,0.1
        Other fuel,613,286,0.001,0.1,1668,740,0.004,0.2,370,308,0.001,0.1,208,165,0.001,0.1,387,257,0.0,0.1,627,304,0.002,0.1,226,167,0.002,0.1
        No fuel used,7803,1112,0.012,0.2,1763,558,0.005,0.2,537,299,0.001,0.1,1257,511,0.005,0.2,3585,918,0.004,0.1,1542,544,0.004,0.1,215,236,0.002,0.2
SELECTED CHARACTERISTICS,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Occupied housing units,633786,3221,6337.86,N/A,371458,2800,3714.58,N/A,382638,3461,3826.38,N/A,274187,3026,2741.87,N/A,905250,4540,9052.5,N/A,392822,2616,3928.22,N/A,120559,1405,1205.59,N/A
        Lacking complete plumbing facilities,1536,592,0.002,0.1,1228,537,0.003,0.1,982,614,0.003,0.2,720,393,0.003,0.1,3127,896,0.003,0.1,924,506,0.002,0.1,472,402,0.004,0.3
        Lacking complete kitchen facilities,4950,909,0.008,0.1,2391,822,0.006,0.2,1344,623,0.004,0.2,1944,851,0.006999999999999999,0.3,6938,1531,0.008,0.2,1992,846,0.005,0.2,640,397,0.005,0.3
        No telephone service available,11360,1448,0.018000000000000002,0.2,12155,2301,0.033,0.6,7061,1281,0.018000000000000002,0.3,6431,1237,0.023,0.5,20770,1997,0.023,0.2,7918,1413,0.02,0.4,1119,450,0.009000000000000001,0.4
OCCUPANTS PER ROOM,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Occupied housing units,633786,3221,6337.86,N/A,371458,2800,3714.58,N/A,382638,3461,3826.38,N/A,274187,3026,2741.87,N/A,905250,4540,9052.5,N/A,392822,2616,3928.22,N/A,120559,1405,1205.59,N/A
        1.00 or less,582158,3754,0.919,0.5,359948,3249,0.9690000000000001,0.5,374312,3893,0.978,0.5,265061,3337,0.9670000000000001,0.5,841259,5580,0.929,0.4,378081,3423,0.9620000000000001,0.5,118876,1424,0.986,0.6
        1.01 to 1.50,35504,2544,0.055999999999999994,0.4,7699,1381,0.021,0.4,5923,1583,0.015,0.4,7070,1375,0.026000000000000002,0.5,45285,3470,0.05,0.4,10366,1768,0.026000000000000002,0.4,1284,712,0.011000000000000001,0.6
        1.51 or more,16124,2217,0.025,0.3,3811,1180,0.01,0.3,2403,866,0.006,0.2,2056,855,0.006999999999999999,0.3,18706,1984,0.021,0.2,4375,1365,0.011000000000000001,0.3,399,249,0.003,0.2
VALUE,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Owner-occupied units,355812,6149,3558.12,N/A,238791,4127,2387.91,N/A,240335,3848,2403.35,N/A,149048,3870,1490.48,N/A,453122,8021,4531.22,N/A,263100,4204,2631.0,N/A,94477,2424,944.77,N/A
        Less than $50000,5050,902,0.013999999999999999,0.3,2152,747,0.009000000000000001,0.3,7095,1572,0.03,0.6,3068,713,0.021,0.5,28534,2818,0.063,0.6,2065,768,0.008,0.3,1348,705,0.013999999999999999,0.7
        $50000 to $99999,5897,953,0.017,0.3,2454,671,0.01,0.3,8516,1495,0.035,0.6,13326,1752,0.08900000000000001,1.1,98022,4266,0.21600000000000003,0.9,1036,600,0.004,0.2,875,460,0.009000000000000001,0.5
        $100000 to $149999,4689,888,0.013000000000000001,0.2,5616,1063,0.024,0.4,29227,2825,0.122,1.1,33448,2830,0.22399999999999998,1.7,107398,4820,0.237,1.0,2571,871,0.01,0.3,1219,509,0.013000000000000001,0.5
        $150000 to $199999,3031,755,0.009000000000000001,0.2,7805,1478,0.033,0.6,41139,3230,0.171,1.3,30174,2536,0.20199999999999999,1.7,65600,3743,0.145,0.8,4925,882,0.019,0.3,2497,731,0.026000000000000002,0.8
        $200000 to $299999,5999,1059,0.017,0.3,29242,2184,0.122,0.9,63641,3490,0.265,1.4,28893,2574,0.19399999999999998,1.6,60145,3302,0.133,0.7,20547,1927,0.078,0.7,8692,1358,0.092,1.4
        $300000 to $499999,32936,2502,0.09300000000000001,0.6,81797,3302,0.34299999999999997,1.2,66367,3349,0.276,1.4,25566,2058,0.172,1.4,49988,3266,0.11,0.7,84344,3455,0.321,1.1,36558,2392,0.387,2.3
        $500000 to $999999,171844,4786,0.483,1.1,87734,3099,0.36700000000000005,1.1,21202,1698,0.08800000000000001,0.7,10739,1367,0.07200000000000001,0.9,27808,2012,0.061,0.4,125565,3099,0.47700000000000004,1.2,39994,2146,0.423,2.1
        $1000000 or more,126366,3522,0.355,0.9,21991,1521,0.092,0.6,3148,742,0.013000000000000001,0.3,3834,807,0.026000000000000002,0.5,15627,1586,0.034,0.3,22047,1697,0.084,0.6,3294,709,0.035,0.8
        Median (dollars),836800,9585,0.133,N/A,474900,7098,0.1235,N/A,252500,5426,0.1235,N/A,188200,5494,0.123,N/A,145800,2564,0.1335,N/A,544900,8091,0.1315,N/A,477700,10398,0.1215,N/A
MORTGAGE STATUS,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Owner-occupied units,355812,6149,3558.12,N/A,238791,4127,2387.91,N/A,240335,3848,2403.35,N/A,149048,3870,1490.48,N/A,453122,8021,4531.22,N/A,263100,4204,2631.0,N/A,94477,2424,944.77,N/A
        Housing units with a mortgage,253341,5858,0.7120000000000001,0.9,180372,4211,0.755,1.1,185619,4596,0.772,1.3,105807,3517,0.71,1.7,285006,7236,0.629,1.1,204971,4331,0.779,1.0,81640,2551,0.8640000000000001,1.3
        Housing units without a mortgage,102471,3244,0.28800000000000003,0.9,58419,2843,0.245,1.1,54716,3073,0.228,1.3,43241,2874,0.29,1.7,168116,5799,0.371,1.1,58129,2729,0.221,1.0,12837,1238,0.136,1.3
SELECTED MONTHLY OWNER COSTS (SMOC),N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Housing units with a mortgage,253341,5858,2533.41,N/A,180372,4211,1803.72,N/A,185619,4596,1856.19,N/A,105807,3517,1058.07,N/A,285006,7236,2850.06,N/A,204971,4331,2049.71,N/A,81640,2551,816.4,N/A
        Less than $500,544,253,0.002,0.1,410,262,0.002,0.1,1129,439,0.006,0.2,509,228,0.005,0.2,1725,590,0.006,0.2,343,220,0.002,0.1,44,73,0.001,0.1
        $500 to $999,5434,1063,0.021,0.4,5509,920,0.031,0.5,26777,2638,0.14400000000000002,1.4,25490,2400,0.24100000000000002,2.0,47513,2930,0.16699999999999998,1.0,4535,1002,0.022000000000000002,0.5,2705,902,0.033,1.1
        $1000 to $1499,17992,1760,0.071,0.7,21143,1774,0.11699999999999999,1.0,62036,3419,0.33399999999999996,1.6,42254,3063,0.39899999999999997,2.4,104058,5024,0.365,1.6,18583,1818,0.091,0.9,7491,1197,0.092,1.5
        $1500 to $1999,28305,2198,0.11199999999999999,0.8,33886,3244,0.188,1.6,45850,3055,0.247,1.5,20245,2127,0.191,1.9,59254,4607,0.20800000000000002,1.4,34738,2533,0.16899999999999998,1.2,11057,1549,0.135,1.8
