label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
HOUSING OCCUPANCY,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Total housing units,660622,868,6606.22,N/A,389030,486,3890.3,N/A,411470,999,4114.7,N/A,298808,1124,2988.08,N/A,985429,987,9854.29,N/A,412082,829,4120.82,N/A,126508,374,1265.08,N/A
        Occupied housing units,633786,3221,0.9590000000000001,0.5,371458,2800,0.955,0.7,382638,3461,0.93,0.8,274187,3026,0.9179999999999999,0.9,905250,4540,0.919,0.5,392822,2616,0.953,0.6,120559,1405,0.953,1.1
        Vacant housing units,26836,3200,0.040999999999999995,0.5,17572,2747,0.045,0.7,28832,3292,0.07,0.8,24621,2822,0.08199999999999999,0.9,80179,4618,0.081,0.5,19260,2481,0.047,0.6,5949,1345,0.047,1.1
    Homeowner vacancy rate,0.3,0.2,0.133,N/A,0.8,0.4,0.1235,N/A,1.4,0.5,0.1235,N/A,1.5,0.6,0.123,N/A,1.5,0.3,0.1335,N/A,1.3,0.4,0.1315,N/A,1.3,0.7,0.1215,N/A
    Rental vacancy rate,2.8,0.6,0.133,N/A,3.3,0.8,0.1235,N/A,4.9,1.2,0.1235,N/A,5.1,1.1,0.123,N/A,6.7,0.7,0.1335,N/A,3.7,1.1,0.1315,N/A,6.1,2.7,0.1215,N/A
UNITS IN STRUCTURE,N/A,N/A,0.133,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.1235,N/A,N/A,N/A,0.123,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1315,N/A,N/A,N/A,0.1215,N/A
    Total housing units,660622,868,6606.22,N/A,389030,486,3890.3,N/A,411470,999,4114.7,N/A,298808,1124,2988.08,N/A,985429,987,9854.29,N/A,412082,829,4120.82,N/A,126508,374,1265.08,N/A
        1-unit detached,344320,6237,0.521,0.9,183624,3882,0.47200000000000003,1.0,247182,5030,0.601,1.2,157105,4037,0.526,1.4,535130,6522,0.5429999999999999,0.7,192677,3356,0.46799999999999997,0.8,67642,2439,0.535,1.9
        1-unit attached,68877,4080,0.10400000000000001,0.6,70920,3543,0.182,0.9,40001,3250,0.09699999999999999,0.8,18516,1877,0.062,0.6,37160,2450,0.038,0.2,92516,3349,0.225,0.8,35497,2366,0.281,1.9
