year,santa_clara_county_california,montgomery_county_maryland,wake_county_north_carolina,davidson_county_tennessee,dallas_county_texas,fairfax_county_virginia,loudoun_county_virginia
2010,85002,89155,61426,43616,46860,103010,119540
2015,102340,98917,70533,52026,51799,113208,125003
2020,130890,111812,83567,62515,61870,127866,147111
2023,154954,125371,102918,80379,74350,141553,174148
