,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Label (Grouping),Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant,Total:,    Occupied,    Vacant
"Santa Clara County, California!!Estimate","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720","631,955","599,235","32,720"
occupancy_status,"Santa Clara County, California!!Margin of Error","Santa Clara County, California!!Margin of Error","Santa Clara County, California!!Margin of Error","Montgomery County, Maryland!!Estimate","Montgomery County, Maryland!!Estimate","Montgomery County, Maryland!!Estimate","Montgomery County, Maryland!!Margin of Error","Montgomery County, Maryland!!Margin of Error","Montgomery County, Maryland!!Margin of Error","Wake County, North Carolina!!Estimate","Wake County, North Carolina!!Estimate","Wake County, North Carolina!!Estimate","Wake County, North Carolina!!Margin of Error","Wake County, North Carolina!!Margin of Error","Wake County, North Carolina!!Margin of Error","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error","Davidson County, Tennessee!!Margin of Error","Davidson County, Tennessee!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Estimate","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Dallas County, Texas!!Margin of Error","Dallas County, Texas!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fairfax County, Virginia!!Margin of Error","Fairfax County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Loudoun County, Virginia!!Margin of Error","Loudoun County, Virginia!!Margin of Error"
count,"±1,523","±3,770","±3,452","376,023","359,476","16,547",±835,"±2,836","±2,568","372,737","338,054","34,683","±2,035","±3,843","±3,374","284,263","249,899","34,364","±2,313","±3,777","±3,186","943,876","843,416","100,460","±1,548","±4,626","±4,739","408,079","389,415","18,664","±1,185","±3,502","±3,128","109,955","102,979","6,976",±750,"±2,217","±2,031"
