"Label (Grouping)","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Montgomery County, Maryland!!Estimate","Montgomery County, Maryland!!Margin of Error","Wake County, North Carolina!!Estimate","Wake County, North Carolina!!Margin of Error","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error"
"Total:","631,955","±1,523","376,023","±835","372,737","±2,035","284,263","±2,313","943,876","±1,548","408,079","±1,185","109,955","±750"
"    Occupied","599,235","±3,770","359,476","±2,836","338,054","±3,843","249,899","±3,777","843,416","±4,626","389,415","±3,502","102,979","±2,217"
"    Vacant","32,720","±3,452","16,547","±2,568","34,683","±3,374","34,364","±3,186","100,460","±4,739","18,664","±3,128","6,976","±2,031"
