,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
"Wake County, North Carolina!!Margin of Error",,±323,"±4,227","±4,267",±0.2,±1.6,,±323,"±5,841","±4,344","±1,389","±2,405","±3,479","±3,521","±5,146","±2,595",±139,,±323,"±3,266","±5,669","±5,923","±5,092","±4,501","±3,406","±3,025","±2,026","±1,158","±1,223",,±323,"±2,216","±2,711","±4,322","±4,731","±5,151","±5,194","±4,320","±4,028","±4,192",±0.1,,±323,"±2,256","±4,152","±5,747","±6,386","±5,301","±3,845",,"±4,227","±5,811","±6,487",±0.03,±0.06,,"±4,227","±6,353","±6,579","±6,296","±3,944","±2,780","±2,066",,"±4,227","±2,997","±5,822","±5,319","±5,303",,"±4,227","±6,012","±2,174","±7,031",±456,±222,±556,±839,±643,±662,,"±4,227",±172,±940,±827,,"±4,227","±4,600","±1,827","±1,322",,"±5,811","±1,537",±955,"±1,332","±1,691","±3,395","±4,813","±4,886","±2,138","±7,288",,"±5,811","±6,785","±3,921",,"±6,785",±724,"±2,468","±3,295","±4,050","±3,866","±3,508","±3,756",±48,"±3,921",±926,"±1,659","±2,773","±2,529","±1,663","±1,580",±21,,"±6,789","±5,737","±2,767","±3,260","±1,963","±3,360",±372,"±3,969","±3,265","±2,008","±1,256","±1,065",±820,±795,"±1,613",±845,,"±6,352","±1,324","±2,478","±4,949","±4,965","±3,566","±2,038","±1,440",±30,"±1,035",,"±6,508","±3,174","±3,119","±3,111","±3,419","±2,936","±4,472","±1,357"
"Wake County, North Carolina!!Percent",,"512,256",94.0%,6.0%,(X),(X),,"512,256",58.8%,12.1%,0.9%,2.2%,4.3%,5.9%,13.3%,2.5%,0.0%,,"512,256",6.9%,21.7%,24.8%,16.7%,13.0%,7.6%,4.7%,2.3%,0.8%,1.4%,,"512,256",2.1%,3.7%,9.7%,12.3%,16.0%,15.1%,10.6%,9.7%,20.9%,(X),,"512,256",2.1%,9.3%,19.9%,37.6%,22.3%,8.7%,,"481,294",63.9%,36.1%,(X),(X),,"481,294",31.5%,21.7%,22.0%,13.8%,7.1%,3.9%,,"481,294",4.4%,31.0%,43.3%,21.2%,,"481,294",41.3%,2.9%,54.8%,0.2%,0.0%,0.1%,0.2%,0.1%,0.3%,,"481,294",0.0%,0.5%,0.3%,,"481,294",98.2%,1.2%,0.6%,,"307,341",2.3%,0.9%,1.3%,2.5%,10.4%,36.1%,40.0%,6.6%,(X),,"307,341",73.5%,26.5%,,"225,926",0.5%,6.5%,17.8%,23.8%,20.3%,12.6%,18.5%,(X),"81,415",3.3%,11.9%,33.0%,25.4%,12.0%,14.5%,(X),,"225,347",58.0%,11.6%,9.2%,5.8%,15.3%,(X),"80,004",59.7%,15.8%,7.1%,4.2%,2.9%,1.9%,8.4%,(X),,"170,330",2.2%,9.3%,26.9%,38.1%,15.5%,5.1%,2.9%,(X),(X),,"168,415",13.7%,12.8%,12.0%,14.5%,11.4%,35.6%,(X)
"Wake County, North Carolina!!Percent Margin of Error",,(X),±0.8,±0.8,(X),(X),,(X),±1.1,±0.8,±0.3,±0.5,±0.7,±0.7,±1.0,±0.5,±0.1,,(X),±0.6,±1.1,±1.2,±1.0,±0.9,±0.7,±0.6,±0.4,±0.2,±0.2,,(X),±0.4,±0.5,±0.8,±0.9,±1.0,±1.0,±0.8,±0.8,±0.8,(X),,(X),±0.4,±0.8,±1.1,±1.3,±1.0,±0.8,,(X),±1.2,±1.2,(X),(X),,(X),±1.2,±1.4,±1.3,±0.8,±0.6,±0.4,,(X),±0.6,±1.2,±1.1,±1.1,,(X),±1.2,±0.5,±1.3,±0.1,±0.1,±0.1,±0.2,±0.1,±0.1,,(X),±0.1,±0.2,±0.2,,(X),±0.5,±0.4,±0.3,,(X),±0.5,±0.3,±0.4,±0.6,±1.1,±1.4,±1.5,±0.7,(X),,(X),±1.3,±1.3,,(X),±0.3,±1.1,±1.3,±1.7,±1.6,±1.4,±1.6,(X),(X),±1.1,±2.1,±3.0,±2.6,±2.0,±1.9,(X),,(X),±1.8,±1.2,±1.4,±0.8,±1.5,(X),(X),±2.8,±2.5,±1.5,±1.3,±1.0,±1.0,±2.0,(X),,(X),±0.8,±1.4,±2.6,±2.7,±2.1,±1.2,±0.8,(X),(X),,(X),±1.8,±1.8,±1.7,±2.0,±1.7,±2.5,(X)
"Davidson County, Tennessee!!Estimate",,"372,293","341,597","30,696",1.8,6.5,,"372,293","180,319","36,614","15,177","10,758","19,625","29,915","73,688","5,555",642,,"372,293","30,537","59,459","49,150","34,292","51,396","44,903","33,953","32,795","12,974","22,834",,"372,293","14,073","25,112","46,703","72,607","59,323","59,548","32,473","28,037","34,417",5.0,,"372,293","15,328","61,722","104,189","128,765","51,726","10,563",,"341,597","180,349","161,248",2.11,1.93,,"341,597","133,403","68,384","60,647","40,028","21,095","18,040",,"341,597","21,833","138,299","127,495","53,970",,"341,597","101,575","4,894","230,138",402,0,277,327,"1,053","2,931",,"341,597",751,"2,683","1,930",,"341,597","329,124","7,848","4,625",,"180,349","2,620","2,163","2,530","5,035","27,261","71,727","48,413","20,600","437,700",,"180,349","126,900","53,449",,"126,900",718,"9,048","31,310","29,098","21,253","13,790","21,683","1,882","53,449","1,473","7,298","18,726","11,434","6,162","8,356",591,,"126,252","59,279","18,195","13,564","9,207","26,007",648,"52,727","28,289","9,993","4,248","3,111","2,622",831,"3,633",722,,"157,969","8,462","11,906","46,619","50,157","25,635","8,450","6,740","1,620","3,279",,"155,336","16,158","18,173","22,333","19,261","13,258","66,153","5,912"
"Davidson County, Tennessee!!Margin of Error",,±401,"±3,999","±3,973",±0.8,±1.3,,±401,"±6,801","±3,907","±2,887","±2,746","±2,848","±4,863","±4,864","±1,798",±487,,±401,"±3,634","±4,569","±4,420","±3,805","±4,821","±4,114","±3,852","±3,722","±2,097","±2,757",,±401,"±2,565","±4,035","±4,488","±5,348","±4,766","±4,968","±3,138","±3,280","±3,493",±0.2,,±401,"±2,693","±5,213","±6,885","±6,260","±4,327","±2,377",,"±3,999","±6,145","±6,693",±0.04,±0.05,,"±3,999","±6,777","±5,619","±5,222","±3,348","±2,209","±1,642",,"±3,999","±3,910","±6,054","±5,665","±4,671",,"±3,999","±5,915","±1,794","±6,795",±406,±226,±331,±377,±874,"±1,468",,"±3,999",±537,"±1,174","±1,023",,"±3,999","±4,783","±2,246","±1,525",,"±6,145","±1,105",±739,"±1,222","±1,590","±3,155","±5,168","±2,890","±2,281","±10,844",,"±6,145","±6,346","±3,190",,"±6,346",±626,"±2,062","±4,223","±3,362","±2,956","±1,958","±2,499",±62,"±3,190",±551,"±1,090","±2,238","±1,697","±1,394","±1,318",±20,,"±6,369","±4,607","±2,610","±2,239","±2,035","±3,124",±658,"±3,183","±2,778","±1,775","±1,055","±1,060",±863,±463,±940,±476,,"±6,681","±1,846","±2,405","±5,149","±5,154","±3,978","±2,033","±1,843",±48,"±1,203",,"±6,822","±2,553","±2,909","±3,246","±3,400","±3,098","±5,574","±1,861"
"Davidson County, Tennessee!!Percent",,"372,293",91.8%,8.2%,(X),(X),,"372,293",48.4%,9.8%,4.1%,2.9%,5.3%,8.0%,19.8%,1.5%,0.2%,,"372,293",8.2%,16.0%,13.2%,9.2%,13.8%,12.1%,9.1%,8.8%,3.5%,6.1%,,"372,293",3.8%,6.7%,12.5%,19.5%,15.9%,16.0%,8.7%,7.5%,9.2%,(X),,"372,293",4.1%,16.6%,28.0%,34.6%,13.9%,2.8%,,"341,597",52.8%,47.2%,(X),(X),,"341,597",39.1%,20.0%,17.8%,11.7%,6.2%,5.3%,,"341,597",6.4%,40.5%,37.3%,15.8%,,"341,597",29.7%,1.4%,67.4%,0.1%,0.0%,0.1%,0.1%,0.3%,0.9%,,"341,597",0.2%,0.8%,0.6%,,"341,597",96.3%,2.3%,1.4%,,"180,349",1.5%,1.2%,1.4%,2.8%,15.1%,39.8%,26.8%,11.4%,(X),,"180,349",70.4%,29.6%,,"126,900",0.6%,7.1%,24.7%,22.9%,16.7%,10.9%,17.1%,(X),"53,449",2.8%,13.7%,35.0%,21.4%,11.5%,15.6%,(X),,"126,252",47.0%,14.4%,10.7%,7.3%,20.6%,(X),"52,727",53.7%,19.0%,8.1%,5.9%,5.0%,1.6%,6.9%,(X),,"157,969",5.4%,7.5%,29.5%,31.8%,16.2%,5.3%,4.3%,(X),(X),,"155,336",10.4%,11.7%,14.4%,12.4%,8.5%,42.6%,(X)
"Davidson County, Tennessee!!Percent Margin of Error",,(X),±1.1,±1.1,(X),(X),,(X),±1.8,±1.0,±0.8,±0.7,±0.8,±1.3,±1.3,±0.5,±0.1,,(X),±1.0,±1.2,±1.2,±1.0,±1.3,±1.1,±1.0,±1.0,±0.6,±0.7,,(X),±0.7,±1.1,±1.2,±1.4,±1.3,±1.3,±0.8,±0.9,±0.9,(X),,(X),±0.7,±1.4,±1.8,±1.7,±1.2,±0.6,,(X),±1.8,±1.8,(X),(X),,(X),±1.8,±1.6,±1.5,±1.0,±0.7,±0.5,,(X),±1.1,±1.7,±1.6,±1.4,,(X),±1.7,±0.5,±1.9,±0.1,±0.1,±0.1,±0.1,±0.3,±0.4,,(X),±0.2,±0.3,±0.3,,(X),±0.8,±0.7,±0.4,,(X),±0.6,±0.4,±0.7,±0.9,±1.7,±2.2,±1.7,±1.3,(X),,(X),±1.9,±1.9,,(X),±0.5,±1.6,±2.8,±2.4,±2.0,±1.6,±1.9,(X),(X),±1.0,±1.9,±3.4,±2.8,±2.6,±2.4,(X),,(X),±3.0,±1.9,±1.7,±1.6,±2.2,(X),(X),±3.8,±3.0,±2.0,±2.0,±1.6,±0.9,±1.8,(X),,(X),±1.1,±1.5,±3.2,±2.9,±2.4,±1.3,±1.1,(X),(X),,(X),±1.6,±1.9,±2.2,±2.0,±1.9,±3.0,(X)
"Dallas County, Texas!!Estimate",,"1,079,042","993,312","85,730",0.8,9.7,,"1,079,042","551,541","41,008","13,287","49,000","76,641","85,513","244,401","17,259",392,,"1,079,042","33,438","146,030","137,671","107,939","178,173","164,877","130,256","112,847","30,731","37,080",,"1,079,042","43,077","80,161","156,552","187,118","180,699","169,903","97,268","69,991","94,273",4.9,,"1,079,042","48,210","225,781","263,140","342,787","166,548","32,576",,"993,312","499,830","493,482",2.87,2.31,,"993,312","354,255","184,226","183,558","135,065","71,029","65,179",,"993,312","65,606","382,710","347,605","197,391",,"993,312","353,376","13,109","615,644",424,0,425,"2,532","1,392","6,410",,"993,312","4,311","9,679","8,457",,"993,312","928,631","42,968","21,713",,"499,830","18,841","12,859","25,278","39,444","134,150","153,070","84,403","31,785","319,100",,"499,830","285,924","213,906",,"285,924",564,"12,278","44,164","66,499","54,812","31,358","76,249","2,177","213,906","7,201","19,464","39,204","42,283","36,127","69,627",795,,"284,122","117,113","41,268","30,045","22,170","73,526","1,802","210,047","77,154","45,929","26,138","15,897","9,410","8,175","27,344","3,859",,"483,411","11,769","34,470","164,863","158,173","68,334","26,713","19,089","1,597","10,071",,"473,885","39,852","58,728","55,863","62,501","49,977","206,964","19,597"
"Dallas County, Texas!!Margin of Error",,"±1,242","±5,968","±5,885",±0.2,±0.8,,"±1,242","±7,076","±3,596","±2,310","±4,915","±5,719","±6,375","±9,121","±3,147",±419,,"±1,242","±3,508","±6,709","±6,864","±5,118","±9,262","±7,554","±6,176","±5,055","±3,089","±3,344",,"±1,242","±4,395","±6,402","±8,372","±8,683","±6,987","±8,050","±5,819","±4,082","±5,524",±0.1,,"±1,242","±4,407","±8,501","±8,951","±10,788","±6,956","±2,799",,"±5,968","±7,833","±8,866",±0.04,±0.04,,"±5,968","±10,255","±8,221","±8,496","±6,466","±4,623","±3,961",,"±5,968","±4,753","±8,674","±8,374","±7,381",,"±5,968","±8,135","±2,211","±9,118",±273,±236,±405,±966,±763,"±1,723",,"±5,968","±1,561","±2,293","±2,194",,"±5,968","±8,317","±4,499","±3,608",,"±7,833","±2,745","±2,014","±2,584","±3,728","±6,086","±6,435","±5,194","±2,430","±4,928",,"±7,833","±8,959","±6,519",,"±8,959",±329,"±2,032","±3,723","±4,795","±4,009","±3,310","±5,178",±43,"±6,519","±1,384","±2,393","±3,552","±3,549","±3,048","±4,259",±18,,"±8,996","±5,665","±3,601","±3,517","±3,554","±5,721",±902,"±6,574","±4,753","±3,540","±3,116","±2,183","±1,674","±1,576","±3,167","±1,182",,"±8,838","±2,448","±4,416","±8,446","±7,688","±5,009","±3,796","±2,854",±21,"±1,827",,"±9,243","±4,405","±5,361","±5,791","±6,161","±4,952","±9,396","±3,038"
"Dallas County, Texas!!Percent",,"1,079,042",92.1%,7.9%,(X),(X),,"1,079,042",51.1%,3.8%,1.2%,4.5%,7.1%,7.9%,22.6%,1.6%,0.0%,,"1,079,042",3.1%,13.5%,12.8%,10.0%,16.5%,15.3%,12.1%,10.5%,2.8%,3.4%,,"1,079,042",4.0%,7.4%,14.5%,17.3%,16.7%,15.7%,9.0%,6.5%,8.7%,(X),,"1,079,042",4.5%,20.9%,24.4%,31.8%,15.4%,3.0%,,"993,312",50.3%,49.7%,(X),(X),,"993,312",35.7%,18.5%,18.5%,13.6%,7.2%,6.6%,,"993,312",6.6%,38.5%,35.0%,19.9%,,"993,312",35.6%,1.3%,62.0%,0.0%,0.0%,0.0%,0.3%,0.1%,0.6%,,"993,312",0.4%,1.0%,0.9%,,"993,312",93.5%,4.3%,2.2%,,"499,830",3.8%,2.6%,5.1%,7.9%,26.8%,30.6%,16.9%,6.4%,(X),,"499,830",57.2%,42.8%,,"285,924",0.2%,4.3%,15.4%,23.3%,19.2%,11.0%,26.7%,(X),"213,906",3.4%,9.1%,18.3%,19.8%,16.9%,32.6%,(X),,"284,122",41.2%,14.5%,10.6%,7.8%,25.9%,(X),"210,047",36.7%,21.9%,12.4%,7.6%,4.5%,3.9%,13.0%,(X),,"483,411",2.4%,7.1%,34.1%,32.7%,14.1%,5.5%,3.9%,(X),(X),,"473,885",8.4%,12.4%,11.8%,13.2%,10.5%,43.7%,(X)
"Dallas County, Texas!!Percent Margin of Error",,(X),±0.5,±0.5,(X),(X),,(X),±0.7,±0.3,±0.2,±0.5,±0.5,±0.6,±0.8,±0.3,±0.1,,(X),±0.3,±0.6,±0.6,±0.5,±0.9,±0.7,±0.6,±0.5,±0.3,±0.3,,(X),±0.4,±0.6,±0.8,±0.8,±0.6,±0.7,±0.5,±0.4,±0.5,(X),,(X),±0.4,±0.8,±0.8,±1.0,±0.6,±0.3,,(X),±0.8,±0.8,(X),(X),,(X),±1.0,±0.8,±0.8,±0.7,±0.5,±0.4,,(X),±0.5,±0.8,±0.8,±0.7,,(X),±0.8,±0.2,±0.8,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,,(X),±0.2,±0.2,±0.2,,(X),±0.6,±0.5,±0.4,,(X),±0.5,±0.4,±0.5,±0.8,±1.2,±1.2,±1.0,±0.5,(X),,(X),±1.3,±1.3,,(X),±0.1,±0.7,±1.2,±1.6,±1.4,±1.1,±1.5,(X),(X),±0.6,±1.1,±1.6,±1.5,±1.3,±1.7,(X),,(X),±1.8,±1.2,±1.1,±1.2,±1.7,(X),(X),±2.0,±1.5,±1.4,±1.0,±0.8,±0.7,±1.4,(X),,(X),±0.5,±0.9,±1.6,±1.5,±1.0,±0.8,±0.6,(X),(X),,(X),±0.9,±1.1,±1.2,±1.3,±1.1,±1.7,(X)
"Fairfax County, Virginia!!Estimate",,"431,006","414,946","16,060",0.4,4.2,,"431,006","194,451","96,542","3,135","5,613","21,110","39,896","67,811","2,191",257,,"431,006","7,714","34,140","46,469","58,076","97,311","82,858","55,521","34,027","7,154","7,736",,"431,006","8,795","15,634","43,363","62,033","41,070","51,562","43,227","45,873","119,449",6.4,,"431,006","9,724","48,175","88,520","113,610","109,709","61,268",,"414,946","280,307","134,639",2.81,2.55,,"414,946","115,112","74,830","84,967","65,663","39,599","34,775",,"414,946","18,340","136,189","175,286","85,131",,"414,946","222,818","7,927","176,144","3,540",111,331,272,"2,014","1,789",,"414,946",866,"1,570","2,435",,"414,946","399,390","8,966","6,590",,"280,307","3,281","2,094","1,148","2,286","9,589","43,519","159,664","58,726","727,200",,"280,307","195,790","84,517",,"195,790",939,"2,121","7,236","16,530","30,182","33,950","104,832","3,123","84,517","1,726","1,370","6,071","13,489","15,640","46,221","1,044",,"195,719","94,810","33,837","19,776","10,506","36,790",71,"83,549","42,664","14,848","7,489","5,092","2,487","2,189","8,780",968,,"132,232","2,431","4,339","10,773","36,201","39,636","18,565","20,287","2,156","2,407",,"130,720","14,691","19,063","19,642","18,335","13,242","45,747","3,919"
"Fairfax County, Virginia!!Margin of Error",,±633,"±2,811","±2,779",±0.2,±1.1,,±633,"±4,619","±4,090",±913,"±1,425","±2,522","±3,882","±3,779","±1,236",±296,,±633,"±1,528","±3,002","±3,010","±3,630","±4,051","±4,232","±3,282","±2,899","±1,463","±1,671",,±633,"±1,924","±1,877","±3,661","±4,574","±2,839","±3,685","±3,503","±3,380","±4,386",±0.2,,±633,"±2,049","±4,190","±5,415","±4,890","±4,944","±3,183",,"±2,811","±4,684","±4,786",±0.04,±0.07,,"±2,811","±4,891","±4,082","±4,213","±4,066","±2,673","±2,383",,"±2,811","±2,574","±5,155","±5,334","±3,905",,"±2,811","±5,512","±1,699","±4,837",±762,±131,±214,±202,±871,±824,,"±2,811",±548,±812,±862,,"±2,811","±4,011","±2,148","±1,567",,"±4,684",±862,±708,±677,±920,"±1,581","±3,138","±4,457","±2,904","±10,270",,"±4,684","±5,040","±3,908",,"±5,040",±344,±712,"±1,297","±1,782","±2,532","±2,638","±4,601",±57,"±3,908",±910,±498,"±1,490","±1,968","±1,915","±2,745",±23,,"±5,055","±3,624","±3,054","±2,155","±1,589","±3,193",±85,"±3,870","±2,933","±1,829","±1,249",±940,±639,±796,"±1,434",±508,,"±4,562",±850,"±1,416","±1,954","±3,227","±3,786","±2,088","±2,271",±35,±833,,"±4,598","±2,297","±2,644","±2,856","±2,938","±2,276","±3,845","±1,186"
"Fairfax County, Virginia!!Percent",,"431,006",96.3%,3.7%,(X),(X),,"431,006",45.1%,22.4%,0.7%,1.3%,4.9%,9.3%,15.7%,0.5%,0.1%,,"431,006",1.8%,7.9%,10.8%,13.5%,22.6%,19.2%,12.9%,7.9%,1.7%,1.8%,,"431,006",2.0%,3.6%,10.1%,14.4%,9.5%,12.0%,10.0%,10.6%,27.7%,(X),,"431,006",2.3%,11.2%,20.5%,26.4%,25.5%,14.2%,,"414,946",67.6%,32.4%,(X),(X),,"414,946",27.7%,18.0%,20.5%,15.8%,9.5%,8.4%,,"414,946",4.4%,32.8%,42.2%,20.5%,,"414,946",53.7%,1.9%,42.4%,0.9%,0.0%,0.1%,0.1%,0.5%,0.4%,,"414,946",0.2%,0.4%,0.6%,,"414,946",96.3%,2.2%,1.6%,,"280,307",1.2%,0.7%,0.4%,0.8%,3.4%,15.5%,57.0%,21.0%,(X),,"280,307",69.8%,30.2%,,"195,790",0.5%,1.1%,3.7%,8.4%,15.4%,17.3%,53.5%,(X),"84,517",2.0%,1.6%,7.2%,16.0%,18.5%,54.7%,(X),,"195,719",48.4%,17.3%,10.1%,5.4%,18.8%,(X),"83,549",51.1%,17.8%,9.0%,6.1%,3.0%,2.6%,10.5%,(X),,"132,232",1.8%,3.3%,8.1%,27.4%,30.0%,14.0%,15.3%,(X),(X),,"130,720",11.2%,14.6%,15.0%,14.0%,10.1%,35.0%,(X)
"Fairfax County, Virginia!!Percent Margin of Error",,(X),±0.6,±0.6,(X),(X),,(X),±1.1,±1.0,±0.2,±0.3,±0.6,±0.9,±0.9,±0.3,±0.1,,(X),±0.4,±0.7,±0.7,±0.8,±0.9,±1.0,±0.8,±0.7,±0.3,±0.4,,(X),±0.4,±0.4,±0.9,±1.1,±0.7,±0.9,±0.8,±0.8,±1.0,(X),,(X),±0.5,±1.0,±1.3,±1.1,±1.1,±0.7,,(X),±1.1,±1.1,(X),(X),,(X),±1.2,±1.0,±1.0,±1.0,±0.6,±0.6,,(X),±0.6,±1.2,±1.3,±0.9,,(X),±1.2,±0.4,±1.2,±0.2,±0.1,±0.1,±0.1,±0.2,±0.2,,(X),±0.1,±0.2,±0.2,,(X),±0.7,±0.5,±0.4,,(X),±0.3,±0.3,±0.2,±0.3,±0.6,±1.1,±1.5,±0.9,(X),,(X),±1.3,±1.3,,(X),±0.2,±0.4,±0.7,±0.9,±1.2,±1.3,±1.7,(X),(X),±1.1,±0.6,±1.7,±2.2,±2.0,±2.6,(X),,(X),±1.6,±1.5,±1.1,±0.8,±1.5,(X),(X),±2.3,±2.1,±1.5,±1.1,±0.8,±1.0,±1.6,(X),,(X),±0.6,±1.0,±1.4,±2.3,±2.5,±1.6,±1.7,(X),(X),,(X),±1.7,±1.9,±2.2,±2.2,±1.7,±2.8,(X)
"Loudoun County, Virginia!!Estimate",,"149,238","145,601","3,637",0.0,4.0,,"149,238","74,767","47,315","1,343","1,126","4,565","8,758","10,439",925,0,,"149,238","6,463","34,786","47,595","28,431","13,255","10,476","2,484","1,971",697,"3,080",,"149,238","2,063","1,983","8,791","13,337","14,263","19,760","17,902","18,304","52,835",7.3,,"149,238","2,157","8,393","20,264","42,317","48,014","28,093",,"145,601","113,560","32,041",3.15,2.42,,"145,601","34,555","36,868","37,278","24,643","9,152","3,105",,"145,601","4,160","36,397","66,646","38,398",,"145,601","85,387","11,726","45,498","1,734",0,513,188,243,312,,"145,601",216,814,702,,"145,601","143,168","1,705",728,,"113,560","1,535",444,651,201,"1,976","15,151","69,956","23,646","734,700",,"113,560","89,200","24,360",,"89,200",332,843,"3,547","6,659","15,125","15,176","47,518","3,103","24,360",187,689,"1,725","5,743","6,663","9,353",929,,"88,917","51,060","12,790","9,130","4,338","11,599",283,"24,360","16,029","3,233","1,499","1,044",400,335,"1,820",0,,N,N,N,N,N,N,N,N,"2,321",N,,"30,829","3,586","3,955","5,546","4,108","2,381","11,253","1,212"
"Loudoun County, Virginia!!Margin of Error",,±74,"±1,354","±1,367",±0.2,±2.5,,±74,"±3,006","±3,327",±607,±631,"±1,223","±1,728","±1,586",±859,±216,,±74,"±1,399","±2,840","±2,390","±2,284","±1,801","±1,767",±776,±899,±262,±975,,±74,±898,±815,"±1,633","±1,851","±2,351","±2,280","±2,246","±2,444","±2,651",±0.2,,±74,±898,"±1,784","±2,381","±3,011","±3,143","±2,451",,"±1,354","±2,790","±2,780",±0.05,±0.14,,"±1,354","±2,413","±3,225","±2,911","±2,215","±1,320",±731,,"±1,354","±1,050","±2,969","±3,576","±2,891",,"±1,354","±2,981","±1,713","±3,009",±697,±216,±379,±235,±229,±356,,"±1,354",±245,±440,±567,,"±1,354","±1,385",±655,±420,,"±2,790",±647,±431,±416,±225,±699,"±1,661","±3,285","±2,080","±16,731",,"±2,790","±3,145","±2,100",,"±3,145",±254,±534,±932,"±1,292","±1,932","±2,090","±3,052",±87,"±2,100",±183,±456,±586,"±1,292","±1,350","±1,327",±29,,"±3,162","±3,425","±1,672","±1,492","±1,144","±1,703",±326,"±2,100","±1,930",±839,±533,±574,±326,±368,±797,±216,,N,N,N,N,N,N,N,N,±89,N,,"±2,681",±975,"±1,210","±1,312","±1,323",±826,"±1,981",±667
"Loudoun County, Virginia!!Percent",,"149,238",97.6%,2.4%,(X),(X),,"149,238",50.1%,31.7%,0.9%,0.8%,3.1%,5.9%,7.0%,0.6%,0.0%,,"149,238",4.3%,23.3%,31.9%,19.1%,8.9%,7.0%,1.7%,1.3%,0.5%,2.1%,,"149,238",1.4%,1.3%,5.9%,8.9%,9.6%,13.2%,12.0%,12.3%,35.4%,(X),,"149,238",1.4%,5.6%,13.6%,28.4%,32.2%,18.8%,,"145,601",78.0%,22.0%,(X),(X),,"145,601",23.7%,25.3%,25.6%,16.9%,6.3%,2.1%,,"145,601",2.9%,25.0%,45.8%,26.4%,,"145,601",58.6%,8.1%,31.2%,1.2%,0.0%,0.4%,0.1%,0.2%,0.2%,,"145,601",0.1%,0.6%,0.5%,,"145,601",98.3%,1.2%,0.5%,,"113,560",1.4%,0.4%,0.6%,0.2%,1.7%,13.3%,61.6%,20.8%,(X),,"113,560",78.5%,21.5%,,"89,200",0.4%,0.9%,4.0%,7.5%,17.0%,17.0%,53.3%,(X),"24,360",0.8%,2.8%,7.1%,23.6%,27.4%,38.4%,(X),,"88,917",57.4%,14.4%,10.3%,4.9%,13.0%,(X),"24,360",65.8%,13.3%,6.2%,4.3%,1.6%,1.4%,7.5%,(X),,N,N,N,N,N,N,N,N,(X),(X),,"30,829",11.6%,12.8%,18.0%,13.3%,7.7%,36.5%,(X)
"Loudoun County, Virginia!!Percent Margin of Error",,(X),±0.9,±0.9,(X),(X),,(X),±2.0,±2.2,±0.4,±0.4,±0.8,±1.2,±1.1,±0.6,±0.1,,(X),±0.9,±1.9,±1.6,±1.5,±1.2,±1.2,±0.5,±0.6,±0.2,±0.7,,(X),±0.6,±0.5,±1.1,±1.2,±1.6,±1.5,±1.5,±1.6,±1.8,(X),,(X),±0.6,±1.2,±1.6,±2.0,±2.1,±1.6,,(X),±1.9,±1.9,(X),(X),,(X),±1.7,±2.2,±2.0,±1.5,±0.9,±0.5,,(X),±0.7,±2.0,±2.4,±2.0,,(X),±2.0,±1.2,±2.0,±0.5,±0.1,±0.3,±0.2,±0.2,±0.2,,(X),±0.2,±0.3,±0.4,,(X),±0.5,±0.4,±0.3,,(X),±0.6,±0.4,±0.4,±0.2,±0.6,±1.4,±2.1,±1.9,(X),,(X),±1.8,±1.8,,(X),±0.3,±0.6,±1.0,±1.4,±2.1,±2.3,±2.9,(X),(X),±0.7,±1.8,±2.5,±4.8,±5.0,±4.4,(X),,(X),±2.8,±1.9,±1.7,±1.3,±1.9,(X),(X),±5.0,±3.3,±2.1,±2.3,±1.3,±1.5,±3.2,(X),,N,N,N,N,N,N,N,N,(X),(X),,(X),±3.0,±3.8,±4.1,±4.1,±2.7,±5.1,(X)
