label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
    Built 1980 to 1989,75301,3970,0.11900000000000001,0.6,85165,4462,0.226,1.2,66293,3464,0.17800000000000002,0.9,45869,3132,0.161,1.1,186357,5748,0.19699999999999998,0.6,94585,4151,0.23199999999999998,1.0,13117,1717,0.11900000000000001,1.6
    Built 1970 to 1979,142515,4745,0.226,0.7,62942,3192,0.16699999999999998,0.8,41964,3218,0.113,0.9,56239,3618,0.198,1.3,177810,5173,0.188,0.5,79680,4351,0.195,1.1,9905,1527,0.09,1.4
    Built 1960 to 1969,125418,4634,0.198,0.7,57432,2913,0.153,0.8,24092,2320,0.065,0.6,37200,3161,0.131,1.1,141678,5105,0.15,0.5,57943,3469,0.142,0.9,4944,1064,0.045,1.0
    Built 1950 to 1959,97176,4446,0.154,0.7,46205,2806,0.12300000000000001,0.7,16086,2040,0.043,0.5,32554,2605,0.115,0.9,115521,3943,0.122,0.4,44315,2556,0.109,0.6,1729,636,0.016,0.6
    Built 1940 to 1949,26180,2652,0.040999999999999995,0.4,19389,1809,0.052000000000000005,0.5,7646,1352,0.021,0.4,14832,1654,0.052000000000000005,0.6,40637,2793,0.043,0.3,10221,1689,0.025,0.4,1347,614,0.012,0.6
    Built 1939 or earlier,34076,2876,0.054000000000000006,0.5,16602,1566,0.044000000000000004,0.4,7833,1344,0.021,0.4,21550,2256,0.076,0.8,37086,2452,0.039,0.3,4751,1068,0.012,0.3,4242,940,0.039,0.9
ROOMS,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Total housing units,631955,1523,6319.55,N/A,376023,835,3760.23,N/A,372737,2035,3727.37,N/A,284263,2313,2842.63,N/A,943876,1548,9438.76,N/A,408079,1185,4080.79,N/A,109955,750,1099.55,N/A
    1 room,18306,2584,0.028999999999999998,0.4,3706,1178,0.01,0.3,4268,1314,0.011000000000000001,0.4,5392,1507,0.019,0.5,19263,2480,0.02,0.3,3789,1488,0.009000000000000001,0.4,542,367,0.005,0.3
    2 rooms,25842,2957,0.040999999999999995,0.5,9152,1500,0.024,0.4,7586,1512,0.02,0.4,5177,1345,0.018000000000000002,0.5,24263,2346,0.026000000000000002,0.2,10861,2057,0.027000000000000003,0.5,2242,911,0.02,0.8
    3 rooms,77744,3958,0.12300000000000001,0.6,38608,3352,0.10300000000000001,0.9,29642,2534,0.08,0.7,29784,2962,0.105,1.1,144418,5643,0.153,0.6,35148,2979,0.086,0.7,6061,1454,0.055,1.3
    4 rooms,122207,4945,0.193,0.8,52457,3567,0.14,0.9,59866,3699,0.161,1.0,60109,3782,0.21100000000000002,1.3,171198,7044,0.18100000000000002,0.7,47614,3731,0.11699999999999999,0.9,8816,1521,0.08,1.4
    5 rooms,113419,3777,0.179,0.6,44566,3571,0.11900000000000001,1.0,62916,3425,0.16899999999999998,0.9,57996,3244,0.204,1.1,179302,5663,0.19,0.6,48017,3309,0.11800000000000001,0.8,11011,1679,0.1,1.5
    6 rooms,108419,4371,0.172,0.7,45991,3728,0.122,1.0,58007,3576,0.156,1.0,47588,3386,0.16699999999999998,1.2,175025,5847,0.185,0.6,48910,3377,0.12,0.8,14520,1801,0.132,1.6
    7 rooms,77656,3523,0.12300000000000001,0.6,41434,3414,0.11,0.9,47210,3102,0.127,0.8,30591,2480,0.10800000000000001,0.9,94425,4933,0.1,0.5,51323,3654,0.126,0.9,14075,2063,0.128,1.9
    8 rooms,46464,2786,0.07400000000000001,0.4,41895,2762,0.111,0.7,38393,2491,0.10300000000000001,0.7,20116,2197,0.071,0.8,63907,3577,0.068,0.4,51650,3407,0.127,0.8,13647,1745,0.124,1.6
    9 rooms or more,41898,2745,0.066,0.4,98214,3690,0.261,1.0,64849,3322,0.174,0.9,27510,2514,0.09699999999999999,0.9,72075,3298,0.076,0.4,110767,4014,0.271,1.0,39041,1960,0.355,1.8
    Median rooms,5.1,0.1,0.1215,N/A,6.4,0.2,0.12300000000000001,N/A,5.9,0.1,0.1455,N/A,5.2,0.1,0.133,N/A,5.1,0.1,0.1335,N/A,6.7,0.1,0.1255,N/A,7.3,0.2,0.122,N/A
BEDROOMS,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Total housing units,631955,1523,6319.55,N/A,376023,835,3760.23,N/A,372737,2035,3727.37,N/A,284263,2313,2842.63,N/A,943876,1548,9438.76,N/A,408079,1185,4080.79,N/A,109955,750,1099.55,N/A
    No bedroom,19944,2538,0.032,0.4,5120,1354,0.013999999999999999,0.4,4653,1353,0.012,0.4,5775,1493,0.02,0.5,20487,2505,0.022000000000000002,0.3,4246,1472,0.01,0.4,542,367,0.005,0.3
    1 bedroom,89100,4517,0.141,0.7,49696,3208,0.132,0.9,34341,2971,0.092,0.8,39814,3319,0.14,1.2,186362,6376,0.19699999999999998,0.7,42267,3189,0.10400000000000001,0.8,6220,1289,0.057,1.2
    2 bedrooms,162836,5849,0.258,0.9,78255,3572,0.20800000000000002,0.9,85233,4020,0.22899999999999998,1.1,93739,4182,0.33,1.4,238204,6745,0.252,0.7,79897,4301,0.196,1.1,16016,2004,0.146,1.8
    3 bedrooms,202224,5363,0.32,0.8,107770,4392,0.287,1.2,148674,5033,0.39899999999999997,1.4,104886,4146,0.369,1.4,339555,7415,0.36,0.8,118271,5025,0.29,1.2,35770,2360,0.325,2.1
    4 bedrooms,122330,4039,0.19399999999999998,0.6,88870,3818,0.23600000000000002,1.0,79473,4474,0.213,1.2,32134,2537,0.113,0.9,136071,5644,0.14400000000000002,0.6,112261,4525,0.275,1.1,36834,2607,0.335,2.4
    5 or more bedrooms,35521,3033,0.055999999999999994,0.5,46312,3050,0.12300000000000001,0.8,20363,1873,0.055,0.5,7915,1595,0.027999999999999997,0.6,23197,2202,0.025,0.2,51137,3068,0.125,0.7,14573,1607,0.133,1.5
HOUSING TENURE,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
